ticker,month,mode,variants,max_day,cooldown,select_months,select_score,select_trades,select_win_rate,select_profit_factor,select_pnl_return,select_avg_return,select_max_drawdown,select_call_rate,select_days_with_trades,select_daily_win_rate,select_median_daily_return,select_daily_max_drawdown,select_top5_day_return,select_top5_share_of_pnl,select_min_month_trades,select_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate,source_stream,source_file,test_month,config,stop_after_loss_streak,daily_loss_limit,total_loss_limit,min_trades_before_halt,deploy_config,val_months,train_rows,val_rows,test_rows,val_score,abstained_invalid_val,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,meta_mode,threshold,meta_train_months,meta_select_months,meta_score,feature_count,topk,train_months
SPXW,202601,SELECTED,vol25,12,15,"202510,202511,202512",18.144239447123287,179,0.4245810055865922,1.2923404934910745,5.030384684170278,0.02810270773279485,-5.242676259420199,0.547486033519553,22,0.4090909090909091,-0.07903896444725611,-4.886090514815889,9.985860649174327,1.985108749356296,25,1.0,36,0.5277777777777778,1.9879522910820733,3.5336158273604434,0.09815599520445677,-2.0687805435535034,0.5277777777777778,9,0.7777777777777778,0.4,-1.1687805435535032,4.049615866828241,1.1460260720682933,36,1.0,SPXW_SELECTOR,research_papers\JEPA\results\event_option_spxw_h2_union_config_selector_base_vol_wide_s3_2026janmay_risk5000\trade_union_config_selector_folds.csv,202601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPXW,202602,SELECTED,vol25,12,15,"202511,202512,202601",20.71416890344856,133,0.46616541353383456,1.5177822500170755,7.414635244708,0.055749137178255644,-2.398353895065024,0.631578947368421,22,0.5909090909090909,0.3290571887908387,-2.3983538950650236,9.03709833650094,1.2188190029915402,25,1.0,24,0.625,2.1485465035785154,1.780141382783306,0.07417255761597108,-0.7129229003545265,0.875,6,0.8333333333333334,0.5211962481565787,-0.7129229003545268,2.4930642831378327,1.4004866732775179,24,1.0,SPXW_SELECTOR,research_papers\JEPA\results\event_option_spxw_h2_union_config_selector_base_vol_wide_s3_2026janmay_risk5000\trade_union_config_selector_folds.csv,202602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPXW,202603,SELECTED,base,8,15,"202512,202601,202602",22.19875862801167,84,0.5119047619047619,1.7066443817842605,5.660529827890151,0.06738725985583513,-2.068780543553503,0.5119047619047619,20,0.65,0.4,-1.2532273822535984,5.53765325269023,0.9782923897698601,24,1.0,45,0.4444444444444444,1.2960563422832585,1.297839164633296,0.028840870325184356,-3.1850479384436925,0.6222222222222222,8,0.375,-0.06807878076792728,-3.0153947931969514,4.30032938141831,3.3134532371993615,45,1.0,SPXW_SELECTOR,research_papers\JEPA\results\event_option_spxw_h2_union_config_selector_base_vol_wide_s3_2026janmay_risk5000\trade_union_config_selector_folds.csv,202603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPXW,202604,SELECTED,"base,wideqfw",4,30,"202601,202602,202603",24.01111583399737,92,0.5543478260869565,1.9890617484564266,7.697969462853935,0.08367358111797756,-2.128228793964376,0.6847826086956522,23,0.7391304347826086,0.4,-2.128228793964377,6.791459241652297,0.882240345902131,24,1.0,36,0.5,1.5772358682684777,2.488778683232267,0.06913274120089631,-2.8784627632832613,0.8333333333333334,9,0.5555555555555556,0.4,-2.578462763283261,5.1205584078925614,2.0574583197740615,36,1.0,SPXW_SELECTOR,research_papers\JEPA\results\event_option_spxw_h2_union_config_selector_base_vol_wide_s3_2026janmay_risk5000\trade_union_config_selector_folds.csv,202604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPXW,202605,SELECTED,wideqfw,12,15,"202602,202603,202604",31.085548923632043,59,0.6949152542372882,3.5803827705775997,8.979884605867886,0.1522014339977608,-1.3072478495903272,0.864406779661017,13,0.6153846153846154,0.2454997819244157,-1.3072478495903255,10.430652594142115,1.1615575312990356,18,1.0,12,0.5,1.116652845384297,0.14887969412544283,0.012406641177120236,-0.6389156128848078,0.4166666666666667,7,0.42857142857142855,-0.1492097274382,-0.6389156128848077,0.7488796941254425,5.030099628593088,12,1.0,SPXW_SELECTOR,research_papers\JEPA\results\event_option_spxw_h2_union_config_selector_base_vol_wide_s3_2026janmay_risk5000\trade_union_config_selector_folds.csv,202605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPXW,202507,NO_HISTORY,,,,,,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,32,0.375,0.6685806970840592,-1.1347890564904601,-0.03546215801532688,-2.1561246671887457,0.46875,6,0.3333333333333333,-0.556535512326481,-2.057627027191472,-0.21955608958740347,0.19347744704766565,32,0.0,SPXW_BASE,research_papers\JEPA\results\event_option_spxw_base_intraday_side_circuit_m19_2025h2_2026jun_risk5000\intraday_circuit_folds.csv,202507,streakoff_daylossoff_lossesoff,999,-999.0,999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPXW,202508,NO_HISTORY,,,,,,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,39,0.5641025641025641,1.8956618447965328,2.3071595580966857,0.0591579373870945,-1.5630514625260719,0.9743589743589743,8,0.625,0.47478069141806706,-1.5630514625260719,4.2999982665376715,1.8637628470243288,39,1.0,SPXW_BASE,research_papers\JEPA\results\event_option_spxw_base_intraday_side_circuit_m19_2025h2_2026jun_risk5000\intraday_circuit_folds.csv,202508,streakoff_daylossoff_lossesoff,999,-999.0,999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPXW,202509,SELECTED,,,,"202507,202508",4.583253781956812,59,0.4745762711864407,1.2682716444082405,1.3600052327724377,0.023050936148685384,-2.428724521602224,0.711864406779661,14,0.5,-0.06959596884371054,-2.33022688160495,5.519064413645157,4.058119984137321,26,0.5,51,0.43137254901960786,1.3160495897381028,1.6607424055947537,0.032563576580289286,-2.829068048470434,0.5490196078431373,10,0.3,-0.2670068577513541,-2.829068048470436,4.629964944868221,2.7878886751314775,51,1.0,SPXW_BASE,research_papers\JEPA\results\event_option_spxw_base_intraday_side_circuit_m19_2025h2_2026jun_risk5000\intraday_circuit_folds.csv,202509,streakoff_dayloss0p3_lossesoff,999,-0.3,999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPXW,202510,SELECTED,,,,"202508,202509",5.861693336096052,81,0.5185185185185185,1.6510979576255846,4.5586111227014054,0.05627914966298032,-2.8973411725259997,0.7160493827160493,18,0.4444444444444444,-0.24624450706662193,-2.8973411725260014,9.059230488670185,1.9872786348359848,31,1.0,60,0.36666666666666664,1.0922035477223975,0.5431795736014224,0.00905299289335704,-3.4704453549329064,0.45,9,0.3333333333333333,-0.4056370538178634,-2.732712985781875,3.2758925593832977,6.030956830101829,60,1.0,SPXW_BASE,research_papers\JEPA\results\event_option_spxw_base_intraday_side_circuit_m19_2025h2_2026jun_risk5000\intraday_circuit_folds.csv,202510,streak1_daylossoff_lossesoff,1,-999.0,999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPXW,202511,SELECTED,,,,"202509,202510",5.0096401327476245,120,0.39166666666666666,1.1994065295948966,2.2854421316950404,0.01904535109745867,-3.7454155013320207,0.475,19,0.3157894736842105,-0.3,-3.007683132180989,9.57152842151449,4.1880423436561,50,1.0,50,0.42,1.2870749399631607,1.681251135496482,0.03362502270992964,-1.887821927618335,0.94,8,0.375,-0.44999999999999996,-1.8878219276183348,4.181799279741901,2.48731387682126,50,1.0,SPXW_BASE,research_papers\JEPA\results\event_option_spxw_base_intraday_side_circuit_m19_2025h2_2026jun_risk5000\intraday_circuit_folds.csv,202511,streakoff_dayloss0p3_losses2,999,-0.3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
