ticker,trade_date,path,size_bytes,sha256
AAPL,20220801,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220801.parquet,12398,75e1018c2ad686454efbf64a70be449461edfb9f46e496a4594cc15b993701e4
AAPL,20220802,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220802.parquet,12164,b0aa3b5d4c28be483e14d6c0de35c75ae8d965e90f9a72394e812a9ef969bfdb
AAPL,20220803,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220803.parquet,12610,446b442de299d4a4d60c401c282be31ee40dce60110662a85b585c0a2ee39e3c
AAPL,20220804,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220804.parquet,11819,bdda082b76d78f11100a3f855c53081a24c8cb25331c946c10bae0565d270ba7
AAPL,20220805,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220805.parquet,11779,378fcde4f434efdd1b8c485c92b9781e41fb6de6381ea8522adf2f84e0ea1984
AAPL,20220808,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220808.parquet,12501,a180c8018c7309e11e74c6a8a33ebe99d5544d21c1d39b11f0150c49f7e01ace
AAPL,20220809,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220809.parquet,11616,23f8bb1da6f566114312bac59b85cdf81591faebfbe06dce447682507aef1ed1
AAPL,20220810,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220810.parquet,11844,2aca353e88a3475dec391fe461f83c1db1d50fd5d116d9cab3fb04332f8b3135
AAPL,20220811,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220811.parquet,12130,9a8c893988714f09abd74239211c4161eef031663b507b1f3f74e5a618ce1d7f
AAPL,20220812,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220812.parquet,12027,b88e92bedadc277b6c34494fb4a19e759fb52043bc619a04b86f5c355ef397fc
AAPL,20220815,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220815.parquet,11297,b4b6567e85107505682f9c5422b64e25fb957956c9792e280440e5f1967e9708
AAPL,20220816,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220816.parquet,11636,70a6dafe019ad4193da0f4633e568e574a7a62253449c94abbde1b8f162f7a6e
AAPL,20220817,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220817.parquet,12508,d395aebc3b7fc6c6efd43533c5b53bea254fd74a470d36d04fe11875130e4ba1
AAPL,20220818,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220818.parquet,11408,cce6d5fa0d0e69b3bd0dbf485f93851c92946ba4d9a176c446d7dc3ff1e6a695
AAPL,20220819,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220819.parquet,11726,b3ac0e86e55f1db6dc1080040eb27920166b611bdaecc08ca9534c61fce6fe53
AAPL,20220822,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220822.parquet,11859,dbc87708bd776c78d0ca259fa6639f45b6a53e5857de2e715f1c467bd99a904e
AAPL,20220823,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220823.parquet,11479,7fa0d098f395f913007b5eacba1c7584c9e99c8cab911d9698230d46fbda98f4
AAPL,20220824,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220824.parquet,11714,e89721fec5396c2f29277841e804c7f0027ab029974e4d65188847532e3d0603
AAPL,20220825,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220825.parquet,11282,e6f43d5f1b38af105da74683b8aa21da22652ef0cf190e1e9b250deed6bf28c0
AAPL,20220826,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220826.parquet,13570,09293857440453caf49709e27fc8079e706ab0e26976ecb8636293c760fd0ae0
AAPL,20220829,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220829.parquet,12141,ad421f19e8b7fbb000603dac49fcf848e4925c057cf54857c11d637a61fa8dfd
AAPL,20220830,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220830.parquet,12475,9cf32510e1802fcae3e5c0315963216473e5a8b7e9802eed309d64685d1deec1
AAPL,20220831,D:\ThetaData\data_underlying_derived\AAPL\2022\08\AAPL_20220831.parquet,12378,342f72dc46e5d02869ab59f92d77802863034be1d9332d0b53e573930346ecf0
AAPL,20220901,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220901.parquet,12464,5130832e0eb433ff014bf9bb25ee2f1749c52723c87ae539a8d718d0e82ec726
AAPL,20220902,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220902.parquet,13167,5e313136df9c608a4e90ce5429eee451ba4bac7204c97a6be688356c29bc3e6f
AAPL,20220906,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220906.parquet,12421,4b59021f7b9e6e341cc175a52c98831919a86da68d2e447e5529d9c92f2d38ea
AAPL,20220907,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220907.parquet,12379,23671e5468f07b207bb7a4d6255d58cd5b9054ae02133b7177ec5409ea624557
AAPL,20220908,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220908.parquet,12756,5770d0a333d74e48b43a6f866d5cb9b2271abd268f44daba40eba1538252dc82
AAPL,20220909,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220909.parquet,12027,8e6cb5490c504287521aedd787ada8fc38c3a53a2f3041f0092d0b7d337fcaab
AAPL,20220912,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220912.parquet,12727,a90438b8820084a9e88038ba1ebf8a128801a4d43c46ac4e858f64bf01f90393
AAPL,20220913,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220913.parquet,13215,7fc9dd24a6c9b2ea8e0cc1bde98c4fb2d696b94a8ff36c2dfb8e5d2d64a7a56f
AAPL,20220914,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220914.parquet,12752,60dd9ef99c5fe09d44325a543227dd85333205147e5132bed1b29fa3b1033f67
AAPL,20220915,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220915.parquet,12982,8f21931067cb348bc6eff420eec80b56e79380f74b249c12a0484ae8fd7272b0
AAPL,20220916,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220916.parquet,12146,8849b26afa01024571faf98ecb43507339deff4efc8b435e8029f2685854a906
AAPL,20220919,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220919.parquet,12949,34043b7cec6d9de8ea862da4dfb8830c61f129943ad9dad3fc6ea391fd29fba8
AAPL,20220920,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220920.parquet,13254,dc4dd179672e3f80ab476746c2eb846e4969ccb9fe8e31fc26223decb24b2fdb
AAPL,20220921,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220921.parquet,12793,64a8a71c38569bc70bccc45fb30b6a719833d2c7fe482aee6f33783711df0aea
AAPL,20220922,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220922.parquet,12484,17d8cc0ca38ecf9400f50cff9a72a98e4d4da125f7bc3e08a6f5f80ebb5b3721
AAPL,20220923,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220923.parquet,11683,0444a61b93896dfe197e930b218cc52972c3ec4963bfc55c9d10406a423fa4d0
AAPL,20220926,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220926.parquet,12794,acc6dd585e6964c1009e7c5ebd4f007c0c3b9e7a14910e837471407342d4040d
AAPL,20220927,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220927.parquet,12926,b84e9ea623125f1a6d1d2f1980937fbd8c5b8fcd4dd8af70230f54c6ef3ceeb6
AAPL,20220928,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220928.parquet,13350,07f5aebaa3675c9528a188fab042c4b436b80f162f5f6a771dde51972bf58c16
AAPL,20220929,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220929.parquet,13186,bc86763278c7d4fb717f6e539f2fb451b81d1f6807a98c5365cd6315c046c1e2
AAPL,20220930,D:\ThetaData\data_underlying_derived\AAPL\2022\09\AAPL_20220930.parquet,13117,22357138b94effabeead7350a0fe7015fb0b28120c9a3fcc80a4f869ae9664ed
AAPL,20221003,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221003.parquet,12757,8d13f0eafb01304977c1037a6791f7d8ef208928acec7a23992dbd14a1a91a37
AAPL,20221004,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221004.parquet,11697,a4dfe9c7df0492992ed99470c07179745e3f7dd16c6d39298e4d38840c619a6b
AAPL,20221005,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221005.parquet,12921,c1baff23f928010c12d2a2c5072b73a174b0d56f3333f597ef0cd3230220fd40
AAPL,20221006,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221006.parquet,11661,3df7dfa79f7a3200b6e62f343a5cbb8a23d7b1d8ffd3697dce73a78f31b57b5f
AAPL,20221007,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221007.parquet,12194,b73e7e66fae6f137f39c81df214d1a648606141fdce945216c38aa6e55dbc1e4
AAPL,20221010,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221010.parquet,12645,608711c078429f41a67819d40db3ff657180f07e1b26fb4122af1dc235a15d68
AAPL,20221011,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221011.parquet,12629,0d3583b159925670ea8e564fc6a91cb5028309ba158fd25cad2331ef9e3f590e
AAPL,20221012,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221012.parquet,11855,14e5969b078d8846f369edacf25aee5d6a6cabf830d78f22153c509676f4e04d
AAPL,20221013,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221013.parquet,13993,bbd5b6c47a9654cbfe1b6c54eee449203b3e4ee29565612eff3aed15fabcfc91
AAPL,20221014,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221014.parquet,12782,8847f2c9aa8c638db7203e037ea9447d8f391f3d560b3fcf6a753dd663ababbc
AAPL,20221017,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221017.parquet,11980,72e75365b427dcceeeaaa5d29aebddd6abefed5ace887f477acfb21cfc03f01d
AAPL,20221018,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221018.parquet,13293,e26298032f8d9dadb8006b78f4fa5ea137ca38d00e8e3e0cfbafa79b90474874
AAPL,20221019,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221019.parquet,12272,06a8319efd64997eef984f6752560196cc79380b746bc71b54749b146c7a3d38
AAPL,20221020,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221020.parquet,12815,764f03dcc4d51fb9d37ceaf059fb48b7d6dd72d327db3dca2e14fb2d2bbf83cf
AAPL,20221021,D:\ThetaData\data_underlying_derived\AAPL\2022\10\AAPL_20221021.parquet,13267,6a96b2279b7d4a7cb4a502ff8e705d9b20f94f92ae0979768e22433f64ec8496
