ticker,trade_date,path,size_bytes,sha256,audit_rows_read,model_rows_used,original_invalid_open_rows,audit_first_clock,model_first_clock,last_clock
QQQ,20230103,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230103.parquet,13075,4945926239a47c2f2c080dea4338c662860c126eb0a550866cda888bb8fb578b,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230104,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230104.parquet,13256,7d176aa1366a152bbdc6901c858cb2b382b5d17b6d9e99f26ebc2fb8c27ce0e9,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230105,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230105.parquet,12058,c415faa04fa906a5fb4311b7a4749a702db5b8a64eee912900d5bb87b9bba9c4,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230106,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230106.parquet,13958,ae382491029d9eea18012e6cd96aaafde6894fe14e4360d979b82409d6b2d2a7,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230109,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230109.parquet,13195,8b6a84ed1ea1b208b4357f7efda6d530a9452be1c04d76c58fa56a106d69040a,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230110,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230110.parquet,12654,b730c4e89aae9d88cb97bf21795f2a4dfe81570ac67c04fc209d702588c50391,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230111,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230111.parquet,12777,1b1b1821df316deb7943215a5e6ad1f62bd25cc959519e6e9d6362dca799c43a,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230112,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230112.parquet,13184,47f9a75c6202fbd711b876b5333f7c7d9e7ada27094a0b3020121c53d24ef6cd,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230113,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230113.parquet,12997,ada9905d28001100d0fe0d82b9b9f289224fcead73823e489d721beb54398934,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230117,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230117.parquet,12059,4abddc3ac3e63779c72bad0e582cccb087c06b42c9313605af0743f0dd3da82f,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230118,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230118.parquet,13113,db108110dbfc266159ebcd4767f9fd1770069189f0ac85960d2f4a959408363e,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230119,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230119.parquet,12825,cd6cc54f4d474270e9a1d206632e63416dcf77b3cb0caeae49d25bbb2fc74386,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230120,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230120.parquet,13586,3f49f69b4884ab8625f236e62b731b7f724582b2fe9f95cd8b0747392dc20dc3,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230123,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230123.parquet,13247,5ad9a4fb9c05a9d072c59aececc13f34076f688ea0a8a4eaaade3e3920cdc0ff,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230124,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230124.parquet,11859,3d245bcd1871af39e168673697a55c9074e5cf3cf09bc96c2859ebc94d32ff6b,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230125,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230125.parquet,14026,f9e1b8cbc641463902e9a39f0d5c48bd403ee550d80ef33d6a902e0fbc381f69,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230126,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230126.parquet,13338,3157bff7030790cd0d3f8c9691bcb2ffbc5323f5fd315dfacc593f6ca8c88e4c,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230127,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230127.parquet,13899,97f5072184feb565e415f0046caaaf7dc43bda227c4311492e0b449512e5b0e3,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230130,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230130.parquet,12997,40fdfc552ef294507c7f4afad03a024ddcaded63c614aa2ea15abb969132567c,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230131,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230131.parquet,12398,d469e28c98af4047e27d17d60c3caf43ef353c705c6fbfb72469c6634aa9236e,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230201,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230201.parquet,12943,e89063b8b8c118f8e60373ad5483e62f08bffc490002e06270a522b466a0dfd2,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230202,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230202.parquet,13624,b84a537c50380f9b4799833b80eb4fd100a7083f97ca7af20ce1683374302bcc,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230203,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230203.parquet,13961,76146ad42fa4ac45dac2bfb456c7a78c0acbb3c77b6f1b11879c82f9dfe85976,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230206,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230206.parquet,12646,9d36f678c6df2db5cb2d61da100ec5935c6d0001bc7dee24441fc1e78b4bf9de,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230207,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230207.parquet,14094,947f2e64050df30ec89719c129e7d7a458e5b7a3415a08be137600aeee41d76f,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230208,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230208.parquet,13128,3818702faf694a5d0c9956a0e6387e7712b06700564520d6cc9cb95269fe17a0,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230209,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230209.parquet,14485,85b47049f439d2a95e818e0b9d86d9684453b89699211578512677bba07b4806,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230210,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230210.parquet,12776,08de4c859e64a8ba9371c87f55a57caf47776befdee897f94cbc7d2880821f49,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230213,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230213.parquet,12822,af96a5aab75f74948b4ce9e872390bc0684dd3e4212584501f8d2ae60f8af3b5,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230214,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230214.parquet,13876,8329d78770af562748d68b193e9b286921e1bfca5c1c0f97f8526b3b33f90ae5,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230215,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230215.parquet,13297,62965396a3b8dcde832693a55cf0a80bbbda907134cc51710cb44998f9b65695,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230216,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230216.parquet,12853,2afa039331f0522b89e1bbea055b461e6ceca08d5158ce9e66d4d65ac4506f7d,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230217,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230217.parquet,12815,a77096e47505643d49d83fcc7c4ef020fd00a36f70e7e98e3d7001aa18bceb52,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230221,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230221.parquet,13036,22676474408d16bbeacc59af3863e685288420909b3fee48a82b96e246bff86f,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230222,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230222.parquet,12774,cb9f0667ff41dd9fda2df83423869c8e66cdd10c2c6a97dd9fbd4310c467923c,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230223,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230223.parquet,13630,05f3d0fd119871a5ef3b9a1119ddcc62cbde418291eb303c67e5eff7396d4057,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230224,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230224.parquet,12047,9405b0b8b1aeaa8b87d6fab83e359b06d8379a806a3ff0b392ba17b5cc033fff,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230227,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230227.parquet,12166,059ac194adaf754a7db68a6f9b68900bd07b13bbd31114310cba42cb934372d2,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230228,D:\ThetaData\data_underlying_derived\QQQ\2023\02\QQQ_20230228.parquet,12549,e0fa3ab713879d86bf27fc79fa9b94eecc1bbd8c67a0abaab5884abd2b8c4d87,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230301,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230301.parquet,12621,7ccf66f18f46cd1620c0673146345040d139834f94c27c3c48a83e9b9e41ee59,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230302,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230302.parquet,12867,f1c55f5162cf9bf488c44194482b7baeaadc65ea20d731163e7163564af7b072,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230303,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230303.parquet,12896,30cad8014deac9cc00c55d4087d1989f72aed1072371b3ee2af474d09de6dd99,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230306,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230306.parquet,13024,d0550fa2e80f1407b7209ce4473e8a15976a5ac66ebf99e51a341c34d70242c7,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230307,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230307.parquet,13182,00e41017ba9482bbdf3fd5ea9824911ed6979f3d9a284fbc06711cd12dba0623,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230308,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230308.parquet,12471,5720b956095d4e7d8129fd12b5f9841f80d56c76e5de77d26dbd26906da16c36,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230309,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230309.parquet,14295,38c49d90f2f7463789bf293b81a1fa437ec75e9be375508d466f18c2117275cb,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230310,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230310.parquet,14201,000842e65be917496f6c82dc43a080b01ee789e038e2bb1fa6e627a90134fce0,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230313,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230313.parquet,13793,731ffd0ac4f3bdca2589a5bd4b2ae17bcf279bd3b47b2d7c7bba311d66fb24a0,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230314,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230314.parquet,13104,4264f6462f12fc57c08e7c447907bc55a410703ca87e827d1b6770d2a4186476,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230315,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230315.parquet,13394,e7445bec12df178cd68b5f565f19e4a4fbf00c2b2476918307b79a2be8413dd9,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230316,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230316.parquet,14001,7204600d63fef5662a65b0f58a0b4b1439cc528a238de3f2e82cc38649a47992,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230317,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230317.parquet,12988,af128fc201edc3365dc0d9b97bb4d64c32900042dc8b0b6f05884c5d74ee8264,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230320,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230320.parquet,12743,a28cc3c17dace1b17c02dc8a330fc4db7be1dc5fcac6641629a860e41fe860ec,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230321,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230321.parquet,13089,d4472e25a7ecf3dc7b3c4190acd55b6bbc008b281e2637e27b07bb3d47971cfc,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230322,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230322.parquet,12843,a68f115ba6b40f6eed087d63b62327162a7c265001258c263525957898ae58d1,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230323,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230323.parquet,13983,713d55a1b85cb08dde7d77d5ba4e8bf761919df75162f0a74764370eba780287,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230324,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230324.parquet,12920,95fba2a7dd78302028be91d42523b9f65d3df0b2ee6fe99dbf97ad0053641a27,66,36,0,09:30:00,10:00:00,10:35:00
QQQ,20230327,D:\ThetaData\data_underlying_derived\QQQ\2023\03\QQQ_20230327.parquet,12977,768617bd8c31791dd6ebe8fb4ccb226ee42f1e15a336f2cf8d2eaf599fcf98d6,66,36,0,09:30:00,10:00:00,10:35:00
