block,scope,cost_bps,trades,win_rate,profit_factor,net_bps
DEV_A,QQQ,1.0,124,0.4435483870967742,0.6671271540527145,-794.7069398482398
DEV_A,QQQ,2.0,124,0.43548387096774194,0.6260339298816804,-918.7069398482398
DEV_A,QQQ,3.0,124,0.4032258064516129,0.5876136147817445,-1042.7069398482402
DEV_A,SPXW,1.0,124,0.5,0.9275260051994366,-108.28200384717651
DEV_A,SPXW,2.0,124,0.49193548387096775,0.8507455179473414,-232.28200384717653
DEV_A,SPXW,3.0,124,0.4838709677419355,0.78004315027319,-356.2820038471765
DEV_A,SPY,1.0,124,0.4596774193548387,0.7719433213483389,-371.2994308241168
DEV_A,SPY,2.0,124,0.4435483870967742,0.7080611952347649,-495.2994308241169
DEV_A,SPY,3.0,124,0.4274193548387097,0.649543519856795,-619.2994308241169
DEV_A,POOLED,1.0,372,0.46774193548387094,0.7687149563853238,-1274.2883745195331
DEV_A,POOLED,2.0,372,0.45698924731182794,0.7116593926294048,-1646.2883745195331
DEV_A,POOLED,3.0,372,0.4381720430107527,0.6588063165768339,-2018.2883745195331
DEV_B,QQQ,1.0,125,0.448,0.7378909362883704,-805.4744190991686
DEV_B,QQQ,2.0,125,0.424,0.7040274053067289,-930.4744190991686
DEV_B,QQQ,3.0,125,0.408,0.6719061562378477,-1055.4744190991685
DEV_B,SPXW,1.0,123,0.5691056910569106,0.991590348060564,-16.635113139068316
DEV_B,SPXW,2.0,123,0.5447154471544715,0.9313220909230978,-139.6351131390684
DEV_B,SPXW,3.0,123,0.5203252032520326,0.8743582760395429,-262.6351131390684
DEV_B,SPY,1.0,123,0.5609756097560976,1.1229643149650628,228.5166342205366
DEV_B,SPY,2.0,123,0.5284552845528455,1.0551141967250484,105.51663422053659
DEV_B,SPY,3.0,123,0.5203252032520326,0.9911365446953507,-17.48336577946337
DEV_B,POOLED,1.0,371,0.5256064690026954,0.9140909007312508,-593.5928980177005
DEV_B,POOLED,2.0,371,0.49865229110512127,0.8639786785023369,-964.5928980177005
DEV_B,POOLED,3.0,371,0.48247978436657685,0.8165359461533102,-1335.5928980177005
