ticker,month,trades,win_rate,profit_factor,net_bps,frequency_pass,pnl_positive,month_complete,july_mtd
QQQ,202601,20,0.6,0.9386327247961916,-21.55744538385018,True,False,True,False
QQQ,202602,19,0.47368421052631576,0.7185321086067123,-151.20134961302676,True,False,True,False
QQQ,202603,21,0.47619047619047616,0.8972774416818153,-57.694403420189246,True,False,True,False
QQQ,202604,18,0.6111111111111112,2.3097998143652214,273.3786734826246,True,True,True,False
QQQ,202605,20,0.45,0.5803552066175123,-231.9782191856018,True,False,True,False
QQQ,202606,20,0.55,1.1551801607127354,102.17256952618092,True,True,True,False
QQQ,202607,12,0.6666666666666666,3.4530661153188977,341.97282044556835,False,True,False,True
SPXW,202601,20,0.55,0.7967319761232647,-52.78228045976488,True,False,True,False
SPXW,202602,19,0.631578947368421,0.9934885485841234,-2.266450594344482,True,False,True,False
SPXW,202603,21,0.3333333333333333,0.6565025975976155,-173.6395470025891,True,False,True,False
SPXW,202604,18,0.6111111111111112,1.8815853779766225,161.36911125294162,True,True,True,False
SPXW,202605,20,0.45,0.7548074049233654,-72.07722208752924,True,False,True,False
SPXW,202606,21,0.47619047619047616,1.1020927561179723,41.4791877230851,True,True,True,False
SPXW,202607,13,0.38461538461538464,0.8071387978759861,-39.35121720859512,True,False,False,True
SPY,202601,20,0.45,0.6091880852677771,-113.83524833238653,True,False,True,False
SPY,202602,19,0.5789473684210527,0.8756484769607068,-46.05224805830562,True,False,True,False
SPY,202603,21,0.42857142857142855,0.9037307470224534,-41.89612661078737,True,False,True,False
SPY,202604,18,0.5555555555555556,1.1791090016870953,42.7635329740921,True,True,True,False
SPY,202605,20,0.45,0.7825641455006701,-63.307992456553094,True,False,True,False
SPY,202606,21,0.5238095238095238,1.3768097622663742,134.4892651178561,True,True,True,False
SPY,202607,13,0.3076923076923077,0.49607161131351857,-123.16200341871975,True,False,False,True
