ticker,trade_date,path,size_bytes,sha256,rows_read,entry_time,exit_time
QQQ,20260102,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260102.parquet,13969,4bef9bc8bb1779a3911d211fc0db94fa0761ed90cb0251c3e0ff839bed929b6a,2,10:36:00,13:36:00
QQQ,20260105,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260105.parquet,12792,62f19a7dab7106b03b7ff9f8e59b51d00cb9bfa53b5fad0683c4384d7ee2eb17,2,10:36:00,13:36:00
QQQ,20260106,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260106.parquet,12983,405875a5b729263fac38d0fce3adfeafc57ee4989a8a3034eb0f81f3a9723f7d,2,10:36:00,13:36:00
QQQ,20260107,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260107.parquet,13056,81bf9e0aa144557f774a71332d3823e053eaebd9cf0c674d014688b0ee4f2709,2,10:36:00,13:36:00
QQQ,20260108,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260108.parquet,12236,1c393b88f643cb7e77acc0894f936a4dfb50dd07059b370789b6d28666e7942d,2,10:36:00,13:36:00
QQQ,20260109,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260109.parquet,13264,f4b9fa55c6141807a8bdf30127c50f3159214c39ab5229605d58193e06f93e63,2,10:36:00,13:36:00
QQQ,20260112,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260112.parquet,12809,3a55d6f3f512b0d4c70588d0415c1edba728aa1967cc91c95e421ab98ce13e07,2,10:36:00,13:36:00
QQQ,20260113,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260113.parquet,13316,540251a5d863d9bc405423ef0655496ca4121ee44fba60fb8c4c993fee77d8d2,2,10:36:00,13:36:00
QQQ,20260114,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260114.parquet,13750,ec2c079eddd39cd07bb420e80f253e045a406bc4963a33466d9ee8b5bf990d84,2,10:36:00,13:36:00
QQQ,20260115,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260115.parquet,13116,dc5480dcffa5aa7c203abc9ccdef65d8a2fb0980e991141efd4190896f59b6e4,2,10:36:00,13:36:00
QQQ,20260116,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260116.parquet,12539,c76bd46998269b1cab495f253c3ca36eb7ca8a0ed3d81d3abec0f4cd0d1048b8,2,10:36:00,13:36:00
QQQ,20260120,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260120.parquet,14272,4a4d5c9c36471a91386bd807425272edb8f9d48d02254f827a844f27291ffd2f,2,10:36:00,13:36:00
QQQ,20260121,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260121.parquet,14285,af548b111ed087626d531b0c3d4d79cf1dd782ee8b868430925132e0f7e83148,2,10:36:00,13:36:00
QQQ,20260122,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260122.parquet,12836,4e56999a4190216ba7f42e6304f4cbec65a5dd8d77e66b8fa6375a7b2106f114,2,10:36:00,13:36:00
QQQ,20260123,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260123.parquet,13188,f50d3dc682280fa7efffcc128f6196bcceaf08af1d6f1ed338da8670edd12f53,2,10:36:00,13:36:00
QQQ,20260126,D:\ThetaData\data_underlying_derived\QQQ\2026\01\QQQ_20260126.parquet,12181,55e6f39033fe32e186082dce7bcf3d6141563c090e4bb41e536a9f1a949430e5,2,10:36:00,13:36:00
