period,scope,cost_bps,trades,win_rate,profit_factor,net_bps
CLOSED_H1,QQQ,1.0,118,0.5254237288135594,0.9697287329425407,-86.88017459386253
CLOSED_H1,QQQ,2.0,118,0.5169491525423728,0.9299967261619402,-204.88017459386253
CLOSED_H1,QQQ,3.0,118,0.5084745762711864,0.8918071838278792,-322.8801745938626
CLOSED_H1,SPXW,1.0,119,0.5042016806722689,0.9509565465009991,-97.91720116820092
CLOSED_H1,SPXW,2.0,119,0.4789915966386555,0.8945373227286176,-216.91720116820102
CLOSED_H1,SPXW,3.0,119,0.46218487394957986,0.8415702488570146,-335.917201168201
CLOSED_H1,SPY,1.0,119,0.4957983193277311,0.955718482630145,-87.83881736608436
CLOSED_H1,SPY,2.0,119,0.4789915966386555,0.8988422680787588,-206.83881736608436
CLOSED_H1,SPY,3.0,119,0.4789915966386555,0.8453332859085297,-325.83881736608424
CLOSED_H1,POOLED,1.0,356,0.5084269662921348,0.9602004842529717,-272.63619312814797
CLOSED_H1,POOLED,2.0,356,0.49157303370786515,0.9105558447752765,-628.636193128148
CLOSED_H1,POOLED,3.0,356,0.48314606741573035,0.8634594607868554,-984.6361931281479
JULY_MTD,QQQ,1.0,12,0.6666666666666666,3.4530661153188977,341.97282044556835
JULY_MTD,QQQ,2.0,12,0.6666666666666666,3.3009649343876513,329.97282044556835
JULY_MTD,QQQ,3.0,12,0.6666666666666666,3.157118554078023,317.97282044556835
JULY_MTD,SPXW,1.0,13,0.38461538461538464,0.8071387978759861,-39.35121720859512
JULY_MTD,SPXW,2.0,13,0.38461538461538464,0.7531057781365289,-52.35121720859512
JULY_MTD,SPXW,3.0,13,0.38461538461538464,0.7030017350975573,-65.35121720859513
JULY_MTD,SPY,1.0,13,0.3076923076923077,0.49607161131351857,-123.16200341871975
JULY_MTD,SPY,2.0,13,0.3076923076923077,0.462667829897939,-136.16200341871973
JULY_MTD,SPY,3.0,13,0.3076923076923077,0.4315554333998246,-149.16200341871973
JULY_MTD,POOLED,1.0,38,0.4473684210526316,1.3052817390019036,179.45959981825348
JULY_MTD,POOLED,2.0,38,0.4473684210526316,1.232339337523888,141.45959981825345
JULY_MTD,POOLED,3.0,38,0.4473684210526316,1.1642609277441585,103.45959981825348
ALL_AVAILABLE,QQQ,1.0,130,0.5384615384615384,1.0847635829645017,255.09264585170573
ALL_AVAILABLE,QQQ,2.0,130,0.5307692307692308,1.0407450776083846,125.09264585170578
ALL_AVAILABLE,QQQ,3.0,130,0.5230769230769231,0.9984330110829261,-4.907354148294246
ALL_AVAILABLE,SPXW,1.0,132,0.49242424242424243,0.9376216737928121,-137.26841837679615
ALL_AVAILABLE,SPXW,2.0,132,0.4696969696969697,0.8813196312782133,-269.26841837679615
ALL_AVAILABLE,SPXW,3.0,132,0.45454545454545453,0.8285419657307351,-401.26841837679615
ALL_AVAILABLE,SPY,1.0,132,0.4772727272727273,0.905297941421265,-211.0008207848041
ALL_AVAILABLE,SPY,2.0,132,0.4621212121212121,0.8507471861558348,-343.0008207848041
ALL_AVAILABLE,SPY,3.0,132,0.4621212121212121,0.7995032350837787,-475.00082078480415
ALL_AVAILABLE,POOLED,1.0,394,0.5025380710659898,0.9874730451623258,-93.17659330989432
ALL_AVAILABLE,POOLED,2.0,394,0.4873096446700508,0.9362092378879519,-487.17659330989426
ALL_AVAILABLE,POOLED,3.0,394,0.4796954314720812,0.8876216449897207,-881.1765933098943
