ticker,trade_date,month,sensor_ticker,signal_pressure,base_side,direct_probability,orientation,side,entry_open,exit_open,underlying_return_bps,base_gross_bps,gross_bps,net_bps_1bp,net_bps_2bp,net_bps_3bp,net_bps
QQQ,20260102,202601,QQQ,-0.006200000000000011,-1,0.33379548214337124,-1,1,616.83,611.57,-85.64038014541728,85.64038014541728,-85.64038014541728,-86.64038014541728,-87.64038014541728,-88.64038014541728,-86.64038014541728
QQQ,20260105,202601,QQQ,-0.004849999999999993,-1,0.446611249080851,-1,1,619.89,618.29,-25.8443988850931,25.8443988850931,-25.8443988850931,-26.8443988850931,-27.8443988850931,-28.8443988850931,-26.8443988850931
QQQ,20260106,202601,QQQ,0.00874999999999998,1,0.5431704662252297,1,1,621.94,622.23,4.661742450820493,4.661742450820493,4.661742450820493,3.661742450820493,2.661742450820493,1.6617424508204932,3.661742450820493
QQQ,20260107,202601,QQQ,0.0019500000000000073,1,0.49761508694498924,-1,-1,625.59,626.83,19.801670448831654,19.801670448831654,-19.801670448831654,-20.801670448831654,-21.801670448831654,-22.801670448831654,-20.801670448831654
QQQ,20260108,202601,QQQ,0.010550000000000032,1,0.5227548492194866,1,1,619.89,620.04,2.419491434704531,2.419491434704531,2.419491434704531,1.4194914347045309,0.4194914347045309,-0.5805085652954691,1.4194914347045309
QQQ,20260109,202601,QQQ,-0.007300000000000029,-1,0.47561451928446596,-1,1,625.01,626.83,29.077218850944394,-29.077218850944394,29.077218850944394,28.077218850944394,27.077218850944394,26.077218850944394,28.077218850944394
QQQ,20260112,202601,QQQ,0.007849999999999996,1,0.5250496704269962,1,1,626.07,627.94,29.824345677056144,29.824345677056144,29.824345677056144,28.824345677056144,27.824345677056144,26.824345677056144,28.824345677056144
QQQ,20260113,202601,QQQ,-0.0019500000000000073,-1,0.43881168596561343,-1,1,625.1,625.98,14.067847701663302,-14.067847701663302,14.067847701663302,13.067847701663302,12.067847701663302,11.067847701663302,13.067847701663302
QQQ,20260114,202601,QQQ,0.01830000000000001,1,0.5985894180631817,1,1,618.72,614.95,-61.118641705674065,-61.118641705674065,-61.118641705674065,-62.118641705674065,-63.118641705674065,-64.11864170567407,-62.118641705674065
QQQ,20260115,202601,QQQ,-0.006449999999999956,-1,0.461066756790024,-1,1,626.36,626.24,-1.916014695307489,1.916014695307489,-1.916014695307489,-2.916014695307489,-3.916014695307489,-4.916014695307489,-2.916014695307489
QQQ,20260116,202601,QQQ,0.002050000000000024,1,0.5104115132590968,1,1,620.31,621.97,26.725069839605105,26.725069839605105,26.725069839605105,25.725069839605105,24.725069839605105,23.725069839605105,25.725069839605105
QQQ,20260120,202601,QQQ,8.326672684688674e-17,1,0.4665800838246493,-1,-1,613.71,610.21,-57.19343651009166,-57.19343651009166,57.19343651009166,56.19343651009166,55.19343651009166,54.19343651009166,56.19343651009166
QQQ,20260121,202601,QQQ,0.0017000000000000903,1,0.4577904605841823,-1,-1,615.31,610.57,-77.33258756609561,-77.33258756609561,77.33258756609561,76.33258756609561,75.33258756609561,74.33258756609561,76.33258756609561
QQQ,20260122,202601,QQQ,-0.0034500000000000086,-1,0.5116567040825178,1,-1,619.96,621.75,28.831228546639764,-28.831228546639764,-28.831228546639764,-29.831228546639764,-30.831228546639764,-31.831228546639764,-29.831228546639764
QQQ,20260123,202601,QQQ,-0.0042500000000000315,-1,0.487537091643471,-1,1,623.72,622.96,-12.192384479540198,12.192384479540198,-12.192384479540198,-13.192384479540198,-14.192384479540198,-15.192384479540198,-13.192384479540198
QQQ,20260126,202601,QQQ,-0.004699999999999982,-1,0.41928710436107364,-1,1,625.77,627.2,22.825775890524064,-22.825775890524064,22.825775890524064,21.825775890524064,20.825775890524064,19.825775890524064,21.825775890524064
QQQ,20260127,202601,QQQ,-0.012649999999999967,-1,0.3816728278060923,-1,1,631.02,631.35,5.228261246972312,-5.228261246972312,5.228261246972312,4.228261246972312,3.2282612469723118,2.2282612469723118,4.228261246972312
QQQ,20260128,202601,QQQ,0.002199999999999952,1,0.442425318660969,-1,-1,634.1,633.17,-14.67722216972291,-14.67722216972291,14.67722216972291,13.67722216972291,12.67722216972291,11.67722216972291,13.67722216972291
QQQ,20260129,202601,QQQ,0.0044999999999999485,1,0.5706700840310219,1,1,622.17,625.77,57.695241537527664,57.695241537527664,57.695241537527664,56.695241537527664,55.695241537527664,54.695241537527664,56.695241537527664
QQQ,20260130,202601,QQQ,-0.005350000000000021,-1,0.44220023686502585,-1,1,626.86,620.13,-107.94096735307481,107.94096735307481,-107.94096735307481,-108.94096735307481,-109.94096735307481,-110.94096735307481,-108.94096735307481
QQQ,20260202,202602,QQQ,-0.002999999999999947,-1,0.4095698291172885,-1,1,626.65,627.91,20.086730385959548,-20.086730385959548,20.086730385959548,19.086730385959548,18.086730385959548,17.086730385959548,19.086730385959548
