ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month
SPXW,20260102,202601,10:05,605,zero_dte,PUT,0.13657269834657693,-0.35772062978900976,0.13657269834657693,-0.6,0.5,0.5,thr0.034_maxday1,202601
SPXW,20260105,202601,10:00,600,zero_dte,CALL,0.43152532024831447,0.43152532024831447,-0.6774508988306931,0.5,-0.6,0.5,thr0.034_maxday1,202601
SPXW,20260106,202601,10:00,600,zero_dte,CALL,0.041986105522717566,0.041986105522717566,-0.33742901667786723,-0.6,0.5,-0.6,thr0.034_maxday1,202601
SPXW,20260107,202601,10:05,605,zero_dte,CALL,0.3774844089768384,0.3774844089768384,-0.5137429073471321,0.5,0.5,0.5,thr0.034_maxday1,202601
SPXW,20260108,202601,10:00,600,zero_dte,PUT,0.36693693360461754,-0.23046097867952417,0.36693693360461754,0.5,-0.6,-0.6,thr0.034_maxday1,202601
SPXW,20260109,202601,10:10,610,zero_dte,PUT,0.3036536566755706,-0.4109613207579905,0.3036536566755706,0.5,-0.6,-0.6,thr0.034_maxday1,202601
SPXW,20260112,202601,10:00,600,zero_dte,CALL,0.31001261106458844,0.31001261106458844,-0.4885664416994084,0.15999997456868487,-0.6,0.15999997456868487,thr0.034_maxday1,202601
SPXW,20260113,202601,10:10,610,zero_dte,CALL,0.22000352516691316,0.22000352516691316,-0.47682465606853963,0.5,-0.6,0.5,thr0.034_maxday1,202601
SPXW,20260114,202601,10:00,600,zero_dte,PUT,0.19805588078849992,-0.4089061798394966,0.19805588078849992,-0.6,-0.6,-0.6,thr0.034_maxday1,202601
SPXW,20260115,202601,10:00,600,zero_dte,PUT,0.08366777483121393,-0.5376465453087741,0.08366777483121393,0.5,-0.6,-0.6,thr0.034_maxday1,202601
SPXW,20260116,202601,10:20,620,zero_dte,PUT,0.26306915169068806,-0.552747440352348,0.26306915169068806,0.5,-0.6,-0.6,thr0.034_maxday1,202601
SPXW,20260120,202601,10:00,600,zero_dte,CALL,0.4569040477795886,0.4569040477795886,-0.33757356031421676,0.5,-0.6,0.5,thr0.034_maxday1,202601
SPXW,20260121,202601,10:15,615,zero_dte,CALL,0.10109613390064298,0.10109613390064298,-0.2754987890191889,0.5,-0.6,0.5,thr0.034_maxday1,202601
SPXW,20260122,202601,10:00,600,zero_dte,PUT,0.07178097928145938,-0.10582893615845637,0.07178097928145938,0.5,-0.6,-0.6,thr0.034_maxday1,202601
