month,ticker,arm,train_events,test_events,scheduler_rejections,trades,win_rate,profit_factor,pnl,minimum_hold,maximum_hold,max_drawdown,call_rate,put_rate,positive_month,gate_pass
202301,SPXW,M0_PATH,3593,369,310,59,0.4745762711864407,1.1863751162995135,2.574191499278145,30.0,157.0,2.700217013428851,0.7457627118644068,0.2542372881355932,True,False
202301,SPXW,M1_SYNTH_GREEKS,3593,369,308,61,0.4918032786885246,1.061839749927806,0.850413494299235,30.0,180.0,2.4092322560441253,0.7540983606557377,0.2459016393442623,True,False
202301,QQQ,M0_PATH,2492,300,265,35,0.4,0.8934980976781933,-0.8492034540800123,30.0,147.0,2.893160060719975,0.7142857142857143,0.2857142857142857,False,False
202301,QQQ,M1_SYNTH_GREEKS,2492,300,265,35,0.37142857142857144,0.8880927683037855,-0.9384405744232088,30.0,147.0,3.035070384605724,0.7142857142857143,0.2857142857142857,False,False
202301,SPY,M0_PATH,2901,370,351,19,0.5263157894736842,1.237305016118046,0.8024738115570573,30.0,90.0,1.1021963027984079,0.6842105263157895,0.3157894736842105,True,False
202301,SPY,M1_SYNTH_GREEKS,2901,370,351,19,0.5789473684210527,1.529794721350026,1.5372997253796905,30.0,180.0,1.3127226557375913,0.6842105263157895,0.3157894736842105,True,True
202302,SPXW,M0_PATH,3962,269,212,57,0.3333333333333333,0.6954551822824245,-4.30554885887884,30.0,108.0,6.13067994327096,0.7368421052631579,0.2631578947368421,False,False
202302,SPXW,M1_SYNTH_GREEKS,3962,269,217,52,0.38461538461538464,0.6820657433959456,-4.03688338093152,30.0,180.0,4.929857267672253,0.7692307692307693,0.23076923076923078,False,False
202302,QQQ,M0_PATH,2792,318,287,31,0.3548387096774194,0.3244104964548828,-4.411001959738131,30.0,178.0,4.4110019597381305,0.7096774193548387,0.2903225806451613,False,False
202302,QQQ,M1_SYNTH_GREEKS,2792,318,286,32,0.375,0.5468011353980018,-2.649551452690455,30.0,120.0,3.705641216486414,0.71875,0.28125,False,False
202302,SPY,M0_PATH,3271,301,282,19,0.42105263157894735,0.6337694499803962,-1.7893156238751842,30.0,180.0,2.854153219608056,0.7368421052631579,0.2631578947368421,False,False
202302,SPY,M1_SYNTH_GREEKS,3271,301,282,19,0.42105263157894735,0.7111891195027609,-1.3598538728236145,30.0,180.0,2.660819911706038,0.7368421052631579,0.2631578947368421,False,False
202303,SPXW,M0_PATH,4231,344,271,73,0.3424657534246575,1.0694996372861152,1.3176678435088691,30.0,120.0,7.368698971555684,0.684931506849315,0.3150684931506849,True,False
202303,SPXW,M1_SYNTH_GREEKS,4231,344,266,78,0.3076923076923077,0.8912863832803126,-2.112402646760508,30.0,107.0,7.430094995232221,0.6923076923076923,0.3076923076923077,False,False
