arm,trades,win_rate,profit_factor,pnl,minimum_hold,maximum_hold,max_drawdown,call_rate,put_rate,passing_cells,minimum_monthly_trades,worst_month_pf,worst_month_wr,worst_month_pnl,positive_month_rate,concentration_pass,eligible_36_of_36
M0_PATH,1478,0.38903924221921515,0.9045340122165948,-34.94228590894582,30.0,180.0,45.2731188131301,0.7158322056833559,0.28416779431664413,3,19,0.1968491066040855,0.21052631578947367,-9.437521578153657,0.3611111111111111,True,False
M1_SYNTH_GREEKS,1502,0.39081225033288947,0.9014814721194022,-36.299115220743346,30.0,180.0,48.34316035554683,0.7177097203728362,0.2822902796271638,5,19,0.20963748617359354,0.21052631578947367,-7.428288633383776,0.3611111111111111,False,False
