month,ticker,direction,config_id,trades,win_rate,profit_factor,pnl,minimum_hold,maximum_hold,max_drawdown,call_rate,put_rate,positive_month,gate_pass
202301,SPXW,D0_K1,B00,49,0.3877551020408163,0.5349963187359814,-8.25828567753571,30.0,180.0,10.986214729906681,0.14285714285714285,0.8571428571428571,False,False
202301,QQQ,D0_K1,B00,35,0.4,0.5031038760436956,-6.407054120381669,30.0,139.0,6.727152021455833,0.34285714285714286,0.6571428571428571,False,False
202301,SPY,D0_K1,B00,19,0.47368421052631576,0.5204425654802582,-2.9693253513597213,30.0,180.0,3.834144243619849,0.3157894736842105,0.6842105263157895,False,False
202302,SPXW,D0_K1,B00,43,0.32558139534883723,0.6709549095303924,-5.529965798038603,30.0,180.0,8.054697054199988,0.23255813953488372,0.7674418604651163,False,False
202302,QQQ,D0_K1,B00,30,0.36666666666666664,0.5866849659109621,-4.744736978737074,30.0,180.0,7.378879484352373,0.23333333333333334,0.7666666666666667,False,False
202302,SPY,D0_K1,B00,19,0.47368421052631576,1.1309619578045291,0.7391012504318629,30.0,180.0,1.842575328808529,0.2631578947368421,0.7368421052631579,True,False
202303,SPXW,D0_K1,B00,51,0.35294117647058826,0.5625688870309679,-8.956192882005247,30.0,158.0,8.956192882005247,0.23529411764705882,0.7647058823529411,False,False
202303,QQQ,D0_K1,B00,42,0.47619047619047616,1.1557010681866449,2.181324946603657,30.0,173.0,4.992038555094375,0.19047619047619047,0.8095238095238095,True,False
202303,SPY,D0_K1,B00,23,0.391304347826087,0.5151172662823544,-3.8783537438333657,30.0,180.0,5.246472434621943,0.30434782608695654,0.6956521739130435,False,False
202304,SPXW,D0_K1,B00,54,0.25925925925925924,0.4388841390246187,-13.942642632654202,30.0,180.0,14.726426367674508,0.2037037037037037,0.7962962962962963,False,False
202304,QQQ,D0_K1,B00,34,0.47058823529411764,1.1325319914657614,1.4211825418811002,30.0,180.0,1.9782196753917045,0.14705882352941177,0.8529411764705882,True,False
202304,SPY,D0_K1,B00,19,0.3157894736842105,0.300267493713264,-5.25316726354321,30.0,180.0,5.253167263543208,0.10526315789473684,0.8947368421052632,False,False
202305,SPXW,D0_K1,B00,54,0.42592592592592593,1.1012675647475738,1.7766150240193015,30.0,180.0,6.530705539835783,0.25925925925925924,0.7407407407407407,True,False
202305,QQQ,D0_K1,B00,41,0.5609756097560976,1.0285953867286497,0.30061056274517894,30.0,180.0,2.371562161536486,0.3902439024390244,0.6097560975609756,True,False
202305,SPY,D0_K1,B00,22,0.3181818181818182,0.846852315447955,-1.1471703754212057,30.0,180.0,3.0428868312096986,0.3181818181818182,0.6818181818181818,False,False
202306,SPXW,D0_K1,B00,60,0.4,0.9419923467627688,-1.1964297425847372,30.0,135.0,8.179988166901591,0.2,0.8,False,False
202306,QQQ,D0_K1,B00,38,0.5526315789473685,1.0408881948165418,0.44373785294095347,30.0,169.0,2.902592040882978,0.21052631578947367,0.7894736842105263,True,False
202306,SPY,D0_K1,B00,20,0.4,0.4013829925491681,-4.166055148481146,30.0,180.0,4.940217577631833,0.1,0.9,False,False
202307,SPXW,D0_K1,B00,52,0.4807692307692308,0.8136372268254376,-2.9022905228476787,30.0,180.0,6.272490380741571,0.19230769230769232,0.8076923076923077,False,False
202307,QQQ,D0_K1,B00,29,0.5172413793103449,0.8664061518687831,-1.2423453247844423,30.0,180.0,2.5417089787145,0.41379310344827586,0.5862068965517241,False,False
