direction,config_id,scope,trades,top5_trade_gross_profit_share,top5_day_gross_profit_share,concentration_pass
D0_K1,B00,POOLED,1324,0.051342948226321745,0.08646231006047364,True
D0_K1,B00,SPXW,644,0.10071372847119524,0.10749785373038348,True
D0_K1,B00,QQQ,436,0.1156188550321692,0.1244930668076437,True
D0_K1,B00,SPY,244,0.16152887200062532,0.16152887200062532,True
