cell_id,fold,ticker,horizon,target,arm,family,train_rows,test_rows,valid,roc_auc,average_precision,balanced_accuracy_05,brier,log_loss,spearman,ece_10,model_path,model_sha256,model_feature_hash,imputer_path,imputer_sha256
lr_2024_SPXW_30m,2024,SPXW,30,resolved_rejection_30m,F0,lr,712,474,True,0.6436524200874655,0.4157055064906026,0.6155430672046986,0.23042508815363286,0.653987819227566,0.22840636926525845,0.17113898887232828,models/lr_2024_SPXW_30m_F0.joblib,f1940deb2ae3cb8c3b1805d4342e7fc1e9e4d54cc3cac3e2ae49bca3e8382498,f8f951a66bb08143c77d253209b06051abc4960a84db0ec77a185282a6de944d,,
lr_2024_SPXW_30m,2024,SPXW,30,resolved_rejection_30m,F1,lr,712,474,True,0.6548919358587032,0.43277573985706697,0.6246910189508377,0.22524306497662605,0.6423628326780562,0.24627712276906277,0.15789417554822147,models/lr_2024_SPXW_30m_F1.joblib,b28dabe25944725ea81ae97204f0fd51e69d0cabe3ec84dc7384a90c93f9aa43,d4a41cedd2b4733a45b137d9f0415c4cd983be1db28d382833c2fe9077987884,,
lr_2024_SPXW_60m,2024,SPXW,60,resolved_rejection_60m,F0,lr,844,566,True,0.588784541585028,0.4241408049740313,0.5657455577325856,0.24187844020788282,0.67723889282185,0.1478232539132672,0.12200297190440357,models/lr_2024_SPXW_60m_F0.joblib,40935e5b59e7ad92e75f1c8c7a1e0f54de3ad23efeecebea354f45cfd29a76bc,f8f951a66bb08143c77d253209b06051abc4960a84db0ec77a185282a6de944d,,
lr_2024_SPXW_60m,2024,SPXW,60,resolved_rejection_60m,F1,lr,844,566,True,0.5914330112830214,0.4354970747862597,0.5707452199175731,0.24623430773212876,0.6863332707921315,0.15223286623607374,0.13821311518673401,models/lr_2024_SPXW_60m_F1.joblib,4505da3962cba734c2281e5a07dd5c89a4e64025a45c72f22621b5a44770e1b3,d4a41cedd2b4733a45b137d9f0415c4cd983be1db28d382833c2fe9077987884,,
lr_2024_SPXW_120m,2024,SPXW,120,resolved_rejection_120m,F0,lr,922,662,True,0.5170786155490603,0.41203019170341476,0.5026296622113757,0.2529296533367317,0.6989293260884742,0.029057497335531954,0.09901094776859677,models/lr_2024_SPXW_120m_F0.joblib,e221ac940967dc0ea857128c4a2c6dff20c6b73895bda4f5a65f2b6c45ad7b8b,f8f951a66bb08143c77d253209b06051abc4960a84db0ec77a185282a6de944d,,
lr_2024_SPXW_120m,2024,SPXW,120,resolved_rejection_120m,F1,lr,922,662,True,0.55185069572538,0.4447317782436305,0.5271810588647048,0.26000548352175273,0.715449994977866,0.08821859409843168,0.12139859198803184,models/lr_2024_SPXW_120m_F1.joblib,d210bb22a9d8f177c3f0cb23d023bbde112596cacaacb84fd4bda227feef00bd,d4a41cedd2b4733a45b137d9f0415c4cd983be1db28d382833c2fe9077987884,,
lr_2024_SPXW_180m,2024,SPXW,180,resolved_rejection_180m,F0,lr,698,502,True,0.48710356625871826,0.40421887684084895,0.47664166337676006,0.2595392692772512,0.7127445527840206,-0.021942222494415266,0.12080257794666514,models/lr_2024_SPXW_180m_F0.joblib,d3fc464b63272fac491970f6803c2b40651879384f308cef7f489019f975233a,f8f951a66bb08143c77d253209b06051abc4960a84db0ec77a185282a6de944d,,
lr_2024_SPXW_180m,2024,SPXW,180,resolved_rejection_180m,F1,lr,698,502,True,0.5547440452691144,0.4573383626805471,0.5297901039610475,0.26391994652977824,0.7256134019527242,0.09314249548649746,0.13717411769991208,models/lr_2024_SPXW_180m_F1.joblib,293113a59556a62941c6cded480edc447d270c2fe6620d82bbdd0bf2c82b9ddf,d4a41cedd2b4733a45b137d9f0415c4cd983be1db28d382833c2fe9077987884,,
lr_2024_QQQ_30m,2024,QQQ,30,resolved_rejection_30m,F0,lr,693,667,True,0.5856850117096019,0.4377772850760726,0.5543423106947697,0.24792777346891895,0.6901038251379128,0.142458935879359,0.1506424151873979,models/lr_2024_QQQ_30m_F0.joblib,180a1645d25d78ec41a095799348255038e4c909a5a7adfdda4954726e0d788e,f8f951a66bb08143c77d253209b06051abc4960a84db0ec77a185282a6de944d,,
lr_2024_QQQ_30m,2024,QQQ,30,resolved_rejection_30m,F1,lr,693,667,True,0.5705796252927401,0.40035705664308574,0.5632074551131928,0.2610417593406824,0.7216341108860238,0.11734489046981024,0.16302295373861486,models/lr_2024_QQQ_30m_F1.joblib,8e049bc7ca3db76e7bb52a5c506edb6977a5cc7b330e00c789d494cfa6d3199d,d4a41cedd2b4733a45b137d9f0415c4cd983be1db28d382833c2fe9077987884,,
