cell_id,family,arm,fold,ticker,horizon,bin,lower,upper,count,mean_probability,event_rate
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,6,0.6000000000000001,0.7000000000000001,52,0.6300095210823589,0.36538461538461536
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,7,0.7000000000000001,0.8,0,,
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,8,0.8,0.9,0,,
lr_2024_SPXW_120m,lr,F0,2024,SPXW,120,9,0.9,1.0,0,,
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,0,0.0,0.1,0,,
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,1,0.1,0.2,0,,
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,2,0.2,0.30000000000000004,22,0.2649207211947862,0.22727272727272727
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,3,0.30000000000000004,0.4,93,0.3537428723865204,0.3333333333333333
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,4,0.4,0.5,150,0.4557956134835189,0.42
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,5,0.5,0.6000000000000001,196,0.5494435605094624,0.40816326530612246
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,6,0.6000000000000001,0.7000000000000001,148,0.6439206479288118,0.44594594594594594
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,7,0.7000000000000001,0.8,49,0.7328882538876741,0.46938775510204084
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,8,0.8,0.9,4,0.8418661703756875,0.25
lr_2024_SPXW_120m,lr,F1,2024,SPXW,120,9,0.9,1.0,0,,
lr_2024_SPXW_180m,lr,F0,2024,SPXW,180,0,0.0,0.1,0,,
lr_2024_SPXW_180m,lr,F0,2024,SPXW,180,1,0.1,0.2,0,,
lr_2024_SPXW_180m,lr,F0,2024,SPXW,180,2,0.2,0.30000000000000004,2,0.27138392257271704,0.0
lr_2024_SPXW_180m,lr,F0,2024,SPXW,180,3,0.30000000000000004,0.4,47,0.36649641180600073,0.46808510638297873
lr_2024_SPXW_180m,lr,F0,2024,SPXW,180,4,0.4,0.5,193,0.45800713687843125,0.42487046632124353
lr_2024_SPXW_180m,lr,F0,2024,SPXW,180,5,0.5,0.6000000000000001,189,0.5479485263119647,0.3915343915343915
lr_2024_SPXW_180m,lr,F0,2024,SPXW,180,6,0.6000000000000001,0.7000000000000001,67,0.6340816063681582,0.3582089552238806
lr_2024_SPXW_180m,lr,F0,2024,SPXW,180,7,0.7000000000000001,0.8,4,0.7210852804493353,0.5
lr_2024_SPXW_180m,lr,F0,2024,SPXW,180,8,0.8,0.9,0,,
