fold,ticker,horizon,month,resolved_episodes,classes,both_classes
2024,SPXW,30,202401,57,2,True
2024,SPXW,30,202402,51,2,True
2024,SPXW,30,202403,19,2,True
2024,SPXW,30,202404,30,2,True
2024,SPXW,30,202405,27,2,True
2024,SPXW,30,202406,30,2,True
2024,SPXW,30,202407,60,2,True
2024,SPXW,30,202408,33,2,True
2024,SPXW,30,202409,38,2,True
2024,SPXW,30,202410,44,2,True
2024,SPXW,30,202411,25,2,True
2024,SPXW,30,202412,60,2,True
2024,SPXW,60,202401,70,2,True
2024,SPXW,60,202402,67,2,True
2024,SPXW,60,202403,28,2,True
2024,SPXW,60,202404,35,2,True
2024,SPXW,60,202405,30,2,True
2024,SPXW,60,202406,42,2,True
2024,SPXW,60,202407,71,2,True
2024,SPXW,60,202408,42,2,True
2024,SPXW,60,202409,41,2,True
2024,SPXW,60,202410,49,2,True
2024,SPXW,60,202411,29,2,True
2024,SPXW,60,202412,62,2,True
2024,SPXW,120,202401,83,2,True
2024,SPXW,120,202402,73,2,True
2024,SPXW,120,202403,37,2,True
2024,SPXW,120,202404,33,2,True
2024,SPXW,120,202405,38,2,True
2024,SPXW,120,202406,59,2,True
2024,SPXW,120,202407,71,2,True
2024,SPXW,120,202408,51,2,True
2024,SPXW,120,202409,52,2,True
2024,SPXW,120,202410,57,2,True
2024,SPXW,120,202411,37,2,True
2024,SPXW,120,202412,71,2,True
2024,SPXW,180,202401,66,2,True
2024,SPXW,180,202402,51,2,True
2024,SPXW,180,202403,22,2,True
2024,SPXW,180,202404,26,2,True
2024,SPXW,180,202405,32,2,True
2024,SPXW,180,202406,36,2,True
2024,SPXW,180,202407,57,2,True
2024,SPXW,180,202408,43,2,True
2024,SPXW,180,202409,44,2,True
2024,SPXW,180,202410,39,2,True
2024,SPXW,180,202411,31,2,True
2024,SPXW,180,202412,55,2,True
2024,QQQ,30,202401,76,2,True
2024,QQQ,30,202402,49,2,True
2024,QQQ,30,202403,40,2,True
2024,QQQ,30,202404,71,2,True
2024,QQQ,30,202405,53,2,True
2024,QQQ,30,202406,43,2,True
2024,QQQ,30,202407,48,2,True
2024,QQQ,30,202408,42,2,True
2024,QQQ,30,202409,63,2,True
2024,QQQ,30,202410,81,2,True
2024,QQQ,30,202411,55,2,True
2024,QQQ,30,202412,46,2,True
2024,QQQ,60,202401,85,2,True
2024,QQQ,60,202402,63,2,True
2024,QQQ,60,202403,50,2,True
2024,QQQ,60,202404,79,2,True
2024,QQQ,60,202405,58,2,True
2024,QQQ,60,202406,48,2,True
2024,QQQ,60,202407,54,2,True
2024,QQQ,60,202408,46,2,True
2024,QQQ,60,202409,67,2,True
2024,QQQ,60,202410,91,2,True
2024,QQQ,60,202411,61,2,True
2024,QQQ,60,202412,56,2,True
2024,QQQ,120,202401,95,2,True
2024,QQQ,120,202402,59,2,True
2024,QQQ,120,202403,48,2,True
2024,QQQ,120,202404,74,2,True
2024,QQQ,120,202405,61,2,True
2024,QQQ,120,202406,48,2,True
2024,QQQ,120,202407,51,2,True
2024,QQQ,120,202408,45,2,True
2024,QQQ,120,202409,70,2,True
2024,QQQ,120,202410,85,2,True
2024,QQQ,120,202411,59,2,True
2024,QQQ,120,202412,61,2,True
2024,QQQ,180,202401,78,2,True
2024,QQQ,180,202402,47,2,True
2024,QQQ,180,202403,31,2,True
2024,QQQ,180,202404,60,2,True
2024,QQQ,180,202405,46,2,True
2024,QQQ,180,202406,37,2,True
2024,QQQ,180,202407,37,2,True
2024,QQQ,180,202408,38,2,True
2024,QQQ,180,202409,52,2,True
2024,QQQ,180,202410,69,2,True
2024,QQQ,180,202411,50,2,True
2024,QQQ,180,202412,53,2,True
2024,SPY,30,202401,42,2,True
2024,SPY,30,202402,62,2,True
