ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,monthly_backfill_role,backfill_min_month_trades,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,runtime_replay_role,event_delta_bucket,event_delta_target
SPXW,20230104,202301,10:30,630,zero_dte,PUT,0.5100132935755135,0.4372185258719916,0.5100132935755135,0.5,-0.3,-0.3,thr0.467_maxday3,202301,630,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,4,0,primary,18,3,4,18,False,primary,primary,25,0.25
QQQ,20230104,202301,11:00,660,zero_dte,CALL,0.5176681227437013,0.5176681227437013,0.484511621686549,0.5,-0.3,0.5,thr0.479_maxday2,202301,660,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,2,0,primary,18,3,3,18,False,primary,primary,25,0.25
SPXW,20230104,202301,11:00,660,zero_dte,CALL,0.5117088794292332,0.5117088794292332,0.4865621099019904,0.5,-0.3,0.5,thr0.467_maxday3,202301,660,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,5,0,primary,18,3,5,18,False,primary,primary,25,0.25
SPY,20230104,202301,11:00,660,zero_dte,PUT,0.5220265760236353,0.4726556179643713,0.5220265760236353,0.5,-0.3,-0.3,thr0.500_maxday2,202301,660,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,2,0,primary,18,3,3,18,False,primary,primary,25,0.25
QQQ,20230104,202301,12:15,735,zero_dte,CALL,0.5154771099338396,0.5154771099338396,0.2245913011623814,-0.3,0.5,-0.3,thr0.479_maxday2,202301,735,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,3,0,primary,18,3,4,18,False,primary,primary,25,0.25
SPY,20230104,202301,14:15,855,zero_dte,PUT,0.6464123514321765,0.2779440033472122,0.6464123514321765,-0.3,-0.3,-0.3,thr0.500_maxday2,202301,855,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,3,0,primary,18,3,4,18,False,primary,primary,25,0.25
QQQ,20230105,202301,10:15,615,zero_dte,PUT,0.4987438514218986,0.300323436713396,0.4987438514218986,-0.3,0.5,0.5,thr0.479_maxday2,202301,615,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,4,0,primary,18,4,5,18,False,primary,primary,25,0.25
SPXW,20230105,202301,10:15,615,zero_dte,PUT,0.5404686282057269,0.320130747454832,0.5404686282057269,-0.3,0.5,0.5,thr0.467_maxday3,202301,615,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,6,0,primary,18,4,6,18,False,primary,primary,25,0.25
QQQ,20230105,202301,10:45,645,zero_dte,PUT,0.5364719762270312,0.500940430444691,0.5364719762270312,-0.3,0.5,0.5,thr0.479_maxday2,202301,645,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,5,0,primary,18,4,6,18,False,primary,primary,25,0.25
SPXW,20230105,202301,10:45,645,zero_dte,PUT,0.5099407204559564,0.4669475267419076,0.5099407204559564,-0.3,0.5,0.5,thr0.467_maxday3,202301,645,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,7,0,primary,18,4,7,18,False,primary,primary,25,0.25
SPY,20230105,202301,10:45,645,zero_dte,PUT,0.5541072142793217,0.3884570439410947,0.5541072142793217,-0.3,0.5,0.5,thr0.500_maxday2,202301,645,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,4,0,primary,18,4,5,18,False,primary,primary,25,0.25
SPXW,20230105,202301,11:15,675,zero_dte,CALL,0.5124074213167327,0.5124074213167327,0.2892054566346116,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,675,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,8,0,primary,18,4,8,18,False,primary,primary,25,0.25
SPY,20230105,202301,12:15,735,zero_dte,CALL,0.6460877319403446,0.6460877319403446,0.217937010119317,0.5,-0.3,0.5,thr0.500_maxday2,202301,735,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,5,0,primary,18,4,6,18,False,primary,primary,25,0.25
QQQ,20230106,202301,11:15,675,zero_dte,PUT,0.5581175477770648,0.2400778138381119,0.5581175477770648,-0.3,-0.3,-0.3,thr0.479_maxday2,202301,675,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,6,0,primary,18,5,7,18,False,primary,primary,25,0.25
SPXW,20230106,202301,11:30,690,zero_dte,PUT,0.467986626291241,0.4335483170322773,0.467986626291241,0.5,-0.3,-0.3,thr0.467_maxday3,202301,690,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,9,0,primary,18,5,9,18,False,primary,primary,25,0.25
QQQ,20230106,202301,11:45,705,zero_dte,PUT,0.5324422167492252,0.2335426458615364,0.5324422167492252,0.5,-0.3,-0.3,thr0.479_maxday2,202301,705,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,7,0,primary,18,5,8,18,False,primary,primary,25,0.25
SPY,20230106,202301,11:45,705,zero_dte,PUT,0.5252734912966501,0.3469094961083893,0.5252734912966501,0.5,-0.3,-0.3,thr0.500_maxday2,202301,705,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,6,0,primary,18,5,7,18,False,primary,primary,25,0.25
SPXW,20230106,202301,12:30,750,zero_dte,CALL,0.506446214310087,0.506446214310087,0.3221192424944935,-0.3,-0.3,-0.3,thr0.467_maxday3,202301,750,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,10,0,primary,18,5,10,18,False,primary,primary,25,0.25
SPY,20230106,202301,12:30,750,zero_dte,CALL,0.5184707728832513,0.5184707728832513,0.3778914549071678,-0.3,-0.3,-0.3,thr0.500_maxday2,202301,750,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,7,0,primary,18,5,8,18,False,primary,primary,25,0.25
SPXW,20230106,202301,13:15,795,zero_dte,CALL,0.6145917708880521,0.6145917708880521,0.2886358226729076,0.5,-0.3,0.5,thr0.467_maxday3,202301,795,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,11,0,primary,18,5,11,18,False,primary,primary,25,0.25
QQQ,20230109,202301,11:00,660,zero_dte,PUT,0.532404421963253,0.224800131983605,0.532404421963253,0.5,-0.3,-0.3,thr0.479_maxday2,202301,660,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_qqq_v1\event_option_gate_trades.csv,8,0,primary,18,5,9,18,False,primary,primary,25,0.25
SPY,20230109,202301,11:00,660,zero_dte,PUT,0.5334219123293906,0.3046378522490533,0.5334219123293906,0.5,-0.3,-0.3,thr0.500_maxday2,202301,660,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,8,0,primary,18,5,9,18,False,primary,primary,25,0.25
SPXW,20230109,202301,12:00,720,zero_dte,CALL,0.5079115476424892,0.5079115476424892,0.2042749398004899,-0.3,0.5,-0.3,thr0.467_maxday3,202301,720,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,12,0,primary,18,5,12,18,False,primary,primary,25,0.25
