ticker,test_month,mode,selected_source,source_path,train_months,select_months,select_score,select_trades,select_win_rate,select_profit_factor,select_pnl_return,select_avg_return,select_max_drawdown,select_call_rate,select_days_with_trades,select_daily_win_rate,select_median_daily_return,select_daily_max_drawdown,select_top5_day_return,select_top5_share_of_pnl,select_min_month_trades,select_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate,primary,fallback
SPXW,202601,SELECTED,s1export,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_spxw_branch_router_topk_current_tdvp_widezdte_profile_maxday7_s1_m19_export202510_202606_risk5000\trade_union_topk_regressor_trades.csv,,202510,13.066358040354006,34,0.4117647058823529,0.5461805490727482,-2.074777245112959,-0.06102286015038114,-2.7781974338137023,0.7058823529411765,9,0.4444444444444444,-0.10107661120914135,-2.074777245112959,1.2939358376832328,-0.6236504862057064,34,0.0,35,0.5428571428571428,1.755391860275314,3.059761226369696,0.08742174932484845,-1.4137056451901793,0.6285714285714286,11,0.6363636363636364,0.2527805040857054,-0.5997780153110268,3.706758737595017,1.2114535950221716,35,1.0,,
SPXW,202602,SELECTED,base_tdvp,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_spxw_union_base_tdvp_topk_reg_s3_m19_wr20_2026janjun_risk5000\trade_union_topk_regressor_trades.csv,202510,202601,30.986462882209945,37,0.6216216216216216,3.403556289013823,6.433615827360442,0.17388150884757952,-2.0687805435535034,0.5945945945945946,9,0.7777777777777778,0.606758737595017,-1.1687805435535032,6.949615866828242,1.0802037381954623,37,1.0,45,0.4666666666666667,1.0086445436098324,0.03611582334787178,0.0008025738521749284,-0.9550293920770638,0.9333333333333333,6,0.5,-0.14339236781807585,-2.7890366595620577,1.1648147377152442,32.252199444426736,45,1.0,,
SPXW,202603,SELECTED,s1export,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_spxw_branch_router_topk_current_tdvp_widezdte_profile_maxday7_s1_m19_export202510_202606_risk5000\trade_union_topk_regressor_trades.csv,"202510,202601",202602,24.397668715770983,35,0.5714285714285714,1.7403610496404076,2.4801413827833056,0.07086118236523731,-0.8000000000000003,0.6285714285714286,13,0.6923076923076923,0.4863472403157969,-0.7129229003545268,2.8508413794543666,1.1494672841009765,35,1.0,26,0.46153846153846156,1.8485941495120517,2.1463759328189544,0.08255292049303671,-1.044080364984584,0.46153846153846156,11,0.5454545454545454,0.1023448023302802,-2.0851197499515743,4.129150880440249,1.9237780378096236,26,1.0,,
SPXW,202604,SELECTED,maxday7export,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_spxw_branch_router_topk_current_tdvp_widezdte_profile_maxday7_2025h2export_202510_202606_risk5000\trade_union_topk_regressor_trades.csv,"202510,202601,202602",202603,23.85148421588442,74,0.4594594594594595,1.4275037034106324,3.797839164633296,0.05132215087342292,-3.8024902167850128,0.4594594594594595,18,0.5555555555555556,0.2,-3.8024902167850128,8.38308000486804,2.2073288629318446,74,1.0,60,0.55,1.6360951939867505,4.47696918955807,0.07461615315930117,-1.2576474342111297,0.7833333333333333,15,0.6,0.2,-1.6236586739133667,6.119769967377166,1.366944847789149,60,1.0,,
SPXW,202605,SELECTED,maxday7export,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_spxw_branch_router_topk_current_tdvp_widezdte_profile_maxday7_2025h2export_202510_202606_risk5000\trade_union_topk_regressor_trades.csv,"202510,202601,202602,202603",202604,26.35598250091606,60,0.55,1.6360951939867505,4.47696918955807,0.07461615315930117,-1.2576474342111297,0.7833333333333333,15,0.6,0.2,-1.6236586739133667,6.119769967377166,1.366944847789149,60,1.0,22,0.5454545454545454,2.1643692389527143,2.9512754825322514,0.1341488855696478,-0.9514443141570549,0.5454545454545454,10,0.7,0.2991701292430493,-0.3470647759538472,3.2983402584860984,1.1175982310048733,22,1.0,,
SPXW,202606,SELECTED,maxday7export,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_spxw_branch_router_topk_current_tdvp_widezdte_profile_maxday7_2025h2export_202510_202606_risk5000\trade_union_topk_regressor_trades.csv,"202510,202601,202602,202603,202604",202605,23.897326174202277,22,0.5454545454545454,2.1643692389527143,2.9512754825322514,0.1341488855696478,-0.9514443141570549,0.5454545454545454,10,0.7,0.2991701292430493,-0.3470647759538472,3.2983402584860984,1.1175982310048733,22,1.0,39,0.5641025641025641,1.9352609160360201,2.7387874154593814,0.07022531834511235,-0.5003289549015566,0.3076923076923077,6,0.8333333333333334,0.5822674689395302,-0.11827632111622866,2.8570637365756104,1.043185652325042,39,1.0,,
SPY,202601,SELECTED,,,,"202510,202511,202512",-3001054.300100428,191,0.3612565445026178,0.7563552747443323,-7.8838684115523225,-0.04127679796624253,-10.957079671159839,0.6020942408376964,50,0.38,-0.3,-10.857079671159838,7.544188398728246,-0.9569145506885504,34,0.0,34,0.4411764705882353,1.3151908342726057,1.4484553608039703,0.0426016282589403,-2.8838982189164417,0.3235294117647059,17,0.5882352941176471,0.2,-2.583898218916441,3.3302429208512065,2.2991684873206886,34,1.0,wincls,current
SPY,202602,SELECTED,,,,"202511,202512,202601",-3000709.990970611,156,0.3717948717948718,0.8220928946429282,-4.504439600269609,-0.02887461282224108,-8.626106220681091,0.5961538461538461,48,0.4166666666666667,-0.1774092047259546,-8.626106220681095,7.300000000000001,-1.6206233511407426,34,0.3333333333333333,28,0.4642857142857143,1.1733152013440158,0.6951984440738479,0.02482851585978028,-1.3438643828509542,0.14285714285714285,15,0.6,0.158409997660243,-1.2,3.3223045871599743,4.778929837200643,28,1.0,wincls,current
SPY,202603,SELECTED,,,,"202512,202601,202602",-3000360.084189782,150,0.4,0.9268342302972048,-1.6887899894711005,-0.011258599929807336,-7.32012982746404,0.52,50,0.5,0.04872399703438636,-6.782520020722782,7.1000000000000005,-4.2041935612275845,28,0.6666666666666666,33,0.5151515151515151,1.5411941653041112,2.37035312555154,0.0718288825924709,-1.9797351823122744,0.18181818181818182,14,0.42857142857142855,-0.1518956663028942,-1.8588280280464593,4.7098810805794695,1.9869955365758265,33,1.0,wincls,current
SPY,202604,SELECTED,,,,"202601,202602,202603",22.849723799771205,95,0.47368421052631576,1.3475916232383323,4.514006930429359,0.047515862425572195,-3.323599565163228,0.22105263157894736,46,0.5434782608695652,0.1792049988301215,-2.9026924108974135,5.6200653161335445,1.2450280654750747,28,1.0,20,0.65,2.266589602166736,2.149310666908992,0.10746553334544959,-0.5850935580419112,0.5,8,0.75,0.32699938630505754,-0.30000000000000004,2.5951818720734545,1.2074484680270476,20,1.0,wincls,current
SPY,202605,SELECTED,,,,"202602,202603,202604",25.42189327772127,82,0.5121951219512195,1.667077879326487,6.463561483051514,0.07882392052501846,-2.5005542727293038,0.25609756097560976,36,0.5833333333333334,0.2,-2.0796471184634884,6.061248415596885,0.937756750901255,21,1.0,49,0.42857142857142855,1.5958953009123102,3.551465657010959,0.07247889095940732,-1.6208083411670189,0.3877551020408163,13,0.5384615384615384,0.1752194216038528,-1.320808341167019,6.244680921866272,1.7583390985461536,49,1.0,wincls,variant
SPY,202606,SELECTED,topk,research_papers\JEPA\results\event_option_spy_topk_intraday_side_circuit_m19_2025h2hist_v2_2025h2_2026janjun_risk5000\intraday_circuit_trades.csv,"202601,202602,202603","202604,202605",22.7949542440986,69,0.5217391304347826,1.7611672108001586,11.766700030024731,0.17053188449311205,-5.7720974999876375,0.7971014492753623,21,0.5714285714285714,0.10869199747241376,-5.103808245104455,18.621793138942763,1.5825841647552923,19,1.0,20,0.45,2.4407357787937567,4.259501080324522,0.21297505401622613,-1.960130725065194,0.25,10,0.4,-0.21213392898737843,-1.9601307250651945,6.519631805389716,1.5306092620812293,20,1.0,,
