arm_deterministic,ticker,month,rows_deterministic,mae_deterministic,rmse_deterministic,directional_accuracy_deterministic,mae_to_train_mean_ratio_deterministic,uncertainty_error_spearman_deterministic,effective_rank_ratio_deterministic,max_pc_var_ratio_deterministic,arm_variational,rows_variational,mae_variational,rmse_variational,directional_accuracy_variational,mae_to_train_mean_ratio_variational,uncertainty_error_spearman_variational,effective_rank_ratio_variational,max_pc_var_ratio_variational
deterministic,QQQ,202601,954,0.6098269448764749,0.7533067371376674,0.519916142557652,1.0792435946134584,,0.2230993238292983,0.577332901962959,variational,954,0.5799561370087352,0.7113854822165506,0.5618448637316562,1.026379616843966,-0.1804308031859779,0.0722911856320918,0.9767305728370168
deterministic,QQQ,202602,650,0.6304089134223192,0.7314443988654576,0.3876923076923076,1.1861186108130606,,0.2500970223572605,0.5332610142030992,variational,650,0.5320484200041173,0.6533773872765481,0.5584615384615385,1.001052680861769,-0.1067984612435132,0.0805685885888056,0.950283444628492
deterministic,QQQ,202603,912,0.5903330903784838,0.7129217563457307,0.5668859649122807,0.994849852604264,,0.22063535148767,0.5132171601672754,variational,912,0.5864412861914267,0.7168384616087747,0.5449561403508771,0.9882912488516332,-0.2212225917203548,0.1049942808983463,0.8091786231892594
deterministic,QQQ,202604,910,0.592344208770725,0.7204414847949611,0.5582417582417583,1.0292505029419956,,0.2447736869140349,0.6226130120516383,variational,910,0.7021607386137655,0.8655705130897058,0.5087912087912088,1.2200664455961143,-0.0655664159919086,0.0659211132372872,0.9930055839445212
deterministic,QQQ,202605,984,0.5709388166739073,0.7228666875392364,0.5619918699186992,0.9882973050031856,,0.2461156683599776,0.5499810052745042,variational,984,0.6322755932513417,0.7989864411811942,0.5508130081300813,1.0944715030410876,-0.1137006717263933,0.0742726540670427,0.9623450515985034
deterministic,SPXW,202601,1206,0.6224150675467752,0.7733083238247752,0.5364842454394693,1.0208127772463682,,0.1984372502475865,0.5970755500329216,variational,1206,0.6527116357859909,0.7645888122169862,0.5,1.0705016835371588,-0.2863875214951996,0.0765705283653875,0.9622013969816908
deterministic,SPXW,202602,860,0.6350916110425308,0.7691441383254161,0.5279069767441861,1.0601021850270216,,0.1970617188154831,0.6481827261170342,variational,860,0.5850892231625339,0.7361826112348253,0.5697674418604651,0.9766376269593452,-0.0342045062319597,0.0724649583608499,0.974315463621129
deterministic,SPXW,202603,978,0.5489665258364271,0.686799108955654,0.6431492842535788,0.9155240838105764,,0.2114428943420347,0.6220360458230232,variational,978,0.6187326961140454,0.7373660055158127,0.5480572597137015,1.0318747283732304,-0.2317900274849586,0.1116995311857039,0.761562766524771
deterministic,SPXW,202604,1234,0.5684411408275556,0.802480852272156,0.6345218800648298,0.911026543928443,,0.2380809502775631,0.6130209604521761,variational,1234,0.5696442796086014,0.800196411797258,0.6312803889789304,0.9129547846676104,-0.2993602325004563,0.0664791550411222,0.9920328223932556
deterministic,SPXW,202605,1220,0.7471479336815423,0.936579090013732,0.489344262295082,1.2122687026379784,,0.1636458515960881,0.7553521734326815,variational,1220,0.7331688389271395,0.9165463830961916,0.5713114754098361,1.1895872251178967,-0.3134344165315533,0.0702018637963991,0.9783091712143088
deterministic,SPY,202601,1208,0.6254447569865011,0.7613616529021371,0.4826158940397351,1.068342867549377,,0.2592550127741598,0.4722083741409418,variational,1208,0.5765717674745593,0.7101147007152923,0.543046357615894,0.9848612983497722,-0.0819041203113358,0.0709209013735321,0.9802925473181596
deterministic,SPY,202602,844,0.6424352784932016,0.7660366433856639,0.4964454976303317,1.1124526149361242,,0.2459474745792725,0.602716300846808,variational,844,0.5897924899153524,0.6999233601787679,0.5165876777251185,1.0212954045968767,-0.0474214881790035,0.0792590922202981,0.9546036285690984
deterministic,SPY,202603,1054,0.6224249209349583,0.7493983722841374,0.5464895635673624,1.0460683246275968,,0.2334161226439464,0.4825940690474116,variational,1054,0.6036660558300563,0.7448019367651856,0.5256166982922201,1.0145415429513045,-0.2400572511294923,0.0936493394017352,0.8715777461929021
deterministic,SPY,202604,1090,0.5771608841758296,0.7175601681119067,0.5834862385321101,0.9822489447515294,,0.2233029719197324,0.6572344975194753,variational,1090,0.699073825405168,0.883675412035048,0.5339449541284403,1.1897281089798384,-0.2097538623704256,0.0652166782393922,0.9945945120117484
deterministic,SPY,202605,1210,0.6092104913795936,0.7653892546905734,0.5652892561983471,1.0157225481290115,,0.2390726715108516,0.5928483498754699,variational,1210,0.572448981436057,0.7659647645016397,0.5809917355371901,0.9544309336849442,0.0221707910857471,0.0830183648787194,0.9269347942551888
