ticker,test_month,scientific_mask_rows,scientific_mask_sha256,sci_cell_degenerate,sci_cell_degenerate_reason,sci_c0_accuracy,sci_c0_balanced_accuracy,sci_c0_roc_auc,sci_c0_spearman,sci_p1_accuracy,sci_p1_balanced_accuracy,sci_p1_roc_auc,sci_p1_spearman,sci_ba_delta
SPXW,202304,562,adc37774e84543961ab5445380c877f1bb6b55dae9e355afa92829f388c46cde,False,,0.5871886120996441,0.5853471118177,0.6385532591414944,0.151422623900836,0.603202846975089,0.6048357180710122,0.6719925808161102,0.23018198949085958,0.01948860625331217
SPXW,202305,572,1240b716c5affd7c9109c3028dce2f1215d07060e3189f095cb0992d81b0c25d,False,,0.40734265734265734,0.389475432832515,0.3449616695583693,-0.21119822741142283,0.4143356643356643,0.3982120663984151,0.3492684607528271,-0.212445332166475,0.008736633565900098
SPXW,202306,641,2da1cb20edb4468e94eec66b532bf4fefd5064c3fab8275af95b560de8557cb8,False,,0.5273010920436817,0.5052792278144391,0.5600413670836206,0.11146496525079193,0.5351014040561622,0.511641879247513,0.5436816704422338,0.06768646187383041,0.006362651433073907
SPXW,202307,604,3fa31489e9c0ce30863aa4ba204e1aa1533bc638c293e8f45ceb608a2c74c1a4,False,,0.5529801324503312,0.5006910500589921,0.48589246586886903,-0.004178522048133409,0.5645695364238411,0.5059666273386145,0.4795213214225519,-0.017925724799850384,0.005275577279622468
SPXW,202308,688,805d3642cbaa73315b68591ca6550781faaf132d8fcedad15152d32c075772da,False,,0.5,0.4839649650414999,0.4927152092837543,0.01940644450665866,0.4956395348837209,0.48159900094298747,0.5151260290032368,0.07028846220190735,-0.0023659640985124186
SPXW,202309,607,19dffb91a4b473e06cf5452edd15cbab3da1b4210054839a2fdfa16274a9a199,False,,0.5403624382207578,0.5700237562245877,0.6123509525332359,0.1284143107002417,0.5453047775947282,0.5740668829092238,0.6113116177075243,0.14983854712642022,0.0040431266846361336
SPXW,202310,700,3e7a4457af64d8f61587166166d02e8749c5201ca24ea51d761a7f60222b758b,False,,0.4785714285714286,0.47857142857142854,0.46611428571428576,-0.10104585724559081,0.5085714285714286,0.5085714285714286,0.5058367346938775,-0.026699232564316302,0.030000000000000027
SPXW,202311,595,ff5fda813b3cbdadb79043d21574dc80a4cb3401b758a467c9656e20c6b2bf6c,False,,0.492436974789916,0.4792898737905875,0.5422812861124329,0.03126533598534942,0.5126050420168067,0.4977567806403371,0.544071329843881,0.033057608772218534,0.01846690684974961
SPXW,202312,514,9fb318c3ddf8dba295c3a5f2b0be85e26ef6b0ce4090d74d95bf8da80770a65c,False,,0.5428015564202334,0.5233618321079372,0.5798707578013478,0.22245005876012847,0.5642023346303502,0.547590906997805,0.5944987643709037,0.2200940868826261,0.024229074889867808
SPXW,202401,661,797f16345b0a48b3602d8f715dc4752cf3345d78ace6aae8df48dd616689cd5d,False,,0.5416036308623298,0.5271559177366543,0.5578621095618262,-0.005966507865949321,0.5370650529500757,0.5231135719804275,0.5471377064861485,-0.013571648916036386,-0.004042345756226751
