mode,outer_month,ticker,arm,model_family,train_date_min,train_date_max,inner_months,outer_rows,status,passing_grid_count,utility_percentile,margin_percentile,utility_threshold,side_margin,worst_inner_month_pnl,worst_inner_month_pf,worst_inner_month_wr,minimum_inner_month_trades,pooled_inner_pnl,pooled_inner_pf
frozen_outer,202401,SPXW,E0,lightgbm_hurdle_expected_utility_v1,20220103,20230929,"202310,202311,202312",808,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202401,SPXW,E0,direct_huber_executable_return_v1,20220103,20230929,"202310,202311,202312",808,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202401,SPXW,E1,lightgbm_hurdle_expected_utility_v1,20220103,20230929,"202310,202311,202312",808,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202401,SPXW,E1,direct_huber_executable_return_v1,20220103,20230929,"202310,202311,202312",808,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202401,QQQ,E0,lightgbm_hurdle_expected_utility_v1,20220103,20230929,"202310,202311,202312",725,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202401,QQQ,E0,direct_huber_executable_return_v1,20220103,20230929,"202310,202311,202312",725,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202401,QQQ,E1,lightgbm_hurdle_expected_utility_v1,20220103,20230929,"202310,202311,202312",725,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202401,QQQ,E1,direct_huber_executable_return_v1,20220103,20230929,"202310,202311,202312",725,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202401,SPY,E0,lightgbm_hurdle_expected_utility_v1,20220103,20230929,"202310,202311,202312",807,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202401,SPY,E0,direct_huber_executable_return_v1,20220103,20230929,"202310,202311,202312",807,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202401,SPY,E1,lightgbm_hurdle_expected_utility_v1,20220103,20230929,"202310,202311,202312",807,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202401,SPY,E1,direct_huber_executable_return_v1,20220103,20230929,"202310,202311,202312",807,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,SPXW,E0,lightgbm_hurdle_expected_utility_v1,20220103,20231031,"202311,202312,202401",769,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,SPXW,E0,direct_huber_executable_return_v1,20220103,20231031,"202311,202312,202401",769,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,SPXW,E1,lightgbm_hurdle_expected_utility_v1,20220103,20231031,"202311,202312,202401",769,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,SPXW,E1,direct_huber_executable_return_v1,20220103,20231031,"202311,202312,202401",769,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,QQQ,E0,lightgbm_hurdle_expected_utility_v1,20220103,20231031,"202311,202312,202401",708,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,QQQ,E0,direct_huber_executable_return_v1,20220103,20231031,"202311,202312,202401",708,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,QQQ,E1,lightgbm_hurdle_expected_utility_v1,20220103,20231031,"202311,202312,202401",708,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,QQQ,E1,direct_huber_executable_return_v1,20220103,20231031,"202311,202312,202401",708,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,SPY,E0,lightgbm_hurdle_expected_utility_v1,20220103,20231031,"202311,202312,202401",786,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,SPY,E0,direct_huber_executable_return_v1,20220103,20231031,"202311,202312,202401",786,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,SPY,E1,lightgbm_hurdle_expected_utility_v1,20220103,20231031,"202311,202312,202401",786,ABSTAIN_OUTER,0,,,,,,,,,,
frozen_outer,202402,SPY,E1,direct_huber_executable_return_v1,20220103,20231031,"202311,202312,202401",786,ABSTAIN_OUTER,0,,,,,,,,,,
