ticker,trade_date,minute,ret_15m_bps,option_price_mode,call_d25_opt_exit_ret,call_d25_opt_exit_minutes,call_d35_opt_exit_ret,call_d35_opt_exit_minutes,put_d25_opt_exit_ret,put_d25_opt_exit_minutes,put_d35_opt_exit_ret,put_d35_opt_exit_minutes,wall_net_gamma_total_log,lag_minute,gex_log_lag45,net_gex_proxy,net_gex_proxy_lag45,net_gex_slope15,month,action,score,realized_return,exit_minutes,date,deploy_config,arm,policy
SPXW,20230201,690,13.105553745280663,executable_quote,-0.471264367186105,180,-0.3783783992770118,180,-0.1584158733701848,180,-0.12666664123535154,180,20.304056334173303,645.0,19.996387613336182,657566417.8477987,483415751.8620295,58050221.9952564,202302,PUT,1.0,-0.1584158733701848,180.0,20230201,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230202,680,-14.813360768078931,executable_quote,0.04761911790117157,30,0.28070183070339505,146,-0.6276595593578078,72,-0.625,76,22.584119125116498,635.0,22.558393536674863,6429220408.252868,6265934251.45044,54428718.93414243,202302,CALL,1.0,0.04761911790117157,30.0,20230202,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230202,735,12.34594780872511,executable_quote,0.7288134990495989,109,0.23728814792167285,91,-0.6052631529414422,50,-0.6,83,22.70690282220044,690.0,22.68890946278813,7269132694.000032,7139506281.430809,43208804.189741135,202302,PUT,1.0,-0.6052631529414422,50.0,20230202,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230202,785,26.475856429024613,executable_quote,0.15789475885674853,59,0.18604643684003808,59,-0.03125004423782163,30,-0.0222222010294596,30,22.90103444344572,740.0,22.665670769423894,8826588674.454971,6975506435.655759,617027412.9330708,202302,PUT,1.0,-0.03125004423782163,30.0,20230202,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230202,815,10.624030030030873,executable_quote,0.15151515370448654,30,0.11999998092651376,30,0.8125000325962897,43,0.7608696846520318,43,22.854824005034953,770.0,22.641521399079114,8427988807.858966,6809070102.318302,539639568.5135546,202302,PUT,1.0,0.8125000325962897,43.0,20230202,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230203,680,-0.5991310259767513,executable_quote,-0.625,40,-0.6397058854466078,98,0.2291666376921877,43,0.2533332824707031,43,22.41657638543703,635.0,22.391575949668994,5437451888.625085,5303198412.163675,44751158.820469856,202302,CALL,1.0,-0.625,40.0,20230203,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230203,745,15.349696583799588,executable_quote,-0.6562499976716936,33,-0.6048386898298783,33,2.3888889256818806,41,1.9677419652551826,41,22.467837016152547,700.0,22.390080530241125,5723446615.189989,5295273832.988414,142724260.73385844,202302,PUT,1.0,2.3888889256818806,41.0,20230203,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230203,860,-7.707723320458104,executable_quote,-0.612500011920929,40,-0.7090909047560259,41,-0.7368421019609614,58,0.23076929425347004,45,22.09531012867564,815.0,21.93833794337676,3943403928.1236835,3370537091.957665,190955612.0553395,202302,CALL,1.0,-0.612500011920929,40.0,20230203,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230206,710,-17.764988587013477,executable_quote,-0.6249999834431538,82,-0.6,111,-0.6363636166596213,134,-0.6129031985160827,143,-21.72858953560835,665.0,-21.70125514863111,-2732791729.6958737,-2659104232.3108535,-24562499.128340084,202302,PUT,1.0,-0.6363636166596213,134.0,20230206,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230207,680,13.430198021628925,executable_quote,0.050000031789143806,83,0.04716980962322137,83,-0.6830985872926656,86,-0.6078431299217659,82,19.597219581481088,635.0,-19.781209818171863,324312974.56858444,-389825521.2631855,238046165.27725664,202302,PUT,1.0,-0.6830985872926656,86.0,20230207,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230207,805,-56.13274810038038,executable_quote,-0.9042553177998043,30,-0.8782051327117252,30,1.9772727494397433,30,1.635135101174856,30,21.423987618770006,760.0,20.290357285172536,2015206721.2495387,648619803.2234529,455528972.67536193,202302,CALL,1.0,-0.9042553177998043,30.0,20230207,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230207,835,-9.384187816099399,executable_quote,4.073170663628245,32,3.125000138367928,33,-0.9166666611477179,30,-0.9218750011641532,30,-20.45583766009675,790.0,22.038658505319958,-765345297.159243,3726213863.3568454,-1497186386.8386962,202302,PUT,1.0,-0.9166666611477179,30.0,20230207,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230208,685,-18.009501527918026,executable_quote,0.30769225126187605,105,0.26865675253389143,106,0.3023255014496957,30,0.256756766335297,30,-20.603533733670393,640.0,20.579537256849875,-887158070.6259718,866122798.1255195,-584426956.2504971,202302,PUT,1.0,0.3023255014496957,30.0,20230208,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230208,715,12.419341037952503,executable_quote,0.2195122234882314,39,0.27536232885606293,39,-0.6477272911997862,36,-0.6,38,-20.900549506765255,670.0,16.531589345216606,-1193969737.2725258,15120912.525090002,-403030216.59920526,202302,CALL,1.0,0.2195122234882314,39.0,20230208,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230208,760,-10.811161417481063,executable_quote,0.9166667439319489,30,0.7999999706561749,30,-0.680851050878121,30,-0.6532257804017153,30,-21.01240006397264,715.0,-20.900549506765255,-1335270944.9486108,-1193969737.2725258,-47100402.558694996,202302,PUT,1.0,-0.680851050878121,30.0,20230208,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230208,815,-21.982703602142493,executable_quote,-0.6153846247896873,67,-0.7037037045213257,68,-0.6666666445908718,41,-0.6200000047683716,41,-20.841164224459174,770.0,-20.214561056684804,-1125129777.323368,-601273855.4502379,-174618640.62437674,202302,PUT,1.0,-0.6666666445908718,41.0,20230208,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230209,685,-19.363473096071225,executable_quote,-0.6276595593578078,69,-0.6290322543431022,70,-0.6309523755460638,55,0.39726021133683576,77,-19.1067794145733,640.0,21.14134164628202,-198595253.50929052,1519035826.134178,-572543693.2144895,202302,PUT,1.0,-0.6309523755460638,55.0,20230209,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230209,740,9.062599491902468,executable_quote,-0.8552631529414422,30,-0.8425925909573486,30,3.085714340209961,31,2.4081633546758505,32,20.29324214984102,695.0,-18.32909906652763,650493685.2283244,-91248677.35376512,247247454.19402984,202302,PUT,1.0,3.085714340209961,31.0,20230209,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
SPXW,20230209,775,-1.7999652838374125,executable_quote,-0.6285714421953474,62,-0.6224489820743292,63,0.2926830034182246,86,0.31578951771349706,86,-21.420438851302467,730.0,20.338347845123103,-2008067895.7012327,680506440.0087852,-896191445.2366728,202302,PUT,1.0,0.2926830034182246,86.0,20230209,thr-inf_maxday4,K1_ALIGNED,KING_GEX_SLOPE1_EXECUTABLE_V1
