feature,importance
ib_range_bps,14811.551686763763
oi_diff,9914.134716749191
dist_ib_low_bps,5035.458704948425
dist_ib_high_bps,4895.277280330658
iv_diff,3782.6721297502518
minute,3094.2139123678207
ret_30m_bps,2057.088286757469
nearest_level_abs_bps,1882.620297074318
iv_diff_chg_25m,1562.5811994075775
ret_15m_bps,1212.459229707718
spread_pct_diff,1211.8384401798248
iv_diff_chg_15m,1171.0855598449707
volume_diff,1045.711704134941
ret_5m_bps,937.8975831270218
iv_diff_chg_5m,905.2262785434723
ret_1m_bps,846.994347691536
volume_diff_chg_25m,822.9228504896164
vega_diff,814.6485815048218
spread_pct_diff_chg_25m,784.9612185955048
abs_delta_diff,776.6769312620163
vega_diff_chg_25m,718.395569562912
vega_diff_chg_5m,716.4181389808655
abs_delta_diff_chg_5m,710.7245924472809
volume_diff_chg_5m,705.2403413057327
volume_diff_chg_15m,696.1684582233429
spread_pct_diff_chg_5m,694.7799789905548
abs_delta_diff_chg_25m,628.5002096891403
vega_diff_chg_15m,608.6582390069962
abs_delta_diff_chg_15m,560.2712804079056
spread_pct_diff_chg_15m,535.8556814193726
