ticker,month,test_month,train_months,train_month_max,first_val_month,val_months,val_month_max,deploy_config,train_rows,val_rows,test_rows,val_score,abstained_invalid_val,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate
SPXW,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,thr0.400_maxday1,4362,4797,779,-0.03314570106338208,False,52,0.36538461538461536,0.4748351941162634,-10.506941603561769,-0.2020565692992648,-10.506941603561764,0.25,52,0.36538461538461536,-0.6,-10.506941603561764,2.5,-0.23793793611192435,7,0.16666666666666666,7,0.5714285714285714,1.1111111111111112,0.20000000000000007,0.02857142857142858,-1.2,0.2857142857142857,7,0.5714285714285714,0.5,-1.2,1.4,6.999999999999997,7,1.0
SPXW,202602,202602,"202501,202502,202503,202504,202505,202506,202507",202507,202508,"202508,202509,202510,202511,202512,202601",202601,ABSTAIN_INVALID_VAL,5225,4713,616,-9.999999999999996e+17,True,375,0.448,0.6750598415191272,-40.13959518526932,-0.10703892049405152,-42.33959518526939,0.042666666666666665,126,0.4523809523809524,-0.7,-41.83959518526932,7.5,-0.18684792323845847,55,0.0,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,
SPXW,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508",202508,202509,"202509,202510,202511,202512,202601,202602",202602,thr0.400_maxday1,6003,4551,793,2.315261307831391,False,38,0.47368421052631576,0.794081571935742,-2.3338482066276827,-0.061417058069149544,-5.9338482066276805,0.7894736842105263,38,0.47368421052631576,-0.2669241033138414,-5.9338482066276805,2.5,-1.0711922021751363,4,0.3333333333333333,12,0.5,0.8333333333333333,-0.5999999999999996,-0.04999999999999997,-1.6,1.0,12,0.5,-0.04999999999999999,-1.6,2.5,-4.166666666666669,12,0.0
SPXW,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509",202509,202510,"202510,202511,202512,202601,202602,202603",202603,thr0.525_maxday2,6817,4530,793,0.15490203863924706,False,88,0.4431818181818182,0.6517565898829111,-10.238356257442417,-0.11634495747093655,-13.399999999999993,0.056818181818181816,55,0.2727272727272727,-0.09999999999999998,-13.399999999999997,5.0,-0.48835964233667134,10,0.3333333333333333,7,0.2857142857142857,0.3333333333333333,-2.0,-0.2857142857142857,-2.0,0.0,4,0.0,-0.35,-2.0,-2.0,1.0,7,0.0
SPXW,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510",202510,202511,"202511,202512,202601,202602,202603,202604",202604,thr0.369_maxday1,7669,4471,783,1.8703256206925796,False,75,0.48,0.7755681811403944,-5.129870148420052,-0.0683982686456007,-7.2727272776532725,0.14666666666666667,75,0.48,-0.6,-7.2727272776532725,2.5,-0.4873417703896413,9,0.16666666666666666,10,0.5,0.8333333333333334,-0.4999999999999998,-0.049999999999999975,-1.5,0.1,10,0.5,-0.04999999999999999,-1.5,2.5,-5.000000000000003,10,0.0
SPXW,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511",202511,202512,"202512,202601,202602,202603,202604,202605",202605,thr0.400_maxday1,8317,4606,736,3.4449435718369554,False,49,0.5306122448979592,0.9420289855072466,-0.8000000000000002,-0.0163265306122449,-2.8,0.3877551020408163,49,0.5306122448979592,0.5,-2.8,2.5,-3.1249999999999996,5,0.3333333333333333,9,0.3333333333333333,0.41666666666666663,-2.0999999999999996,-0.23333333333333328,-2.1,0.2222222222222222,9,0.3333333333333333,-0.6,-2.1,0.30000000000000004,-0.1428571428571429,9,0.0
QQQ,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,thr-999.000_maxday1,3974,4521,692,0.9464021063618164,False,128,0.4921875,0.8076923076923077,-7.500000000000002,-0.058593750000000014,-12.999999999999995,0.4921875,128,0.4921875,-0.6,-12.999999999999995,2.5,-0.33333333333333326,19,0.3333333333333333,20,0.35,0.44871794871794884,-4.3,-0.215,-4.3,0.45,20,0.35,-0.6,-4.3,2.5,-0.5813953488372093,20,0.0
QQQ,202602,202602,"202501,202502,202503,202504,202505,202506,202507",202507,202508,"202508,202509,202510,202511,202512,202601",202601,thr0.486_maxday1,4771,4416,550,-1.777655614170007,False,48,0.2708333333333333,0.3172942816540656,-13.98571429057997,-0.29136904772041605,-14.785714290579966,0.0625,48,0.2708333333333333,-0.6,-14.785714290579966,2.5,-0.17875383037703454,6,0.0,5,0.4,0.5555555555555556,-0.7999999999999998,-0.15999999999999998,-1.2999999999999998,0.0,5,0.4,-0.6,-1.2999999999999998,-0.7999999999999999,1.0000000000000002,5,0.0
QQQ,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508",202508,202509,"202509,202510,202511,202512,202601,202602",202602,thr0.131_maxday1,5526,4211,765,0.7789490141785633,False,106,0.4528301886792453,0.7133948623924409,-9.641958002772263,-0.09096186795068173,-11.541958002772255,0.3584905660377358,106,0.4528301886792453,-0.6,-11.541958002772255,2.5,-0.2592834359246533,14,0.3333333333333333,20,0.65,1.5476190476190474,2.3,0.11499999999999999,-1.3000000000000003,0.45,20,0.65,0.5,-1.3000000000000003,2.5,1.0869565217391306,20,1.0
QQQ,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509",202509,202510,"202510,202511,202512,202601,202602,202603",202603,thr-999.000_maxday1,6323,4179,637,-0.6944297542361986,False,125,0.44,0.6725716387587877,-13.387837689306197,-0.10710270151444957,-17.041966065458077,0.136,125,0.44,-0.6,-17.041966065458077,2.5,-0.1867366529246859,19,0.3333333333333333,18,0.5,0.7626886095741698,-1.2814815082994828,-0.07119341712774904,-4.300000000000001,0.2222222222222222,18,0.5,-0.24074075414974155,-4.300000000000001,2.5,-1.9508670111966602,18,0.0
QQQ,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510",202510,202511,"202511,202512,202601,202602,202603,202604",202604,thr0.300_maxday1,7126,4013,712,1.458471947489131,False,61,0.4426229508196721,0.6561993428582934,-6.873148117653988,-0.11267455930580308,-7.7916666093545,0.4098360655737705,61,0.4426229508196721,-0.6,-7.7916666093545,2.5,-0.36373434082973394,6,0.3333333333333333,9,0.3333333333333333,0.41666666666666663,-2.0999999999999996,-0.23333333333333328,-2.6,0.4444444444444444,9,0.3333333333333333,-0.6,-2.6,0.30000000000000004,-0.1428571428571429,9,0.0
QQQ,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511",202511,202512,"202512,202601,202602,202603,202604,202605",202605,thr0.400_maxday2,7751,4100,619,2.8861322748564096,False,54,0.5185185185185185,0.8788014305759673,-1.8906976830149125,-0.03501292005583171,-5.6,0.37037037037037035,38,0.4473684210526316,-0.09999999999999998,-5.6,5.0,-2.6445264332407623,6,0.5,13,0.5384615384615384,0.9722222222222222,-0.09999999999999976,-0.007692307692307674,-1.7999999999999998,0.07692307692307693,9,0.4444444444444444,-0.09999999999999998,-1.2999999999999998,2.4,-24.000000000000057,13,0.0
SPY,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,thr0.300_maxday1,4331,4822,779,2.71547583436372,False,65,0.49230769230769234,0.8080808080808081,-3.8000000000000003,-0.05846153846153847,-4.500000000000002,0.36923076923076925,65,0.49230769230769234,-0.6,-4.500000000000002,2.5,-0.6578947368421052,6,0.3333333333333333,9,0.5555555555555556,1.0416666666666667,0.1000000000000002,0.011111111111111134,-2.4,0.4444444444444444,9,0.5555555555555556,0.5,-2.4,2.5,24.99999999999995,9,1.0
