ticker,profile_id,month,trades,win_rate,profit_factor,net_bps
QQQ,POOLED_BREADTH_TRANSMISSION,202501,120,0.5083333333333333,0.9677390425965547,-48.7620325003526
QQQ,POOLED_BREADTH_TRANSMISSION,202502,114,0.5,0.7199800442472822,-460.3181254465535
QQQ,POOLED_BREADTH_TRANSMISSION,202503,120,0.5583333333333333,1.0601040425269705,130.64970106417277
QQQ,POOLED_BREADTH_TRANSMISSION,202504,126,0.5952380952380952,1.6724709937062823,1908.8408374024461
QQQ,POOLED_BREADTH_TRANSMISSION,202505,126,0.5079365079365079,0.9118494741982168,-141.29936877678682
QQQ,POOLED_BREADTH_TRANSMISSION,202506,120,0.44166666666666665,0.7080750505823155,-370.43885368739825
QQQ,POOLED_BREADTH_TRANSMISSION,202507,126,0.5,0.8826116460447166,-105.18150601113457
QQQ,POOLED_BREADTH_TRANSMISSION,202508,126,0.47619047619047616,0.7145733036546902,-354.32136013902294
QQQ,POOLED_BREADTH_TRANSMISSION,202509,114,0.47368421052631576,0.7631554540719186,-259.1352068542112
QQQ,POOLED_BREADTH_TRANSMISSION,202510,138,0.45652173913043476,0.6998846090587617,-491.41169002303343
QQQ,POOLED_BREADTH_TRANSMISSION,202511,78,0.5384615384615384,1.1907325455537503,162.04581981507067
QQQ,POOLED_BREADTH_TRANSMISSION,202512,126,0.4444444444444444,0.8008392559391322,-211.82290838689985
QQQ,POOLED_TARGET_ONLY,202501,120,0.375,0.6796638056322049,-572.8898002180807
QQQ,POOLED_TARGET_ONLY,202502,114,0.47368421052631576,0.725751956375115,-450.3358305637256
QQQ,POOLED_TARGET_ONLY,202503,120,0.49166666666666664,0.9433660253811833,-130.97989718774073
QQQ,POOLED_TARGET_ONLY,202504,126,0.4523809523809524,0.710219778401174,-1291.6823881880423
QQQ,POOLED_TARGET_ONLY,202505,126,0.46825396825396826,0.5466038818191332,-901.2069986944146
QQQ,POOLED_TARGET_ONLY,202506,120,0.38333333333333336,0.7110599524634325,-368.63148040567205
QQQ,POOLED_TARGET_ONLY,202507,126,0.5238095238095238,0.895343528337726,-93.00914124940967
QQQ,POOLED_TARGET_ONLY,202508,126,0.5,0.8937526096090906,-119.07758456482776
QQQ,POOLED_TARGET_ONLY,202509,114,0.5175438596491229,0.7747689830440317,-243.63580833508678
QQQ,POOLED_TARGET_ONLY,202510,138,0.47101449275362317,0.6966190525220828,-496.70660584712675
QQQ,POOLED_TARGET_ONLY,202511,78,0.5,1.0061218867683401,5.701048482666273
QQQ,POOLED_TARGET_ONLY,202512,126,0.49206349206349204,1.2248978135604178,192.19827816188078
SPX,POOLED_BREADTH_TRANSMISSION,202501,120,0.5333333333333333,1.0318677400884608,34.44727854952663
SPX,POOLED_BREADTH_TRANSMISSION,202502,114,0.5,0.6383204798444106,-488.7657493973227
SPX,POOLED_BREADTH_TRANSMISSION,202503,120,0.5416666666666666,0.9057347496197636,-181.51540051830176
SPX,POOLED_BREADTH_TRANSMISSION,202504,126,0.5555555555555556,1.5728854801844676,1509.5582036304895
SPX,POOLED_BREADTH_TRANSMISSION,202505,126,0.46825396825396826,0.9484633396270672,-66.84773937544611
SPX,POOLED_BREADTH_TRANSMISSION,202506,120,0.425,0.6315102132639049,-408.21578303683566
SPX,POOLED_BREADTH_TRANSMISSION,202507,126,0.47619047619047616,0.9004056179000148,-74.90740741197723
SPX,POOLED_BREADTH_TRANSMISSION,202508,126,0.48412698412698413,0.7178194964930168,-253.1956513111041
SPX,POOLED_BREADTH_TRANSMISSION,202509,114,0.47368421052631576,0.7498835285680866,-219.11090313546998
SPX,POOLED_BREADTH_TRANSMISSION,202510,138,0.427536231884058,0.6031580749009485,-565.821242224685
SPX,POOLED_BREADTH_TRANSMISSION,202511,78,0.5256410256410257,1.3081849496361508,192.1356940189208
SPX,POOLED_BREADTH_TRANSMISSION,202512,126,0.48412698412698413,0.8126663937891518,-151.51036654130127
SPX,POOLED_TARGET_ONLY,202501,120,0.4166666666666667,0.8706389208724001,-153.8508218658925
SPX,POOLED_TARGET_ONLY,202502,114,0.43859649122807015,0.9068906755887338,-108.59236248119487
SPX,POOLED_TARGET_ONLY,202503,120,0.48333333333333334,1.0665650943359037,118.6521150364354
SPX,POOLED_TARGET_ONLY,202504,126,0.4444444444444444,0.872594796935219,-463.294260026164
SPX,POOLED_TARGET_ONLY,202505,126,0.49206349206349204,0.6409521660579833,-551.3828163293392
SPX,POOLED_TARGET_ONLY,202506,120,0.425,0.7516080230651896,-256.03271792278764
SPX,POOLED_TARGET_ONLY,202507,126,0.47619047619047616,0.7759780243693883,-180.72840601225073
SPX,POOLED_TARGET_ONLY,202508,126,0.48412698412698413,0.8107930708096063,-160.92118699419797
SPX,POOLED_TARGET_ONLY,202509,114,0.43859649122807015,0.755969836611738,-213.94587114130337
SPX,POOLED_TARGET_ONLY,202510,138,0.43478260869565216,0.6440712881833119,-495.2506664479924
SPX,POOLED_TARGET_ONLY,202511,78,0.48717948717948717,1.0289209064398337,20.623690340150645
SPX,POOLED_TARGET_ONLY,202512,126,0.4365079365079365,0.9435470623764458,-43.0331348803224
SPY,POOLED_BREADTH_TRANSMISSION,202501,120,0.55,1.0274822719554828,29.703760219651997
SPY,POOLED_BREADTH_TRANSMISSION,202502,114,0.5175438596491229,0.6504080841222091,-467.20706015627377
SPY,POOLED_BREADTH_TRANSMISSION,202503,120,0.55,0.9259443277201591,-139.89097283539064
SPY,POOLED_BREADTH_TRANSMISSION,202504,126,0.5555555555555556,1.5708029953713663,1502.2914370944388
SPY,POOLED_BREADTH_TRANSMISSION,202505,126,0.46825396825396826,0.9494168040201804,-65.80090341242175
SPY,POOLED_BREADTH_TRANSMISSION,202506,120,0.425,0.6386519356083186,-397.9568853611983
SPY,POOLED_BREADTH_TRANSMISSION,202507,126,0.48412698412698413,0.9226086525366831,-57.033429046184885
SPY,POOLED_BREADTH_TRANSMISSION,202508,126,0.47619047619047616,0.7184511883540959,-249.71040351020713
SPY,POOLED_BREADTH_TRANSMISSION,202509,114,0.5,0.7871287793219405,-181.04381528712474
SPY,POOLED_BREADTH_TRANSMISSION,202510,138,0.4492753623188406,0.6064930703152716,-551.79186888048
SPY,POOLED_BREADTH_TRANSMISSION,202511,78,0.5256410256410257,1.3081412756692934,191.57724792075683
SPY,POOLED_BREADTH_TRANSMISSION,202512,126,0.5,0.8214257013687978,-143.99717204257334
SPY,POOLED_TARGET_ONLY,202501,120,0.4666666666666667,0.8052532975186241,-238.4503844333596
SPY,POOLED_TARGET_ONLY,202502,114,0.45614035087719296,0.9587752869404325,-46.63190586244613
SPY,POOLED_TARGET_ONLY,202503,120,0.5083333333333333,0.979310262635584,-38.13364268089714
SPY,POOLED_TARGET_ONLY,202504,126,0.4603174603174603,0.786014030776214,-813.3063134882223
SPY,POOLED_TARGET_ONLY,202505,126,0.49206349206349204,0.6380971144048408,-558.9254994575685
SPY,POOLED_TARGET_ONLY,202506,120,0.44166666666666665,0.7411658695238011,-267.4383935893842
SPY,POOLED_TARGET_ONLY,202507,126,0.46825396825396826,0.6162722569574757,-337.47349058697563
