ticker,test_month,arm,status,valid_inner,trade_threshold,side_margin
SPXW,202304,C0,completed,False,0.5,0.0
SPXW,202304,P1,completed,False,0.5,0.0
SPXW,202305,C0,completed,False,0.5,0.0
SPXW,202305,P1,completed,False,0.5,0.0
SPXW,202306,C0,completed,False,0.5,0.0
SPXW,202306,P1,completed,False,0.5,0.0
SPXW,202307,C0,completed,False,0.5,0.0
SPXW,202307,P1,completed,False,0.5,0.0
SPXW,202308,C0,completed,False,0.5,0.0
SPXW,202308,P1,completed,False,0.5,0.0
SPXW,202309,C0,completed,False,0.5,0.0
SPXW,202309,P1,completed,False,0.5,0.0
SPXW,202310,C0,completed,False,0.5,0.0
SPXW,202310,P1,completed,False,0.5,0.0
SPXW,202311,C0,completed,False,0.5,0.0
SPXW,202311,P1,completed,False,0.5,0.0
SPXW,202312,C0,completed,False,0.5,0.0
SPXW,202312,P1,completed,False,0.5,0.0
SPXW,202401,C0,completed,False,0.5,0.0
SPXW,202401,P1,completed,False,0.5,0.0
SPXW,202402,C0,completed,False,0.5,0.0
SPXW,202402,P1,completed,False,0.5,0.0
SPXW,202403,C0,completed,False,0.5,0.0
SPXW,202403,P1,completed,False,0.5,0.0
SPXW,202404,C0,completed,False,0.5,0.0
SPXW,202404,P1,completed,False,0.5,0.0
SPXW,202405,C0,completed,False,0.5,0.0
SPXW,202405,P1,completed,False,0.5,0.0
SPXW,202406,C0,completed,False,0.5,0.0
SPXW,202406,P1,completed,False,0.5,0.0
SPXW,202407,C0,completed,False,0.5,0.0
SPXW,202407,P1,completed,False,0.5,0.0
SPXW,202408,C0,completed,False,0.5,0.0
SPXW,202408,P1,completed,False,0.5,0.0
SPXW,202409,C0,completed,False,0.5,0.0
SPXW,202409,P1,completed,False,0.5,0.0
SPXW,202410,C0,completed,False,0.5,0.0
SPXW,202410,P1,completed,False,0.5,0.0
SPXW,202411,C0,completed,False,0.5,0.0
SPXW,202411,P1,completed,False,0.5,0.0
SPXW,202412,C0,completed,False,0.5,0.0
SPXW,202412,P1,completed,False,0.5,0.0
SPXW,202501,C0,completed,False,0.5,0.0
SPXW,202501,P1,completed,False,0.5,0.0
SPXW,202502,C0,completed,False,0.5,0.0
SPXW,202502,P1,completed,False,0.5,0.0
SPXW,202503,C0,completed,False,0.5,0.0
SPXW,202503,P1,completed,False,0.5,0.0
SPXW,202504,C0,completed,False,0.5,0.0
SPXW,202504,P1,completed,False,0.5,0.0
SPXW,202505,C0,completed,False,0.5,0.0
SPXW,202505,P1,completed,False,0.5,0.0
SPXW,202506,C0,completed,False,0.5,0.0
SPXW,202506,P1,completed,False,0.5,0.0
SPXW,202507,C0,completed,False,0.5,0.0
SPXW,202507,P1,completed,False,0.5,0.0
SPXW,202508,C0,completed,False,0.5,0.0
SPXW,202508,P1,completed,False,0.5,0.0
SPXW,202509,C0,completed,False,0.5,0.0
SPXW,202509,P1,completed,False,0.5,0.0
SPXW,202510,C0,completed,False,0.5,0.0
SPXW,202510,P1,completed,False,0.5,0.0
SPXW,202511,C0,completed,False,0.5,0.0
SPXW,202511,P1,completed,False,0.5,0.0
