ticker,test_month,mode,train_rows,test_rows,train_month_max,val_months,feature_count
QQQ,202601,SCORED,3662,617,202506,"202507,202508,202509,202510,202511,202512",275
QQQ,202602,SCORED,4348,509,202507,"202508,202509,202510,202511,202512,202601",275
QQQ,202603,SCORED,5031,712,202508,"202509,202510,202511,202512,202601,202602",275
QQQ,202604,SCORED,5723,567,202509,"202510,202511,202512,202601,202602,202603",275
QQQ,202605,SCORED,6420,653,202510,"202511,202512,202601,202602,202603,202604",275
QQQ,202606,SCORED,6995,581,202511,"202512,202601,202602,202603,202604,202605",275
SPXW,202601,SCORED,3906,674,202506,"202507,202508,202509,202510,202511,202512",275
SPXW,202602,SCORED,4640,551,202507,"202508,202509,202510,202511,202512,202601",275
SPXW,202603,SCORED,5309,723,202508,"202509,202510,202511,202512,202601,202602",275
SPXW,202604,SCORED,6010,677,202509,"202510,202511,202512,202601,202602,202603",275
SPXW,202605,SCORED,6740,676,202510,"202511,202512,202601,202602,202603,202604",275
SPXW,202606,SCORED,7311,656,202511,"202512,202601,202602,202603,202604,202605",275
SPY,202601,SCORED,3892,674,202506,"202507,202508,202509,202510,202511,202512",275
SPY,202602,SCORED,4630,550,202507,"202508,202509,202510,202511,202512,202601",275
SPY,202603,SCORED,5308,727,202508,"202509,202510,202511,202512,202601,202602",275
SPY,202604,SCORED,6015,589,202509,"202510,202511,202512,202601,202602,202603",275
SPY,202605,SCORED,6746,667,202510,"202511,202512,202601,202602,202603,202604",275
SPY,202606,SCORED,7317,644,202511,"202512,202601,202602,202603,202604,202605",275
