ticker,date,trade_date,month,test_month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,nearest_level_abs_bps,ret_5m_bps,ret_15m_bps,ret_30m_bps,ctx_spx_ret_5m_bps,ctx_qqq_ret_5m_bps,exit_status,exit_minutes,event_delta_bucket,wf_train_month_max,wf_val_months,wf_feature_count
QQQ,20260102,20260102,202601,202601,10:30,630,zero_dte,PUT,0.33919322579372535,-0.26919272522865095,0.33919322579372535,-0.6,1.1646341321583238,1.1646341321583238,9.265699974075089,4.391204290754569,-41.11859981558608,-108.37391335837943,8.284296627758536,4.391204290754569,1,30,35,202506,"202507,202508,202509,202510,202511,202512",275
QQQ,20260102,20260102,202601,202601,10:55,655,zero_dte,PUT,0.4519850159102966,-0.2838884313529141,0.4519850159102966,-0.6,1.9636753234010595,1.9636753234010595,7.153929764069171,-13.639234855078453,-34.35026290797616,2.2769942683065203,,-13.639234855078453,1,30,35,202506,"202507,202508,202509,202510,202511,202512",275
QQQ,20260102,20260102,202601,202601,11:00,660,zero_dte,PUT,0.2900983956519063,-0.07408845985090363,0.2900983956519063,-0.6,-0.6,-0.6,1.9369360568346912,-45.03631495113791,-84.37320474656617,-47.14007954472965,-26.603843726987762,-45.03631495113791,-1,34,35,202506,"202507,202508,202509,202510,202511,202512",275
QQQ,20260102,20260102,202601,202601,11:05,665,zero_dte,PUT,0.2148121100741238,-0.09145621546583899,0.2148121100741238,0.3690476866265835,-0.6,-0.6,10.275176489837484,-8.329681538211675,-66.89498155834306,-82.35318563256988,-4.577190424831512,-8.329681538211675,-1,30,35,202506,"202507,202508,202509,202510,202511,202512",275
QQQ,20260102,20260102,202601,202601,11:10,670,zero_dte,PUT,0.29390630188131994,-0.13016608635632265,0.29390630188131994,-0.6,0.5409090781014816,0.5409090781014816,2.634411907395605,12.912990210749431,-40.48435547995055,-74.69555356248713,11.543230964492501,12.912990210749431,1,30,35,202506,"202507,202508,202509,202510,202511,202512",275
QQQ,20260102,20260102,202601,202601,11:15,675,zero_dte,PUT,0.4040866282569773,-0.3095135118874594,0.4040866282569773,-0.6,0.47619058685103055,0.47619058685103055,12.742892163425603,10.12137781863931,14.698558434769193,-69.79866275982572,7.380491412427581,10.12137781863931,1,30,35,202506,"202507,202508,202509,202510,202511,202512",275
QQQ,20260102,20260102,202601,202601,11:20,680,zero_dte,PUT,0.26096426726546,-0.16102798126893775,0.26096426726546,0.6388888336994052,-0.6,-0.6,11.094182842067948,-23.810659025012004,-0.8180987385320027,-67.70760762687233,-13.11365296629452,-23.810659025012004,-1,52,35,202506,"202507,202508,202509,202510,202511,202512",275
QQQ,20260102,20260102,202601,202601,11:25,685,zero_dte,PUT,0.38925259289434766,-0.28667626333470675,0.38925259289434766,-0.6,0.3983516008464383,0.3983516008464383,4.919017097912496,16.021080736987603,2.2857295447886727,-38.207879563905145,9.416729663820345,16.021080736987603,1,30,35,202506,"202507,202508,202509,202510,202511,202512",275
QQQ,20260102,20260102,202601,202601,11:30,690,zero_dte,PUT,0.4120601745968516,-0.2641804665880388,0.4120601745968516,0.2954545700845641,0.5572289520016713,0.5572289520016713,5.897671787128126,0.9792322082313731,-6.849259844952105,7.839231165209792,-0.8616807639683088,0.9792322082313731,1,30,35,202506,"202507,202508,202509,202510,202511,202512",275
QQQ,20260102,20260102,202601,202601,11:35,695,zero_dte,PUT,0.3548387529099967,-0.1816162593372611,0.3548387529099967,-0.6,0.8112244302160998,0.8112244302160998,12.905924995807133,7.017309695940277,24.031122223973078,23.21105750236363,1.4317403349495272,7.017309695940277,1,30,35,202506,"202507,202508,202509,202510,202511,202512",275
