feature,importance
ib_range_bps,11834.45200908184
oi_diff,7088.424513459206
dist_ib_low_bps,3841.5541051626205
dist_ib_high_bps,3823.5614210367203
iv_diff,3654.8739701509476
minute,2913.107003927231
ret_30m_bps,2475.134423494339
nearest_level_abs_bps,1770.6771907806396
ret_15m_bps,1600.6658101081848
iv_diff_chg_25m,1439.551040172577
volume_diff,1406.3317388296127
iv_diff_chg_15m,1394.0739086866379
iv_diff_chg_5m,1300.6693497896194
spread_pct_diff,1259.5862231254578
abs_delta_diff,1197.9763703346252
spread_pct_diff_chg_25m,1133.68767952919
ret_1m_bps,1104.305230140686
ret_5m_bps,1092.0043884515762
spread_pct_diff_chg_5m,1031.9677692651749
volume_diff_chg_25m,988.9933905601501
spread_pct_diff_chg_15m,983.012589931488
vega_diff,978.5963490009308
volume_diff_chg_15m,975.8548451662064
volume_diff_chg_5m,921.2517223358154
vega_diff_chg_5m,878.1669301986694
abs_delta_diff_chg_5m,804.1560521125793
vega_diff_chg_25m,723.9461703300476
abs_delta_diff_chg_25m,713.4538046121597
abs_delta_diff_chg_15m,624.4890998601913
vega_diff_chg_15m,619.8064490556717
