ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,selector_source,selector_source_path,stream_selector_mode,stream_selector_source,stream_selector_select_months,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,candidate_id
SPY,20250102,202501,10:00,600,zero_dte,PUT,0.5758627289506485,0.1862887714376893,0.5758627289506485,-0.3,-0.3,-0.3,thr0.430_maxday1,202501,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202407,202408,202409,202410,202411,202412",,,,,,,,,,,
SPY,20250103,202501,10:00,600,zero_dte,PUT,0.4660062005360774,0.3316287872484567,0.4660062005360774,0.5,-0.3,-0.3,thr0.430_maxday1,202501,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202407,202408,202409,202410,202411,202412",,,,,,,,,,,
SPY,20250106,202501,10:00,600,zero_dte,PUT,0.4323673280405977,0.2944593348272559,0.4323673280405977,-0.3,-0.3,-0.3,thr0.430_maxday1,202501,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202407,202408,202409,202410,202411,202412",,,,,,,,,,,
SPY,20250107,202501,10:00,600,zero_dte,PUT,0.75772638752058,0.1368863985870997,0.75772638752058,-0.3,0.5,0.5,thr0.430_maxday1,202501,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202407,202408,202409,202410,202411,202412",,,,,,,,,,,
SPY,20250108,202501,10:00,600,zero_dte,PUT,0.6673188930471684,0.2551299215329453,0.6673188930471684,-0.3,0.5,0.5,thr0.430_maxday1,202501,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202407,202408,202409,202410,202411,202412",,,,,,,,,,,
SPY,20250110,202501,10:00,600,zero_dte,PUT,0.78674070565731,0.1239385100458203,0.78674070565731,-0.3,0.5,0.5,thr0.430_maxday1,202501,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202407,202408,202409,202410,202411,202412",,,,,,,,,,,
SPY,20250113,202501,10:00,600,zero_dte,PUT,0.4500192084174858,0.3717294388314764,0.4500192084174858,0.5,-0.3,-0.3,thr0.430_maxday1,202501,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202407,202408,202409,202410,202411,202412",,,,,,,,,,,
SPY,20250114,202501,10:15,615,zero_dte,PUT,0.6309462643991295,0.2673790242002347,0.6309462643991295,-0.3,0.5,0.5,thr0.430_maxday1,202501,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202407,202408,202409,202410,202411,202412",,,,,,,,,,,
SPY,20250115,202501,10:00,600,zero_dte,PUT,0.5379458640852423,0.1563052185981989,0.5379458640852423,-0.3,-0.3,-0.3,thr0.430_maxday1,202501,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202407,202408,202409,202410,202411,202412",,,,,,,,,,,
SPY,20250116,202501,10:15,615,zero_dte,PUT,0.4532997503566091,0.3036812804877096,0.4532997503566091,0.5,-0.3,-0.3,thr0.430_maxday1,202501,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1\event_option_gate_trades.csv,SELECTED,event_option_gate_dense15_zero_dte_win_valthr_strict_d25_physctx_2023_2026_spy_v1_event_option_gate,"202407,202408,202409,202410,202411,202412",,,,,,,,,,,
