month,trades,win_rate,profit_factor,net_bps,frequency_pass,win_rate_pass,profit_factor_pass,pnl_pass,month_pass
202201,19,0.2631578947368421,0.2297655175186902,-335.7169909693964,True,False,False,False,False
202202,19,0.3684210526315789,0.5376771249299312,-154.30226960008736,True,False,False,False,False
202203,23,0.43478260869565216,0.8595812413913021,-43.89870461768739,True,False,False,False,False
202204,20,0.4,0.6249535249855125,-130.8211966668582,True,False,False,False,False
202205,21,0.42857142857142855,0.6357522825258654,-128.86123345829998,True,False,False,False,False
202206,21,0.42857142857142855,0.6957636523109996,-122.45873562770625,True,False,False,False,False
202207,20,0.3,0.20970249519127604,-273.648992631727,True,False,False,False,False
202208,23,0.43478260869565216,1.0651405521268282,16.120356075601048,True,False,False,True,False
202209,21,0.38095238095238093,0.8970328275750953,-17.874462565312392,True,False,False,False,False
202210,21,0.5714285714285714,1.221949159751696,51.95312066491093,True,True,True,True,True
202211,20,0.35,0.4894696826605141,-193.70647454971373,True,False,False,False,False
202212,21,0.5238095238095238,1.041318241692384,6.2596363767295315,True,True,False,True,False
202301,20,0.65,1.1692758751924222,30.26785179027116,True,True,False,True,False
202302,19,0.3157894736842105,0.12248806013349256,-314.0061396100815,True,False,False,False,False
202303,23,0.30434782608695654,0.24176200623159705,-290.3262425430441,True,False,False,False,False
202304,19,0.2631578947368421,0.7448256413754981,-41.48588033552955,True,False,False,False,False
202305,22,0.5,0.5620391212251397,-108.62801102591396,True,True,False,False,False
202306,20,0.5,1.2415457129425962,51.28397231352109,True,True,True,True,True
202307,19,0.3157894736842105,0.8046656117988839,-39.18798231957177,True,False,False,False,False
202308,23,0.2608695652173913,0.5428579818242883,-77.75244173899671,True,False,False,False,False
202309,20,0.5,0.9719310343790067,-4.23916068416478,True,True,False,False,False
202310,22,0.45454545454545453,0.4613083539846892,-121.47576843469284,True,True,False,False,False
202311,20,0.45,0.4816320951170307,-92.76666927235105,True,False,False,False,False
202312,20,0.55,0.8775684880924994,-14.056968123718532,True,True,False,False,False
