trade_date,month,previous_trade_date,decision_bar_time,entry_time,exit_time,hold_minutes,qqq_cross_session_bps,spxw_cross_session_bps,spy_cross_session_bps,market_anchor_bps,relative_shock_bps,action,trade_executed,qqq_position,spy_position,qqq_leg_return_bps,spy_leg_return_bps,gross_bps,cost_bps,net_bps,momentum_control_net_bps,fixed_long_qqq_short_spy_net_bps
20220104,202201,20220103,10:34,10:36,13:36,180,-76.95805310019382,26.130741375794567,28.843762159452957,27.48725176762376,-104.44530486781758,LONG_QQQ_SHORT_SPY,True,1,-1,-112.79880376996894,-62.18027131655311,-50.61853245341583,2.0,-52.61853245341583,48.61853245341583,-52.61853245341583
20220105,202201,20220104,10:34,10:36,13:36,180,-76.71603459785287,-9.622038339282552,-7.751694761894318,-8.686866550588435,-68.02916804726443,LONG_QQQ_SHORT_SPY,True,1,-1,-48.62349358061834,-28.950866718598753,-19.672626862019584,2.0,-21.672626862019584,17.672626862019584,-21.672626862019584
20220106,202201,20220105,10:34,10:36,13:36,180,31.18829849022144,11.759291034435636,8.749747135682215,10.254519085058925,20.933779405162518,SHORT_QQQ_LONG_SPY,True,-1,1,0.25988539055856313,9.816684883176077,9.556799492617513,2.0,7.556799492617513,-11.556799492617513,-11.556799492617513
20220107,202201,20220106,10:34,10:36,13:36,180,-62.69285462574732,-23.30166031295753,-21.82239157879059,-22.562025945874062,-40.13082867987326,LONG_QQQ_SHORT_SPY,True,1,-1,-8.392782699949775,14.342137295917741,-22.734919995867514,2.0,-24.734919995867514,20.734919995867514,-24.734919995867514
20220110,202201,20220107,10:34,10:36,13:36,180,-243.5829956760831,-173.30678879365527,-173.33781755707955,-173.3223031753674,-70.26069250071569,LONG_QQQ_SHORT_SPY,True,1,-1,103.66683413056575,54.658629378149406,49.00820475241634,2.0,47.00820475241634,-51.00820475241634,47.00820475241634
20220111,202201,20220110,10:34,10:36,13:36,180,-29.491555724999483,-44.205416540299595,-47.80164995573385,-46.00353324801672,16.51197752301724,SHORT_QQQ_LONG_SPY,True,-1,1,146.80939353641605,103.47214658362884,-43.33724695278721,2.0,-45.33724695278721,41.33724695278721,41.33724695278721
20220112,202201,20220111,10:34,10:36,13:36,180,64.05973241900755,46.16423459981841,45.667514237802685,45.915874418810546,18.143858000197,SHORT_QQQ_LONG_SPY,True,-1,1,-28.09099199198978,-27.788107184850958,0.30288480713882393,2.0,-1.697115192861176,-2.302884807138824,-2.302884807138824
20220113,202201,20220112,10:34,10:36,13:36,180,-48.384895874610436,-11.36680064430626,-9.344802633944532,-10.355801639125396,-38.02909423548504,LONG_QQQ_SHORT_SPY,True,1,-1,-110.86443453881031,-53.06635075444081,-57.7980837843695,2.0,-59.7980837843695,55.7980837843695,-59.7980837843695
20220114,202201,20220113,10:34,10:36,13:36,180,9.263303426826218,-27.440636856709936,-28.455654279049202,-27.94814556787957,37.21144899470579,SHORT_QQQ_LONG_SPY,True,-1,1,-56.29180314256788,-60.67059411086147,-4.378790968293593,2.0,-6.378790968293593,2.3787909682935933,2.3787909682935933
20220118,202201,20220114,10:34,10:36,13:36,180,-146.03829599319639,-136.88505485640582,-137.59846127454784,-137.24175806547683,-8.796537927719555,LONG_QQQ_SHORT_SPY,True,1,-1,-73.14459178635164,-41.32372808476346,-31.82086370158818,2.0,-33.82086370158818,29.82086370158818,-33.82086370158818
20220119,202201,20220118,10:34,10:36,13:36,180,30.966863301343444,-2.075316520523439,-6.5737577965550065,-4.324537158539223,35.29140045988267,SHORT_QQQ_LONG_SPY,True,-1,1,1.0761945770160783,15.116167315930841,14.039972738914763,2.0,12.039972738914763,-16.039972738914763,-16.039972738914763
20220120,202201,20220119,10:34,10:36,13:36,180,174.19027469241175,118.55688012062961,119.03461819178688,118.79574915620825,55.3945255362035,SHORT_QQQ_LONG_SPY,True,-1,1,-69.98494285729025,-38.12366309785666,31.861279759433593,2.0,29.861279759433593,-33.86127975943359,-33.86127975943359
