ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_result,source_variant,source_stream,source_priority,entry_minute,_20,config_priority,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,selected_variants,selected_max_day,selected_cooldown,selected_min_score,selected_daily_order,selected_fallback,selected_target_month_trades,selected_backfill_max_day,selected_backfill_cooldown,config_selector_mode,config_select_months,config_select_score
SPY,20250102,202501,10:30,630,front_weekly,PUT,0.6278667741951761,0.1406446355353491,0.6278667741951761,-0.3,0.5,0.5,thr0.411_maxday8,202501,research_papers\JEPA\results\event_option_variant_streams_full20_2025_2026_v1\d65win,d65win,primary_static,1,630,1623.0,0.0,in_memory_static_union,0,0,2,0,18,False,primary,d65win,1,0,-999999.0,score_desc,d80,18,1,0,SELECTED_BACKFILL,"202407,202408,202409,202410,202411,202412",19.33575601965465
SPY,20250103,202501,13:35,815,front_weekly,PUT,0.6120881896810932,0.2193630699392992,0.6120881896810932,0.0397111709519752,-0.0091323751857859,-0.0091323751857859,thr0.411_maxday8,202501,research_papers\JEPA\results\event_option_variant_streams_full20_2025_2026_v1\d65win,d65win,primary_static,1,815,1637.0,0.0,in_memory_static_union,1,0,3,1,18,False,primary,d65win,1,0,-999999.0,score_desc,d80,18,1,0,SELECTED_BACKFILL,"202407,202408,202409,202410,202411,202412",19.33575601965465
SPY,20250106,202501,11:30,690,front_weekly,PUT,0.7252255455743801,0.2539361246149103,0.7252255455743801,-0.3,0.5,0.5,thr0.411_maxday8,202501,research_papers\JEPA\results\event_option_variant_streams_full20_2025_2026_v1\d65win,d65win,primary_static,1,690,1640.0,0.0,in_memory_static_union,2,0,4,2,18,False,primary,d65win,1,0,-999999.0,score_desc,d80,18,1,0,SELECTED_BACKFILL,"202407,202408,202409,202410,202411,202412",19.33575601965465
SPY,20250107,202501,11:35,695,front_weekly,PUT,0.6000993166226419,0.253076330494072,0.6000993166226419,-0.1859649084648302,0.1357143288972433,0.1357143288972433,thr0.411_maxday8,202501,research_papers\JEPA\results\event_option_variant_streams_full20_2025_2026_v1\d65win,d65win,primary_static,1,695,1647.0,0.0,in_memory_static_union,3,0,4,3,18,False,primary,d65win,1,0,-999999.0,score_desc,d80,18,1,0,SELECTED_BACKFILL,"202407,202408,202409,202410,202411,202412",19.33575601965465
SPY,20250108,202501,12:00,720,front_weekly,PUT,0.5382112530425334,0.2344228550404007,0.5382112530425334,-0.3,0.5,0.5,thr0.411_maxday8,202501,research_papers\JEPA\results\event_option_variant_streams_full20_2025_2026_v1\d65win,d65win,primary_static,1,720,1655.0,0.0,in_memory_static_union,4,0,5,4,18,False,primary,d65win,1,0,-999999.0,score_desc,d80,18,1,0,SELECTED_BACKFILL,"202407,202408,202409,202410,202411,202412",19.33575601965465
SPY,20250110,202501,11:05,665,front_weekly,PUT,0.680308610060585,0.3059978618302431,0.680308610060585,0.1437733604969953,-0.3,-0.3,thr0.411_maxday8,202501,research_papers\JEPA\results\event_option_variant_streams_full20_2025_2026_v1\d65win,d65win,primary_static,1,665,1660.0,0.0,in_memory_static_union,5,0,7,5,18,False,primary,d65win,1,0,-999999.0,score_desc,d80,18,1,0,SELECTED_BACKFILL,"202407,202408,202409,202410,202411,202412",19.33575601965465
SPY,20250113,202501,13:05,785,front_weekly,PUT,0.5662866801632723,0.2732396809046373,0.5662866801632723,0.2125163100687366,-0.1855880685813067,-0.1855880685813067,thr0.411_maxday8,202501,research_papers\JEPA\results\event_option_variant_streams_full20_2025_2026_v1\d65win,d65win,primary_static,1,785,1668.0,0.0,in_memory_static_union,6,0,8,6,18,False,primary,d65win,1,0,-999999.0,score_desc,d80,18,1,0,SELECTED_BACKFILL,"202407,202408,202409,202410,202411,202412",19.33575601965465
SPY,20250114,202501,10:30,630,zero_dte,PUT,0.5459921052999138,0.1522869543482694,0.5459921052999138,-0.3,0.5,0.5,thr0.411_maxday8,202501,research_papers\JEPA\results\event_option_variant_streams_full20_2025_2026_v1\d65win,d65win,primary_static,1,630,1672.0,0.0,in_memory_static_union,7,0,8,7,18,False,primary,d65win,1,0,-999999.0,score_desc,d80,18,1,0,SELECTED_BACKFILL,"202407,202408,202409,202410,202411,202412",19.33575601965465
SPY,20250115,202501,14:50,890,front_weekly,PUT,0.7585141263455186,0.160373869487304,0.7585141263455186,-0.0704225189955334,0.043478335985692,0.043478335985692,thr0.411_maxday8,202501,research_papers\JEPA\results\event_option_variant_streams_full20_2025_2026_v1\d65win,d65win,primary_static,1,890,1686.0,0.0,in_memory_static_union,8,0,9,8,18,False,primary,d65win,1,0,-999999.0,score_desc,d80,18,1,0,SELECTED_BACKFILL,"202407,202408,202409,202410,202411,202412",19.33575601965465
SPY,20250116,202501,13:35,815,front_weekly,PUT,0.5475317084990347,0.2442126511825798,0.5475317084990347,-0.1408839797199306,0.0440457136714156,0.0440457136714156,thr0.411_maxday8,202501,research_papers\JEPA\results\event_option_variant_streams_full20_2025_2026_v1\d65win,d65win,primary_static,1,815,1693.0,0.0,in_memory_static_union,9,0,10,9,18,False,primary,d65win,1,0,-999999.0,score_desc,d80,18,1,0,SELECTED_BACKFILL,"202407,202408,202409,202410,202411,202412",19.33575601965465
