ticker,month,test_month,mode,selected_source,source_path,source_fold_path,source_priority,union_sources,select_months,max_trades_per_day,min_score,daily_order,contrib_trades,contrib_win_rate,contrib_profit_factor,contrib_pnl_return,contrib_call_rate,source_stream,source_file
QQQ,202601,202601,STATIC_UNION_SELECTED_PRETEST,d80,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv,0,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,40,0.4,0.8940491672695677,-0.5297504807633813,0.475,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202601,202601,STATIC_UNION_SELECTED_PRETEST,win80,research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\fold_configs.csv,1,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,87,0.4367816091954023,1.484948467878844,3.961704208102889,0.8275862068965517,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202601,202601,STATIC_UNION_SELECTED_PRETEST,ptdj80,research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\fold_configs.csv,2,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,14,0.35714285714285715,0.7678560312750402,-0.6267887155573915,0.07142857142857142,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202602,202602,STATIC_UNION_SELECTED_PRETEST,d80,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv,0,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,37,0.6216216216216216,2.6952620642356706,4.589767088009596,0.7027027027027027,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202602,202602,STATIC_UNION_SELECTED_PRETEST,win80,research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\fold_configs.csv,1,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,23,0.4782608695652174,1.231563617754098,0.5800226121223182,0.5217391304347826,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202602,202602,STATIC_UNION_SELECTED_PRETEST,ptdj80,research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\fold_configs.csv,2,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,12,0.5,1.7127846255890038,1.2484662956567936,0.5833333333333334,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202603,202603,STATIC_UNION_SELECTED_PRETEST,d80,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv,0,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,34,0.3235294117647059,0.7649425967248824,-1.5404992531338566,0.38235294117647056,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202603,202603,STATIC_UNION_SELECTED_PRETEST,win80,research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\fold_configs.csv,1,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,38,0.2894736842105263,0.6464462634090972,-1.9797807600797144,0.7105263157894737,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202603,202603,STATIC_UNION_SELECTED_PRETEST,ptdj80,research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\fold_configs.csv,2,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,40,0.675,3.6374133655442775,9.788571398598808,0.325,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202604,202604,STATIC_UNION_SELECTED_PRETEST,d80,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv,0,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,64,0.546875,1.3287063495636957,1.8811869058722954,0.78125,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202604,202604,STATIC_UNION_SELECTED_PRETEST,win80,research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\fold_configs.csv,1,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,37,0.4864864864864865,1.3764247776307843,1.578305227732652,0.6216216216216216,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202604,202604,STATIC_UNION_SELECTED_PRETEST,ptdj80,research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\fold_configs.csv,2,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,11,0.2727272727272727,0.5301369876987756,-1.0937767565932426,0.5454545454545454,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202605,202605,STATIC_UNION_SELECTED_PRETEST,d80,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_variant_streams_full20_2022_2026_v1\d80\fold_configs.csv,0,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,89,0.550561797752809,1.516083904219696,4.109859243664731,0.5280898876404494,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202605,202605,STATIC_UNION_SELECTED_PRETEST,win80,research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\fold_configs.csv,1,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,29,0.4827586206896552,2.189118806439016,2.4531972569674454,0.6551724137931034,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
QQQ,202605,202605,STATIC_UNION_SELECTED_PRETEST,ptdj80,research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\event_option_gate_trades.csv,research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\fold_configs.csv,2,"d80,win80,ptdj80","202510,202511,202512",8,-999999.0,,20,0.35,0.846172884935699,-0.5771690718227782,0.35,QQQ,research_papers\JEPA\results\event_static_union_qqq_d80_win80_ptdj80_octdec_select_2026janmay_v1\static_union_folds.csv
