scope,cost_bps,trades,win_rate,profit_factor,net_bps
QQQ,1.0,247,0.5182186234817814,1.204351428046685,1060.2786550505286
QQQ,2.0,247,0.5020242914979757,1.15318067871105,813.2786550505286
QQQ,3.0,247,0.4898785425101215,1.1042208900806798,566.2786550505285
SPXW,1.0,244,0.5204918032786885,1.2479453537482896,1030.0905800044536
SPXW,2.0,244,0.5081967213114754,1.1839569460701749,786.0905800044535
SPXW,3.0,244,0.5040983606557377,1.1233713966619234,542.0905800044536
SPY,1.0,244,0.5327868852459017,1.3463415562391026,1381.5559788757496
SPY,2.0,244,0.5286885245901639,1.2772103287126475,1137.5559788757496
SPY,3.0,244,0.5163934426229508,1.211695220168494,893.5559788757497
POOLED,1.0,735,0.5238095238095238,1.2604202125395978,3471.925213930732
POOLED,2.0,735,0.5129251700680272,1.1999785675774108,2736.925213930732
POOLED,3.0,735,0.5034013605442177,1.1425022660091106,2001.9252139307318
