ticker,trade_date,month,sensor_ticker,signal_pressure,base_side,underlying_return_bps,base_gross_bps,direct_win,direct_probability,orientation,side,gross_bps,net_bps_1bp,net_bps_2bp,net_bps_3bp,net_bps
QQQ,20250102,202501,QQQ,0.0009999999999999454,1,-111.9458644544039,-111.9458644544039,0,0.6073378336226719,1,1,-111.9458644544039,-112.9458644544039,-113.9458644544039,-114.9458644544039,-112.9458644544039
QQQ,20250103,202501,QQQ,-0.00030000000000002247,-1,65.60446183511958,-65.60446183511958,0,0.5093760559318016,1,-1,-65.60446183511958,-66.60446183511958,-67.60446183511958,-68.60446183511958,-66.60446183511958
QQQ,20250106,202501,QQQ,0.009699999999999959,1,-36.69449802930041,-36.69449802930041,0,0.5536614222880198,1,1,-36.69449802930041,-37.69449802930041,-38.69449802930041,-39.69449802930041,-37.69449802930041
QQQ,20250107,202501,QQQ,0.014450000000000074,1,-8.102633799139067,-8.102633799139067,0,0.6638053827659947,1,1,-8.102633799139067,-9.102633799139067,-10.102633799139067,-11.102633799139067,-9.102633799139067
QQQ,20250108,202501,QQQ,-0.0018000000000000238,-1,14.371446026789654,-14.371446026789654,0,0.5100689431838243,1,-1,-14.371446026789654,-15.371446026789654,-16.371446026789656,-17.371446026789656,-15.371446026789654
QQQ,20250110,202501,QQQ,-0.0071500000000000175,-1,43.44029868271192,-43.44029868271192,0,0.5546334861763474,1,-1,-43.44029868271192,-44.44029868271192,-45.44029868271192,-46.44029868271192,-44.44029868271192
QQQ,20250113,202501,QQQ,-0.00605,-1,62.63628913349854,-62.63628913349854,0,0.45356404462176825,-1,1,62.63628913349854,61.63628913349854,60.63628913349854,59.63628913349854,61.63628913349854
QQQ,20250114,202501,QQQ,-0.00014999999999998348,-1,-30.62123949039017,30.62123949039017,1,0.571856619027246,1,-1,30.62123949039017,29.62123949039017,28.62123949039017,27.62123949039017,29.62123949039017
QQQ,20250115,202501,QQQ,0.0014500000000000068,1,2.520430037481354,2.520430037481354,1,0.5108023627836621,1,1,2.520430037481354,1.5204300374813542,0.5204300374813542,-0.4795699625186458,1.5204300374813542
QQQ,20250116,202501,QQQ,-0.0028000000000000247,-1,-19.008831249942823,19.008831249942823,1,0.5466424208934679,1,-1,19.008831249942823,18.008831249942823,17.008831249942823,16.008831249942823,18.008831249942823
QQQ,20250117,202501,QQQ,-0.006900000000000017,-1,39.28826311463995,-39.28826311463995,0,0.4315418368396519,-1,1,39.28826311463995,38.28826311463995,37.28826311463995,36.28826311463995,38.28826311463995
QQQ,20250121,202501,QQQ,0.0012000000000000344,1,65.84433052749881,65.84433052749881,1,0.5408935473650619,1,1,65.84433052749881,64.84433052749881,63.84433052749881,62.84433052749881,64.84433052749881
QQQ,20250122,202501,QQQ,-0.00495000000000001,-1,0.9394346489184414,-0.9394346489184414,0,0.45383661211411436,-1,1,0.9394346489184414,-0.06056535108155858,-1.0605653510815585,-2.0605653510815585,-0.06056535108155858
QQQ,20250123,202501,QQQ,-0.0046499999999999875,-1,26.39419352140167,-26.39419352140167,0,0.45963257218190184,-1,1,26.39419352140167,25.39419352140167,24.39419352140167,23.39419352140167,25.39419352140167
QQQ,20250124,202501,QQQ,-0.0044500000000000095,-1,-37.47191640456409,37.47191640456409,1,0.4464190326036791,-1,1,-37.47191640456409,-38.47191640456409,-39.47191640456409,-40.47191640456409,-38.47191640456409
QQQ,20250127,202501,QQQ,-0.009049999999999891,-1,-89.88693685601694,89.88693685601694,1,0.4674593844622627,-1,1,-89.88693685601694,-90.88693685601694,-91.88693685601694,-92.88693685601694,-90.88693685601694
QQQ,20250128,202501,QQQ,0.014100000000000001,1,60.03135031224397,60.03135031224397,1,0.568462401979342,1,1,60.03135031224397,59.03135031224397,58.03135031224397,57.03135031224397,59.03135031224397
QQQ,20250129,202501,QQQ,-0.0048000000000000265,-1,-14.61089155649855,14.61089155649855,1,0.4879299853950855,-1,1,-14.61089155649855,-15.61089155649855,-16.61089155649855,-17.61089155649855,-15.61089155649855
QQQ,20250130,202501,QQQ,0.0023999999999999577,1,2.6829689128175773,2.6829689128175773,1,0.5622050539035486,1,1,2.6829689128175773,1.6829689128175773,0.6829689128175773,-0.3170310871824227,1.6829689128175773
QQQ,20250131,202501,QQQ,-0.004799999999999999,-1,-69.394169165052,69.394169165052,1,0.37487231092546336,-1,1,-69.394169165052,-70.394169165052,-71.394169165052,-72.394169165052,-70.394169165052
QQQ,20250203,202502,QQQ,-0.003549999999999942,-1,26.04947010384265,-26.04947010384265,0,0.5345850551232663,1,-1,-26.04947010384265,-27.04947010384265,-28.04947010384265,-29.04947010384265,-27.04947010384265
QQQ,20250204,202502,QQQ,-0.000250000000000028,-1,-3.817813966123601,3.817813966123601,1,0.4460854700436196,-1,1,-3.817813966123601,-4.817813966123601,-5.817813966123601,-6.817813966123601,-4.817813966123601
QQQ,20250205,202502,QQQ,0.0032999999999999696,1,55.927383105723926,55.927383105723926,1,0.6004143046723641,1,1,55.927383105723926,54.927383105723926,53.927383105723926,52.927383105723926,54.927383105723926
QQQ,20250206,202502,QQQ,0.0004999999999999449,1,13.061380873500212,13.061380873500212,1,0.4588512089163827,-1,-1,-13.061380873500212,-14.061380873500212,-15.061380873500212,-16.061380873500212,-14.061380873500212
