ticker,month,trades,win_rate,profit_factor,net_bps,frequency_pass,pnl_positive
QQQ,202501,20,0.45,0.5981611981623511,-201.55578586076282,True,False
QQQ,202502,19,0.5789473684210527,1.099036229114094,28.53578749428057,True,True
QQQ,202503,21,0.5714285714285714,0.803513766275218,-151.37330948158396,True,False
QQQ,202504,21,0.5714285714285714,1.5814020984563306,638.6988453509057,True,True
QQQ,202505,21,0.6190476190476191,4.853673994852535,536.0335252052706,True,True
QQQ,202506,20,0.55,1.1175298616456546,28.815408170452496,True,True
QQQ,202507,21,0.5714285714285714,1.768687159541583,116.00290521210636,True,True
QQQ,202508,21,0.3333333333333333,0.9261001984187897,-24.897003802841663,True,False
QQQ,202509,21,0.47619047619047616,0.9443800884008108,-13.6897820063445,True,False
QQQ,202510,23,0.5652173913043478,1.045523957042782,23.55309603168577,True,True
QQQ,202511,18,0.5555555555555556,1.5915305741923211,324.09643385650594,True,True
QQQ,202512,21,0.38095238095238093,0.295676549766067,-243.94146511914556,True,False
SPXW,202501,20,0.6,1.8676137024001351,183.5838968730006,True,True
SPXW,202502,17,0.35294117647058826,0.6499661071548648,-86.92655072026773,True,False
SPXW,202503,21,0.47619047619047616,1.0221804243905446,12.53550127231744,True,True
SPXW,202504,20,0.5,0.9159118465960454,-108.96349572411627,True,False
SPXW,202505,21,0.6190476190476191,2.8498933905194925,329.12201354359394,True,True
SPXW,202506,20,0.8,3.4588991902676907,230.70735912229568,True,True
SPXW,202507,21,0.6190476190476191,3.095754238885336,197.65067791643907,True,True
SPXW,202508,21,0.42857142857142855,1.1033842617963405,23.122771006199503,True,True
SPXW,202509,21,0.5238095238095238,0.8393608167019398,-34.1715264932224,True,False
SPXW,202510,23,0.6086956521739131,1.7232599895944283,218.5771097624608,True,True
SPXW,202511,18,0.3888888888888889,1.4375546084882378,201.31564560190662,True,True
SPXW,202512,21,0.2857142857142857,0.49242692826224504,-136.46282215615375,True,False
SPY,202501,20,0.6,1.873115328536029,185.87904083673283,True,True
SPY,202502,17,0.4117647058823529,0.8355444256853013,-37.043660411567984,True,False
SPY,202503,21,0.5238095238095238,1.4964355431425256,225.05049442030102,True,True
SPY,202504,20,0.5,0.9162603396997308,-109.2617658000223,True,False
SPY,202505,21,0.5714285714285714,1.8034273129493208,195.94863175925747,True,True
SPY,202506,20,0.75,2.23911565503038,163.13145769142116,True,True
SPY,202507,21,0.6666666666666666,3.08175319295409,198.24315380248274,True,True
SPY,202508,21,0.47619047619047616,1.5352031389953644,99.29130550727666,True,True
SPY,202509,21,0.47619047619047616,0.8001390417434848,-43.712643083223654,True,False
SPY,202510,23,0.6086956521739131,1.6911882844265471,211.48209113336148,True,True
SPY,202511,18,0.5,2.2297071822553933,424.87431900079656,True,True
SPY,202512,21,0.2857142857142857,0.503017594783546,-132.32644598106612,True,False
