epoch,train_total,train_latent_prediction,train_raw_prediction,train_alignment,train_visreg_full,train_visreg_blocks,validation_total,validation_latent_prediction,validation_raw_prediction,validation_alignment,validation_visreg_full,validation_visreg_blocks
1,0.44756060771371836,0.03754455500662921,0.3391216547188173,0.046510784120060676,0.7118153668321249,0.8646445344056798,0.4453970981754272,0.036514444103245794,0.3687285001823294,0.05862600980741292,0.6609363660638632,0.7767461843818788
2,0.38446333279641365,0.03777230551769567,0.31744091403840785,0.06234133382671299,0.5353688803622096,0.6531146335839433,0.4012564958831077,0.03961206436277884,0.33655650841321055,0.05095832553590358,0.564282943410912,0.6776998808509425
3,0.33924697952413085,0.04470536041497392,0.2831892088006105,0.07422446705079158,0.415129756333424,0.5136494401879484,0.36542259442661457,0.04945772883863102,0.3051763120571129,0.06125593047272339,0.4556686007300852,0.5692901251287112
4,0.3083025492901026,0.05779896425052339,0.2597154256513348,0.08531010892502097,0.3046608099509711,0.3838618564249273,0.34064392001040067,0.06253541994251703,0.28978132291844017,0.0591689995486244,0.363811889061561,0.45663211145381694
5,0.29273071696987973,0.07262632323063885,0.2502717488033827,0.09628788406072661,0.21708909189978312,0.2747872855774192,0.33164829189478146,0.07711359499557781,0.2825961325332703,0.06288220734610732,0.3030254456678383,0.36910992431254525
6,0.2887551918774348,0.09029370050790698,0.24465817358604697,0.1079544037184446,0.149442315814503,0.19255334011146,0.3287559712946656,0.09418771697683373,0.2766884173458887,0.06646944117932184,0.24531592154792445,0.3054349596201167
7,0.29652837813890653,0.11121303144582483,0.24226697424915541,0.11033804397349342,0.11187881422399286,0.14221581274092793,0.33774028683480944,0.11287696303023018,0.2743741211500245,0.05884016170977098,0.22748623267117782,0.2746898387607775
8,0.3101564075265612,0.13296584221611785,0.23979504413382952,0.10559342331268462,0.09165615464167738,0.125634542528379,0.34730794038849805,0.13184154074081042,0.27055184835123147,0.051840301539733825,0.20969240453079163,0.25291915569710827
9,0.326934974534171,0.15501243953292948,0.23768748943987875,0.09663535630782182,0.08910765054812067,0.11098422606621074,0.35918991259235117,0.1512332476223046,0.26893201664633115,0.04052236266283371,0.19901081912430674,0.23557887890560908
10,0.344835122498959,0.17843209474387756,0.23568047854393423,0.09112394459520859,0.07986874211567185,0.09808053357953644,0.3765127185626551,0.17140445658552503,0.26758363500297794,0.03366198235376161,0.19832867135403126,0.23235208766180493
11,0.3625010718538912,0.19991317157729518,0.23380275312254198,0.08660243162978132,0.07358418138716308,0.09319081709927499,0.3896866190530028,0.18977193891519478,0.26621018819480774,0.027553132215612813,0.18703893292770696,0.2251351195308361
