ticker,month,val_months,fit_rows,val_rows,test_rows,train_windows,val_windows,best_epoch,best_score,context_valid_rate,val_total,val_acc,val_trade_precision,val_rank_ratio,val_vis,val_straight
SPX,202601,"202510,202511,202512",62726,5056,1580,30172,2432,1,0.49027853459119797,0.9367088675498962,0.4845516085624695,0.37047696113586426,0.32899728417396545,0.47709229588508606,0.47544315457344055,2.079911708831787
SPX,202602,"202511,202512,202601",64543,4819,1501,31046,2318,1,0.47185006737709045,0.9367088675498962,0.46848466992378235,0.34943917393684387,0.3286004066467285,0.4865384101867676,0.47249457240104675,2.1588988304138184
SPX,202603,"202512,202601,202602",66044,4819,1738,31768,2318,1,0.46503472328186035,0.9367088675498962,0.46503472328186035,0.417169988155365,0.44875943660736084,0.532524824142456,0.48476091027259827,2.1434364318847656
SPX,202604,"202601,202602,202603",67782,4819,1659,32604,2318,1,0.4674297869205475,0.9367088675498962,0.4674297869205475,0.3658326268196106,0.37854406237602234,0.5165593028068542,0.48523515462875366,2.166569948196411
SPX,202605,"202602,202603,202604",69362,4898,1580,33364,2356,1,0.46760016679763794,0.9367088675498962,0.46760016679763794,0.3769100308418274,0.3686006963253021,0.5970780253410339,0.49039795994758606,2.1671957969665527
SPX,202606,"202603,202604,202605",70863,4977,1659,34086,2394,1,0.46241025626659393,0.9367088675498962,0.45903676748275757,0.43483710289001465,0.4552294909954071,0.48650604486465454,0.48252809047698975,2.184082269668579
SPY,202601,"202510,202511,202512",60356,5056,1580,29032,2432,1,0.4766043573617935,0.9367088675498962,0.4722418785095215,0.3643092215061188,0.3499728739261627,0.48255008459091187,0.48671597242355347,2.0453524589538574
SPY,202602,"202511,202512,202601",62173,4819,1501,29906,2318,1,0.4763226732611656,0.9367088675498962,0.45888030529022217,0.3999137282371521,0.3760162591934204,0.4302305281162262,0.5158334374427795,2.0385546684265137
SPY,202603,"202512,202601,202602",63674,4819,1738,30628,2318,1,0.49134425818920135,0.9367088675498962,0.4769544005393982,0.41285592317581177,0.3904958665370941,0.44244056940078735,0.4845031499862671,2.051682233810425
SPY,202604,"202601,202602,202603",65412,4819,1343,31464,2318,1,0.5013922527432442,0.9367088675498962,0.49572551250457764,0.37489214539527893,0.35630688071250916,0.47733303904533386,0.5403620004653931,2.0791280269622803
SPY,202605,"202602,202603,202604",66992,4582,1422,32224,2204,1,0.49587076902389526,0.9367088675498962,0.49587076902389526,0.36479127407073975,0.3380281627178192,0.5042473673820496,0.49585288763046265,2.0517826080322266
SPY,202606,"202603,202604,202605",68493,4503,1501,32946,2166,1,0.47654762864112854,0.9367088675498962,0.4718295633792877,0.3790397047996521,0.37469586730003357,0.4811277389526367,0.4686368703842163,2.1005947589874268
QQQ,202601,"202510,202511,202512",60356,5056,1580,29032,2432,1,0.4862748235464096,0.9367088675498962,0.47998255491256714,0.3252467215061188,0.2848970293998718,0.4748309254646301,0.49230271577835083,2.027292490005493
QQQ,202602,"202511,202512,202601",62173,4819,1501,29906,2318,1,0.5268636047840118,0.9367088675498962,0.5070133209228516,0.35720449686050415,0.35072872042655945,0.4205988645553589,0.5090411305427551,2.0503640174865723
QQQ,202603,"202512,202601,202602",63674,4819,1738,30628,2318,1,0.46917156875133514,0.9367088675498962,0.46372610330581665,0.39646247029304504,0.3411571979522705,0.478218138217926,0.46506044268608093,2.0753438472747803
QQQ,202604,"202601,202602,202603",65412,4819,1343,31464,2318,1,0.4837552160024643,0.9367088675498962,0.4767565131187439,0.3222605586051941,0.278554767370224,0.4720051884651184,0.4930132329463959,2.110983371734619
QQQ,202605,"202602,202603,202604",66992,4582,1422,32224,2204,1,0.45548635721206665,0.9367088675498962,0.45548635721206665,0.4038112461566925,0.26961156725883484,0.5092718005180359,0.5423372387886047,2.129608631134033
QQQ,202606,"202603,202604,202605",68493,4503,1501,32946,2166,1,0.44955480098724365,0.9367088675498962,0.44955480098724365,0.3734995424747467,0.3109363913536072,0.5284097790718079,0.48061463236808777,2.087948799133301
