ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,exit_minutes,exit_status,deploy_config,test_month
SPY,20260102,202601,10:10,610,zero_dte,PUT,0.25785568667092246,-0.46017020471853837,0.25785568667092246,-0.6,3.555194986150048,3.555194986150048,30,1,thr0.224_maxday2,202601
SPY,20260102,202601,11:10,670,zero_dte,PUT,0.25147407186170234,-0.12439703166694764,0.25147407186170234,-0.6,0.5753968013687498,0.5753968013687498,30,1,thr0.224_maxday2,202601
SPY,20260105,202601,10:10,610,zero_dte,PUT,0.30197311518750286,-0.013572919827436077,0.30197311518750286,0.9318181818181817,-0.6,-0.6,37,-1,thr0.224_maxday2,202601
SPY,20260105,202601,10:50,650,zero_dte,PUT,0.48671856715714357,-0.2978404702940582,0.48671856715714357,0.8475610287965307,-0.6,-0.6,57,-1,thr0.224_maxday2,202601
SPY,20260107,202601,10:30,630,zero_dte,PUT,0.27183188434883204,-0.008778986889148072,0.27183188434883204,0.7031250436557466,-0.6,-0.6,30,-1,thr0.224_maxday2,202601
SPY,20260107,202601,12:30,750,zero_dte,CALL,0.24517121868181554,0.24517121868181554,-0.3733920000228065,-0.6,0.75,-0.6,30,-1,thr0.224_maxday2,202601
SPY,20260108,202601,10:00,600,zero_dte,PUT,0.2860240105104164,-0.06929481866767151,0.2860240105104164,0.837499915249647,-0.6,-0.6,30,-1,thr0.224_maxday2,202601
SPY,20260108,202601,11:00,660,zero_dte,PUT,0.43038546203516753,-0.374945468140566,0.43038546203516753,-0.6,0.7182539982890628,0.7182539982890628,30,1,thr0.224_maxday2,202601
SPY,20260109,202601,10:05,605,zero_dte,PUT,0.3479781384320958,-0.22075309980265545,0.3479781384320958,1.873076993614967,-0.6,-0.6,30,-1,thr0.224_maxday2,202601
SPY,20260109,202601,11:00,660,zero_dte,PUT,0.30229870072889775,-0.4627321093302066,0.30229870072889775,1.186363644245242,-0.6,-0.6,43,-1,thr0.224_maxday2,202601
SPY,20260112,202601,10:35,635,zero_dte,PUT,0.4401067549766196,-0.42373079887983933,0.4401067549766196,0.75,-0.6,-0.6,39,-1,thr0.224_maxday2,202601
SPY,20260112,202601,12:10,730,zero_dte,CALL,0.2364879826099879,0.2364879826099879,-0.44135887593544054,0.2642856583303326,0.25,0.2642856583303326,76,1,thr0.224_maxday2,202601
SPY,20260113,202601,12:05,725,zero_dte,PUT,0.2847005789463443,0.014303594751203888,0.2847005789463443,-0.6,1.7822580335043474,1.7822580335043474,30,1,thr0.224_maxday2,202601
SPY,20260113,202601,13:55,835,zero_dte,PUT,0.2800264367072322,-0.3769098212577082,0.2800264367072322,-0.6,-0.6,-0.6,46,-1,thr0.224_maxday2,202601
SPY,20260114,202601,10:00,600,zero_dte,PUT,0.4398777786243702,-0.30320663995200403,0.4398777786243702,0.4807693248199558,-0.6,-0.6,40,-1,thr0.224_maxday2,202601
SPY,20260114,202601,10:30,630,zero_dte,PUT,0.2792910345032746,-0.5247090849703907,0.2792910345032746,-0.6,0.5053191280246265,0.5053191280246265,30,1,thr0.224_maxday2,202601
SPY,20260115,202601,10:00,600,zero_dte,PUT,0.2506942185654213,-0.06943692000050755,0.2506942185654213,0.2754237562101223,-0.6,-0.6,77,-1,thr0.224_maxday2,202601
SPY,20260115,202601,10:30,630,zero_dte,PUT,0.33653530577257734,-0.21144899490425303,0.33653530577257734,0.2909835665112581,0.75,0.75,30,1,thr0.224_maxday2,202601
SPY,20260116,202601,10:00,600,zero_dte,PUT,0.2830549767129705,-0.29076257310946857,0.2830549767129705,-0.6,0.38999998569488525,0.38999998569488525,41,1,thr0.224_maxday2,202601
SPY,20260116,202601,10:30,630,zero_dte,PUT,0.3897150569199674,-0.5768205996313984,0.3897150569199674,0.3136363557547579,0.7833333002196432,0.7833333002196432,30,1,thr0.224_maxday2,202601
SPY,20260120,202601,10:00,600,zero_dte,PUT,0.2794227788803496,-0.10979957951374801,0.2794227788803496,0.3586957062575238,-0.6,-0.6,30,-1,thr0.224_maxday2,202601
SPY,20260120,202601,10:30,630,zero_dte,PUT,0.3322519705982717,-0.12321984538997176,0.3322519705982717,-0.6,0.4523809430888448,0.4523809430888448,120,1,thr0.224_maxday2,202601
SPY,20260121,202601,10:05,605,zero_dte,PUT,0.23404109896956637,-0.31349297963234696,0.23404109896956637,0.6527777087909232,-0.6,-0.6,30,-1,thr0.224_maxday2,202601
SPY,20260121,202601,10:35,635,zero_dte,PUT,0.2343196170436529,0.0009472261686572147,0.2343196170436529,-0.6,0.2685184449325402,0.2685184449325402,61,1,thr0.224_maxday2,202601
SPY,20260122,202601,10:00,600,zero_dte,PUT,0.31760164244233946,-0.3521689091031174,0.31760164244233946,0.3653846002693213,-0.6,-0.6,36,-1,thr0.224_maxday2,202601
SPY,20260122,202601,10:45,645,zero_dte,PUT,0.28123772233880734,0.04989137918601876,0.28123772233880734,0.3095237900948573,-0.6,-0.6,67,-1,thr0.224_maxday2,202601
SPY,20260123,202601,10:05,605,zero_dte,PUT,0.3188326779472528,-0.5605049993105943,0.3188326779472528,0.42500001676380617,-0.6,-0.6,50,-1,thr0.224_maxday2,202601
SPY,20260123,202601,12:45,765,zero_dte,PUT,0.27356203596681494,-0.16628208688410911,0.27356203596681494,0.2976190391716771,0.8443397626880302,0.8443397626880302,30,1,thr0.224_maxday2,202601
SPY,20260126,202601,10:20,620,zero_dte,PUT,0.24912340807671116,0.011709878684073997,0.24912340807671116,-0.6,0.32692312100935417,0.32692312100935417,30,1,thr0.224_maxday2,202601
SPY,20260127,202601,10:05,605,zero_dte,PUT,0.33613654294575634,-0.1608393642959801,0.33613654294575634,0.44999990065892925,-0.6,-0.6,37,-1,thr0.224_maxday2,202601
SPY,20260127,202601,12:55,775,zero_dte,CALL,0.23837116337657033,0.23837116337657033,-0.4429041975574675,0.36764707686991827,0.5192308280124724,0.36764707686991827,39,1,thr0.224_maxday2,202601
SPY,20260128,202601,10:15,615,zero_dte,PUT,0.4074862086099707,-0.312434391240471,0.4074862086099707,-0.4615384394953229,0.45652176518634,0.45652176518634,96,1,thr0.224_maxday2,202601
SPY,20260128,202601,10:45,645,zero_dte,PUT,0.26764472801319134,-0.2534303117813704,0.26764472801319134,-0.3524590139906755,0.30445551215498057,0.30445551215498057,66,1,thr0.224_maxday2,202601
SPY,20260129,202601,10:15,615,zero_dte,PUT,0.3903625650373888,-0.4163893643226306,0.3903625650373888,-0.6,1.165094416011653,1.165094416011653,30,1,thr0.224_maxday2,202601
SPY,20260129,202601,10:45,645,zero_dte,PUT,0.5096713580692355,-0.3642833653430238,0.5096713580692355,0.6144069029455506,0.4166665562876992,0.4166665562876992,30,1,thr0.224_maxday2,202601
SPY,20260130,202601,10:00,600,zero_dte,PUT,0.32600640448052937,-0.44753225142237274,0.32600640448052937,0.479323216617882,-0.6,-0.6,46,-1,thr0.224_maxday2,202601
