feature,importance
ib_range_bps,14002.517836928368
oi_diff,7349.14504301548
iv_diff,4306.02158844471
dist_ib_high_bps,4133.582226514816
dist_ib_low_bps,3630.443871617317
minute,2974.9533183574677
nearest_level_abs_bps,2242.596982359886
ret_30m_bps,1862.5610558986664
ret_15m_bps,1750.1826791763306
iv_diff_chg_25m,1287.5431298017502
ret_5m_bps,1240.3767657279968
volume_diff,1144.6035004854202
spread_pct_diff,1098.8528106212616
iv_diff_chg_15m,1084.8213996887207
ret_1m_bps,1051.695650935173
spread_pct_diff_chg_15m,1041.134940624237
volume_diff_chg_5m,1026.409869670868
spread_pct_diff_chg_5m,950.7825291156769
volume_diff_chg_15m,947.6084381341934
iv_diff_chg_5m,933.7334306240082
abs_delta_diff,923.7412905693054
volume_diff_chg_25m,874.0387873649597
spread_pct_diff_chg_25m,873.9445912837982
vega_diff_chg_5m,697.3760308027267
abs_delta_diff_chg_25m,685.7508172988892
vega_diff_chg_25m,666.4156787395477
vega_diff,640.8443627357483
abs_delta_diff_chg_15m,616.8944078683853
abs_delta_diff_chg_5m,615.7523500919342
vega_diff_chg_15m,533.2400892972946
