ticker,expiry_mode,time,minute,month,date,call_return,put_return,pred_call_return,pred_put_return,action,score,realized_return,source_variant,source_component,source_priority,component_threshold,component_max_day,component_cooldown,event_delta_bucket,event_delta_target
QQQ,zero_dte,11:00,660,202601,20260102,-0.6,-0.6,0.1789457917731599,-0.3618446653358538,CALL,0.1789457917731599,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,12:10,730,202601,20260102,0.4423077452112252,0.6153847388261919,0.1211290459185864,-0.4119813456406752,CALL,0.1211290459185864,0.4423077452112252,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,12:15,735,202601,20260102,-0.6,0.6833333951455591,-0.0354623302628015,0.1836820914694364,PUT,0.1836820914694364,0.6833333951455591,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,12:40,760,202601,20260102,-0.6,0.5535714038628705,0.1982291172106802,-0.2909044340758733,CALL,0.1982291172106802,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,12:45,765,202601,20260102,-0.6,0.9456521133506692,0.1768742545824073,-0.2446411570846948,CALL,0.1768742545824073,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,12:50,770,202601,20260102,-0.6,-0.6,0.1837585461764896,-0.5005022768214572,CALL,0.1837585461764896,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:05,785,202601,20260102,-0.6,0.5999999962747098,0.1256142610387298,-0.1685370766328704,CALL,0.1256142610387298,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:10,790,202601,20260102,-0.6,0.3244681093907562,0.1868620099882505,-0.2613372278041052,CALL,0.1868620099882505,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:20,800,202601,20260102,0.2916667209938179,1.521428700369234,0.1742986394242038,-0.1341756158036906,CALL,0.1742986394242038,0.2916667209938179,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:25,805,202601,20260102,-0.6,1.521428700369234,0.1267839833901488,-0.2074347676694119,CALL,0.1267839833901488,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:30,810,202601,20260102,0.4078947450975962,1.1750000353902572,0.1925390031171124,-0.0982499991964696,CALL,0.1925390031171124,0.4078947450975962,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:35,815,202601,20260102,0.2928572304394794,1.1158537489541018,0.2876474724425207,-0.1710464622909866,CALL,0.2876474724425207,0.2928572304394794,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:40,820,202601,20260102,0.3382353405226468,1.4444444168497026,0.1637111080697217,-0.0331237853359967,CALL,0.1637111080697217,0.3382353405226468,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:45,825,202601,20260102,1.2499999627470977,2.480769477652384,0.1702569021378413,-0.1153220507756304,CALL,0.1702569021378413,1.2499999627470977,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:50,830,202601,20260102,3.0657894901951925,-0.6,-0.5014956022563395,0.1932422397351147,PUT,0.1932422397351147,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:55,835,202601,20260102,4.33823516521487,-0.6,0.0452608705038926,0.1811519992510268,PUT,0.1811519992510268,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,10:05,605,202601,20260105,0.2602040717026832,-0.6,-0.173422557065092,0.2582360553022435,PUT,0.2582360553022435,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,10:10,610,202601,20260105,0.4318182126057051,-0.6,-0.21437003911153,0.3235338856760673,PUT,0.3235338856760673,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,10:15,615,202601,20260105,0.3586956437233493,-0.6,-0.134842366497734,0.1755047444760452,PUT,0.1755047444760452,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,10:45,645,202601,20260105,0.6928571963796819,-0.6,-0.140798322902668,0.14188736569151,PUT,0.14188736569151,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,12:20,740,202601,20260106,2.374999976716935,-0.6,0.275337218971973,-0.6179510120607961,CALL,0.275337218971973,2.374999976716935,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,12:35,755,202601,20260106,0.75,-0.6,0.2166313851733681,-0.5319977877349326,CALL,0.2166313851733681,0.75,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,12:45,765,202601,20260106,-0.6,-0.6,0.1494934245179171,-0.41311073853692,CALL,0.1494934245179171,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,12:50,770,202601,20260106,0.6499999478459366,-0.6,0.1002435639771655,-0.5086936614670825,CALL,0.1002435639771655,0.6499999478459366,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:15,795,202601,20260106,0.3653846242018708,-0.6,0.1503218867370655,-0.5328630854631735,CALL,0.1503218867370655,0.3653846242018708,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:25,805,202601,20260106,1.619565279362106,-0.6,0.2269447333421519,-0.4923711398857986,CALL,0.2269447333421519,1.619565279362106,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:30,810,202601,20260106,2.4166666666666665,-0.6,0.1306812065429955,-0.474275318386428,CALL,0.1306812065429955,2.4166666666666665,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,13:40,820,202601,20260106,3.1874999650754026,-0.6,0.1485271870598647,-0.5229810116012357,CALL,0.1485271870598647,3.1874999650754026,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,14:00,840,202601,20260106,-0.6,-0.6,0.1312999880064343,-0.5636284678043647,CALL,0.1312999880064343,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,14:05,845,202601,20260106,0.3055555003660719,-0.6,0.1508784326020485,-0.4996318363813223,CALL,0.1508784326020485,0.3055555003660719,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,10:00,600,202601,20260107,0.6388888336994052,-0.6,0.2704884368610143,-0.0727317182541584,CALL,0.2704884368610143,0.6388888336994052,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,10:10,610,202601,20260107,0.2745901399067549,0.3928571884729439,0.3225856402275251,-0.40902439389352,CALL,0.3225856402275251,0.2745901399067549,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,10:15,615,202601,20260107,0.8963414705062043,-0.6,0.3200035516853195,-0.3791738092019875,CALL,0.3200035516853195,0.8963414705062043,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
QQQ,zero_dte,10:25,625,202601,20260107,0.912790678332728,0.3181818212605705,0.3714450221571347,-0.4679061510441304,CALL,0.3714450221571347,0.912790678332728,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25
