ticker,expiry_mode,time,minute,month,date,call_return,put_return,pred_call_return,pred_put_return,action,score,realized_return,source_variant,source_component,source_priority,component_threshold,component_max_day,component_cooldown,event_delta_bucket,event_delta_target,test_month,selected_variants,selected_max_day,selected_cooldown,selected_order,selected_threshold_override,policy_profile,policy_ticker
QQQ,zero_dte,10:25,625,202601,20260102,0.8804347854255501,0.4225663660799144,-0.4081929619604031,-0.1431501662108319,PUT,-0.1431501662108319,0.4225663660799144,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,10:55,655,202601,20260102,-0.6,1.9636753234010595,-0.493222288176727,-0.0314003611193557,PUT,-0.0314003611193557,1.9636753234010595,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,10:05,605,202601,20260105,-0.6,-0.6,-0.5515794001205631,0.3517740217664731,PUT,0.3517740217664731,-0.6,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,10:40,640,202601,20260105,-0.6,-0.6,-0.1879853068377397,-0.1597878504704888,PUT,-0.1597878504704888,-0.6,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,10:00,600,202601,20260106,-0.6,0.4813431906365553,-0.5023932456559507,-0.0520853556099988,PUT,-0.0520853556099988,0.4813431906365553,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,10:40,640,202601,20260106,-0.6,1.692028954208861,-0.3952349923726543,-0.1373768179183458,PUT,-0.1373768179183458,1.692028954208861,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,10:00,600,202601,20260107,0.4797296687753822,-0.6,0.152193990620145,-0.0597482702551304,CALL,0.152193990620145,0.4797296687753822,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,10:30,630,202601,20260107,0.6556604622351698,0.5854430484802287,0.0624891024344186,-0.5057772231185959,CALL,0.0624891024344186,0.6556604622351698,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,10:00,600,202601,20260108,1.1104650437477297,-0.6,0.3864099590239393,0.0314887203444941,CALL,0.3864099590239393,1.1104650437477297,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,11:35,695,202601,20260108,0.933333151208037,-0.6,0.3436740536731962,0.1824033417408269,CALL,0.3436740536731962,0.933333151208037,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,10:10,610,202601,20260109,2.132352835476193,-0.6,-0.2487113508893093,-0.130204330894216,PUT,-0.130204330894216,-0.6,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,11:20,680,202601,20260109,0.2628205010641722,-0.6,-0.4130770554319082,0.1276173407103132,PUT,0.1276173407103132,-0.6,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,10:00,600,202601,20260112,0.3768656809363444,-0.6,-0.5220717509028611,-0.0870075465435683,PUT,-0.0870075465435683,-0.6,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
QQQ,zero_dte,11:10,670,202601,20260112,0.4375000046566129,-0.6,0.1173208279902584,-0.4524574224148202,CALL,0.1173208279902584,0.4375000046566129,d35,event_option_mh30trail_clean1000_frozen2025_select2026_d35_return_deploy202607_QQQ_v1,0,-0.2,2,30,35,0.35,202601,d35,2,30,time_priority,,balanced_cap4,QQQ
