ticker,expiry_mode,time,minute,month,date,call_return,put_return,pred_call_return,pred_put_return,action,score,realized_return,source_variant,source_component,source_priority,component_threshold,component_max_day,component_cooldown,event_delta_bucket,event_delta_target,test_month
QQQ,zero_dte,11:00,660,202601,20260102,-0.6,-0.6,0.1789457917731599,-0.3618446653358538,CALL,0.1789457917731599,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25,202601
QQQ,zero_dte,12:10,730,202601,20260102,0.4423077452112252,0.6153847388261919,0.1211290459185864,-0.4119813456406752,CALL,0.1211290459185864,0.4423077452112252,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25,202601
QQQ,zero_dte,12:40,760,202601,20260102,-0.6,0.5535714038628705,0.1982291172106802,-0.2909044340758733,CALL,0.1982291172106802,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25,202601
QQQ,zero_dte,10:05,605,202601,20260105,0.2602040717026832,-0.6,-0.173422557065092,0.2582360553022435,PUT,0.2582360553022435,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25,202601
QQQ,zero_dte,10:45,645,202601,20260105,0.6928571963796819,-0.6,-0.140798322902668,0.14188736569151,PUT,0.14188736569151,-0.6,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25,202601
QQQ,zero_dte,12:20,740,202601,20260106,2.374999976716935,-0.6,0.275337218971973,-0.6179510120607961,CALL,0.275337218971973,2.374999976716935,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25,202601
QQQ,zero_dte,12:50,770,202601,20260106,0.6499999478459366,-0.6,0.1002435639771655,-0.5086936614670825,CALL,0.1002435639771655,0.6499999478459366,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25,202601
QQQ,zero_dte,13:25,805,202601,20260106,1.619565279362106,-0.6,0.2269447333421519,-0.4923711398857986,CALL,0.2269447333421519,1.619565279362106,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25,202601
QQQ,zero_dte,10:00,600,202601,20260107,0.6388888336994052,-0.6,0.2704884368610143,-0.0727317182541584,CALL,0.2704884368610143,0.6388888336994052,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25,202601
QQQ,zero_dte,10:30,630,202601,20260107,0.5961538726056126,0.6556604622351698,0.4629268653652508,-0.5007625051612202,CALL,0.4629268653652508,0.5961538726056126,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25,202601
QQQ,zero_dte,11:00,660,202601,20260107,0.4615384968074834,-0.6,0.1704195344006761,-0.3891229951338626,CALL,0.1704195344006761,0.4615384968074834,d25,event_option_mh30trail_clean1000_frozen2025_select2026_d25_return_deploy202607_QQQ_v1,0,0.1,3,30,25,0.25,202601
