arm,trades,win_rate,profit_factor,pnl,minimum_hold,maximum_hold,max_drawdown,call_rate,put_rate,ticker_month_cells,passing_cells,minimum_monthly_trades,worst_month_pf,worst_month_wr,worst_month_pnl,positive_month_rate,all_ticker_month_gates_pass,concentration_pass,base_economic_pass
K0_LEVEL,1443,0.43104643104643103,0.8099037238839496,-94.14401880047424,30.0,180.0,95.42250946709609,0.41094941094941095,0.589050589050589,36,3,19,0.1533971815383423,0.21739130434782608,-15.737635562383167,0.3055555555555556,False,True,False
K1_ALIGNED,1324,0.42220543806646527,0.8044194011408395,-89.84473407058476,30.0,180.0,94.07504776422827,0.24697885196374622,0.7530211480362538,36,2,19,0.300267493713264,0.1,-13.942642632654202,0.3333333333333333,False,True,False
