block,ticker,month,trades,win_rate,profit_factor,net_bps,frequency_pass,pnl_positive
DEV_A,QQQ,202401,21,0.6666666666666666,1.7318154407014024,158.55106021849588,True,True
DEV_A,QQQ,202402,20,0.4,0.7963402879649041,-57.638760540095525,True,False
DEV_A,QQQ,202403,20,0.35,0.3780140241792063,-316.3815303196732,True,False
DEV_A,QQQ,202404,22,0.4090909090909091,0.47928031322309733,-387.569159215748,True,False
DEV_A,QQQ,202405,22,0.36363636363636365,0.4662606209284965,-161.52006868759293,True,False
DEV_A,QQQ,202406,19,0.47368421052631576,0.9092380984628254,-30.14848130362617,True,False
DEV_A,SPXW,202401,21,0.5238095238095238,1.3645507997731108,59.38207601463253,True,True
DEV_A,SPXW,202402,20,0.45,1.0746987929729535,15.012573463096968,True,True
DEV_A,SPXW,202403,20,0.35,0.5369810060273681,-120.48146336540314,True,False
DEV_A,SPXW,202404,22,0.5454545454545454,0.8170737676396118,-83.94724242960197,True,False
DEV_A,SPXW,202405,22,0.6363636363636364,1.898501396081183,102.67782270713526,True,True
DEV_A,SPXW,202406,19,0.47368421052631576,0.7273543144011394,-80.92577023703603,True,False
DEV_A,SPY,202401,21,0.47619047619047616,0.7424793243780816,-57.38173754936014,True,False
DEV_A,SPY,202402,20,0.4,0.8944678520406393,-23.412505987610345,True,False
DEV_A,SPY,202403,20,0.4,0.5338480450541406,-120.25725871238389,True,False
DEV_A,SPY,202404,22,0.5,0.7753253360662281,-105.2715559931444,True,False
DEV_A,SPY,202405,22,0.5,1.0886218696774956,14.257344596032134,True,True
DEV_A,SPY,202406,19,0.47368421052631576,0.7323345371286182,-79.23371717765019,True,False
DEV_B,QQQ,202407,21,0.19047619047619047,0.29930666767319863,-545.915749855334,True,False
DEV_B,QQQ,202408,22,0.7272727272727273,1.5042046273596799,272.5198928086628,True,True
DEV_B,QQQ,202409,20,0.45,0.7548215752526304,-136.42567204361973,True,False
DEV_B,QQQ,202410,23,0.5217391304347826,0.5740118049022859,-174.41834356719193,True,False
DEV_B,QQQ,202411,19,0.3157894736842105,0.7326383039262234,-102.04293117900951,True,False
DEV_B,QQQ,202412,20,0.45,0.7063547784023932,-119.19161526267597,True,False
DEV_B,SPXW,202407,21,0.5714285714285714,1.1607499867173705,50.62542900362478,True,True
DEV_B,SPXW,202408,22,0.6818181818181818,1.1060204692946671,47.17614070098593,True,True
DEV_B,SPXW,202409,20,0.45,0.8092445265122831,-83.18267446154276,True,False
DEV_B,SPXW,202410,23,0.5652173913043478,0.7446144056762108,-75.9039436311611,True,False
DEV_B,SPXW,202411,19,0.6842105263157895,1.994736993636761,169.15745367821233,True,True
DEV_B,SPXW,202412,18,0.4444444444444444,0.6045595042314552,-124.50751842918774,True,False
DEV_B,SPY,202407,21,0.5714285714285714,1.1835691329888678,56.75102995650245,True,True
DEV_B,SPY,202408,22,0.6818181818181818,2.0713434712624066,327.0845468440107,True,True
DEV_B,SPY,202409,20,0.45,0.9909891377465987,-3.585372461950783,True,False
DEV_B,SPY,202410,23,0.5652173913043478,0.7492382599498811,-74.52240594048538,True,False
DEV_B,SPY,202411,19,0.631578947368421,1.5177335351514878,104.68529675202286,True,True
DEV_B,SPY,202412,18,0.4444444444444444,0.475294003520505,-181.89646092956318,True,False
