date,pnl,cum_pnl
20260102,12500.0,12500.0
20260105,12500.0,25000.0
20260106,14458.049128229075,39458.049128229075
20260107,2581.4797607865958,42039.52888901567
20260108,3623.27195986693,45662.8008488826
20260112,9688.841232458328,55351.64208134093
20260113,5246.195483906341,60597.83756524727
20260114,-6461.682740809043,54136.15482443823
20260115,10643.338549479331,64779.49337391756
20260120,2000.0,66779.49337391756
20260121,8500.0,75279.49337391756
20260122,2500.0,77779.49337391756
20260123,2002.24783373405,79781.7412076516
20260126,1435.9511128330132,81217.69232048462
20260128,8724.49822441497,89942.1905448996
20260129,12000.0,101942.1905448996
20260130,3737.890521900078,105680.08106679967
20260202,291.3532711555217,105971.43433795519
20260204,10000.0,115971.43433795519
20260205,7500.0,123471.43433795519
20260206,11083.569811464069,134555.00414941926
20260209,4800.149098767877,139355.15324818713
20260210,5939.866794536628,145295.02004272374
20260212,10630.252121043874,155925.27216376763
20260213,10990.629870828996,166915.90203459663
20260217,7285.485397095157,174201.38743169178
20260218,1840.40299965326,176041.79043134503
20260219,6259.593230416357,182301.38366176139
20260223,11876.948094116424,194178.33175587782
20260224,6713.859043358019,200892.19079923583
20260225,1854.1419937734245,202746.33279300926
20260226,7586.13341443902,210332.46620744828
20260302,4500.0,214832.46620744828
20260303,13000.0,227832.46620744828
20260304,699.0894528228707,228531.55566027114
20260305,500.0,229031.55566027114
20260306,480.3645685051256,229511.92022877626
20260310,7183.107398680935,236695.0276274572
20260311,-5159.847554800717,231535.18007265648
20260312,-3497.053935938183,228038.1261367183
20260313,-1053.655459740444,226984.47067697786
20260317,-2292.245096632261,224692.2255803456
20260318,1154.4979986711837,225846.72357901678
20260319,4500.0,230346.72357901678
20260320,-2401.968249204667,227944.75532981212
20260323,-3067.9685945298415,224876.78673528228
20260325,6060.948896205399,230937.73563148768
20260326,12000.0,242937.73563148768
20260327,-1757.1857322713008,241180.5498992164
20260330,-15.765246072890932,241164.7846531435
20260331,8134.484225258314,249299.2688784018
20260401,6383.650058919206,255682.91893732102
20260406,-1803.5106426440746,253879.40829467695
20260407,12490.528623167906,266369.93691784487
20260408,4637.338872301841,271007.2757901467
20260410,500.0,271507.2757901467
20260413,-1000.0,270507.2757901467
20260414,7990.987209085226,278498.2629992319
20260415,4493.141157536425,282991.40415676835
20260416,925.4929121300329,283916.89706889837
20260420,-3500.0,280416.89706889837
20260421,-2000.0,278416.89706889837
20260422,3826.301841733407,282243.19891063176
20260423,-5213.425250100127,277029.7736605316
20260424,4991.119187019054,282020.8928475507
20260429,2275.6585843589946,284296.55143190967
20260430,-6500.0,277796.55143190967
20260501,-2277.792024761011,275518.75940714864
20260504,-4094.616362880285,271424.14304426836
20260505,-210.724754416432,271213.4182898519
20260507,10500.0,281713.4182898519
20260508,9867.133070412712,291580.55136026465
20260511,1399.3770509624692,292979.9284112271
20260512,2730.2953862730383,295710.2237975002
20260514,1000.0,296710.2237975002
20260515,-1137.4451956118062,295572.7786018884
20260518,4500.0,300072.7786018884
20260519,5490.839166953773,305563.61776884214
20260521,1500.0,307063.61776884214
20260522,-532.2619571576945,306531.35581168445
20260526,6749.47601631477,313280.8318279992
20260527,-1125.528896651598,312155.3029313476
20260528,-4233.539136675229,307921.7637946724
20260601,7240.106636866796,315161.8704315392
20260602,-1165.3179195136397,313996.5525120256
20260603,6000.0,319996.5525120256
20260604,-5255.663569629933,314740.8889423956
20260605,4500.0,319240.8889423956
20260608,-1012.3458841322035,318228.5430582634
20260609,-211.7977020956214,318016.7453561678
20260611,-7500.0,310516.7453561678
20260612,-6000.0,304516.7453561678
20260615,164.9336342488764,304681.67899041664
20260616,1130.3531345924998,305812.0321250091
20260617,10000.0,315812.0321250091
20260618,-3500.0,312312.0321250091
20260622,-1527.3203996775237,310784.7117253316
