trades,wr,pf,pnl_r,name,ticker,month,date_min,date_max,pnl_dollars
339,0.6312684365781711,2.365720488810724,35.087336706141514,spx_base,TOTAL,ALL,20260106,20260622,175436.68353070758
339,0.6312684365781711,2.365720488810724,35.087336706141514,spx_base,SPXW,ALL,20260106,20260622,175436.68353070758
68,0.8529411764705882,8.03389030226539,17.35042718342934,spx_base,SPXW,202601,20260106,20260130,86752.13591714669
46,0.9130434782608695,37.908527380950176,8.593585509681722,spx_base,SPXW,202602,20260206,20260224,42967.92754840861
59,0.5254237288135594,2.139201738476847,5.100270984306176,spx_base,SPXW,202603,20260303,20260326,25501.35492153088
60,0.65,2.4412423167212274,7.295318215080131,spx_base,SPXW,202604,20260401,20260430,36476.591075400655
48,0.4791666666666667,1.0325030439612102,0.16837799118291824,spx_base,SPXW,202605,20260507,20260526,841.8899559145912
58,0.3620689655172414,0.5865124917648357,-3.4206431775387705,spx_base,SPXW,202606,20260601,20260622,-17103.215887693852
394,0.6015228426395939,2.378437611104251,39.08278543952202,spx_wide,TOTAL,ALL,20260106,20260622,195413.9271976101
394,0.6015228426395939,2.378437611104251,39.08278543952202,spx_wide,SPXW,ALL,20260106,20260622,195413.9271976101
85,0.7176470588235294,4.24060559763815,16.0225054145573,spx_wide,SPXW,202601,20260106,20260130,80112.5270727865
53,0.8867924528301887,18.209239225990327,8.716102957169255,spx_wide,SPXW,202602,20260206,20260224,43580.51478584627
62,0.4838709677419355,1.8322097655654297,3.977562033862375,spx_wide,SPXW,202603,20260303,20260326,19887.810169311873
67,0.6716417910447762,3.2165131815602455,10.005558747164487,spx_wide,SPXW,202604,20260401,20260430,50027.79373582244
56,0.48214285714285715,1.2679092799921161,1.2742526929641342,spx_wide,SPXW,202605,20260507,20260526,6371.263464820671
71,0.38028169014084506,0.8968406152971188,-0.9131964061955329,spx_wide,SPXW,202606,20260601,20260622,-4565.982030977664
505,0.6237623762376238,2.477947958905204,54.69990868617465,spx_primary,TOTAL,ALL,20260106,20260622,273499.54343087325
505,0.6237623762376238,2.477947958905204,54.69990868617465,spx_primary,SPXW,ALL,20260106,20260622,273499.54343087325
102,0.7843137254901961,6.341108869745032,23.811982706317334,spx_primary,SPXW,202601,20260106,20260130,119059.91353158667
70,0.8857142857142857,18.600621227793045,12.113905615098368,spx_primary,SPXW,202602,20260206,20260224,60569.52807549184
93,0.4838709677419355,1.760806148619243,6.16304290043003,spx_primary,SPXW,202603,20260303,20260326,30815.21450215015
91,0.6593406593406593,2.564263801815145,11.66897351570261,spx_primary,SPXW,202604,20260401,20260430,58344.867578513054
