trades,wr,pf,pnl_r,name,ticker,month,date_min,date_max,pnl_dollars
71,0.5070422535211268,1.2317334306118217,1.5662535541943323,spx_primary,SPXW,202605,20260507,20260526,7831.267770971662
78,0.41025641025641024,0.9345989329446391,-0.6242496055680274,spx_primary,SPXW,202606,20260601,20260622,-3121.248027840137
332,0.6385542168674698,2.4781594006690475,36.04862007428749,spx_fallback_circuit,TOTAL,ALL,20260106,20260622,180243.10037143747
332,0.6385542168674698,2.4781594006690475,36.04862007428749,spx_fallback_circuit,SPXW,ALL,20260106,20260622,180243.10037143747
68,0.8529411764705882,8.03389030226539,17.35042718342934,spx_fallback_circuit,SPXW,202601,20260106,20260130,86752.13591714669
46,0.9130434782608695,37.908527380950176,8.593585509681722,spx_fallback_circuit,SPXW,202602,20260206,20260224,42967.92754840861
59,0.5254237288135594,2.139201738476847,5.100270984306176,spx_fallback_circuit,SPXW,202603,20260303,20260326,25501.35492153088
57,0.6842105263157895,2.969163941602038,8.195318215080132,spx_fallback_circuit,SPXW,202604,20260401,20260430,40976.59107540066
45,0.4888888888888889,1.0967304419406516,0.46202651670770667,spx_fallback_circuit,SPXW,202605,20260507,20260526,2310.1325835385333
57,0.3508771929824561,0.5584241806085781,-3.653008334917586,spx_fallback_circuit,SPXW,202606,20260601,20260622,-18265.04167458793
185,0.5513513513513514,1.9701881014950144,15.720303974769731,spx_selected,TOTAL,ALL,20260106,20260622,78601.51987384865
185,0.5513513513513514,1.9701881014950144,15.720303974769731,spx_selected,SPXW,ALL,20260106,20260622,78601.51987384865
36,0.6111111111111112,2.1775732099233434,3.932239476566949,spx_selected,SPXW,202601,20260106,20260130,19661.197382834744
24,0.75,7.1189128331340665,3.361086905361798,spx_selected,SPXW,202602,20260206,20260224,16805.434526808993
32,0.40625,1.6995090990715715,2.029545889824856,spx_selected,SPXW,202603,20260303,20260326,10147.729449124281
34,0.6176470588235294,2.2566575405940696,3.9382570765697507,spx_selected,SPXW,202604,20260401,20260430,19691.285382848753
27,0.5555555555555556,2.2154288673707105,2.595289833130209,spx_selected,SPXW,202605,20260507,20260526,12976.449165651045
32,0.40625,0.967155255568527,-0.13611520668382937,spx_selected,SPXW,202606,20260601,20260622,-680.5760334191468
173,0.5895953757225434,2.195521865392085,22.703682623329172,spy_raw,TOTAL,ALL,20260102,20260622,113518.41311664585
173,0.5895953757225434,2.195521865392085,22.703682623329172,spy_raw,SPY,ALL,20260102,20260622,113518.41311664585
34,0.8823529411764706,16.416374563002996,12.002747493593887,spy_raw,SPY,202601,20260102,20260130,60013.73746796943
27,0.9629629629629629,32.3046203010003,9.391386090300088,spy_raw,SPY,202602,20260202,20260226,46956.93045150044
36,0.3055555555555556,0.8094820711368976,-1.1908521451296767,spy_raw,SPY,202603,20260302,20260331,-5954.260725648383
24,0.5833333333333334,2.235113404767006,3.533306553669087,spy_raw,SPY,202604,20260406,20260430,17666.532768345434
28,0.39285714285714285,0.8263569824110353,-0.8342451373484747,spy_raw,SPY,202605,20260501,20260528,-4171.225686742374
24,0.4166666666666667,0.9502895253607615,-0.19866023175573888,spy_raw,SPY,202606,20260601,20260622,-993.3011587786945
173,0.5895953757225434,2.195521865392085,22.703682623329172,spy_selected,TOTAL,ALL,20260102,20260622,113518.41311664585
173,0.5895953757225434,2.195521865392085,22.703682623329172,spy_selected,SPY,ALL,20260102,20260622,113518.41311664585
34,0.8823529411764706,16.416374563002996,12.002747493593887,spy_selected,SPY,202601,20260102,20260130,60013.73746796943
27,0.9629629629629629,32.3046203010003,9.391386090300088,spy_selected,SPY,202602,20260202,20260226,46956.93045150044
36,0.3055555555555556,0.8094820711368976,-1.1908521451296767,spy_selected,SPY,202603,20260302,20260331,-5954.260725648383
24,0.5833333333333334,2.235113404767006,3.533306553669087,spy_selected,SPY,202604,20260406,20260430,17666.532768345434
28,0.39285714285714285,0.8263569824110353,-0.8342451373484747,spy_selected,SPY,202605,20260501,20260528,-4171.225686742374
24,0.4166666666666667,0.9502895253607615,-0.19866023175573888,spy_selected,SPY,202606,20260601,20260622,-993.3011587786945
300,0.59,2.84370096356653,33.987711986595194,qqq_meta_sel,TOTAL,ALL,20260102,20260622,169938.55993297597
300,0.59,2.84370096356653,33.987711986595194,qqq_meta_sel,QQQ,ALL,20260102,20260622,169938.55993297597
62,0.532258064516129,2.626507449631685,6.402084382498723,qqq_meta_sel,QQQ,202601,20260102,20260130,32010.421912493613
45,0.8,11.487983542339531,9.195268740623403,qqq_meta_sel,QQQ,202602,20260202,20260226,45976.34370311702
73,0.589041095890411,3.4208655362072413,10.191803160822364,qqq_meta_sel,QQQ,202603,20260302,20260331,50959.01580411182
34,0.47058823529411764,1.237882730063674,0.7916360734441585,qqq_meta_sel,QQQ,202604,20260406,20260430,3958.1803672207925
48,0.5208333333333334,2.0760685947756756,3.940820441870289,qqq_meta_sel,QQQ,202605,20260501,20260528,19704.102209351444
38,0.631578947368421,2.431323995011194,3.4660991873362574,qqq_meta_sel,QQQ,202606,20260601,20260622,17330.495936681287
341,0.530791788856305,1.7399008535608929,23.931008091750655,qqq_current_sel,TOTAL,ALL,20260102,20260622,119655.04045875328
341,0.530791788856305,1.7399008535608929,23.931008091750655,qqq_current_sel,QQQ,ALL,20260102,20260622,119655.04045875328
61,0.5573770491803278,2.18678116009769,5.966152761217618,qqq_current_sel,QQQ,202601,20260102,20260130,29830.76380608809
57,0.7368421052631579,5.643294341092742,10.376572124847195,qqq_current_sel,QQQ,202602,20260202,20260226,51882.860624235975
77,0.4935064935064935,1.380873536330916,2.965542922062188,qqq_current_sel,QQQ,202603,20260302,20260331,14827.71461031094
53,0.3018867924528302,0.6288680230700701,-3.0870728070737767,qqq_current_sel,QQQ,202604,20260406,20260430,-15435.364035368884
54,0.5185185185185185,1.6373999048225496,3.9262149384437364,qqq_current_sel,QQQ,202605,20260501,20260528,19631.07469221868
39,0.5897435897435898,2.342782884304913,3.783598152253697,qqq_current_sel,QQQ,202606,20260601,20260622,18917.990761268484
207,0.6473429951690821,2.651921032217718,27.54586705705325,qqq_online_sel,TOTAL,ALL,20260106,20260622,137729.33528526625
207,0.6473429951690821,2.651921032217718,27.54586705705325,qqq_online_sel,QQQ,ALL,20260106,20260622,137729.33528526625
40,0.85,11.514330789029593,9.528287786294928,qqq_online_sel,QQQ,202601,20260106,20260129,47641.438931474644
27,0.8518518518518519,7.33335953261637,5.868893758622555,qqq_online_sel,QQQ,202602,20260202,20260225,29344.468793112774
41,0.5853658536585366,2.718219995496368,5.927973631778796,qqq_online_sel,QQQ,202603,20260302,20260331,29639.86815889398
35,0.4857142857142857,1.1934948590878323,0.8744628717368612,qqq_online_sel,QQQ,202604,20260406,20260430,4372.314358684306
46,0.6521739130434783,2.8196415457026873,6.4280761298470726,qqq_online_sel,QQQ,202605,20260501,20260528,32140.38064923536
18,0.3333333333333333,0.6761178497950214,-1.0818271212269672,qqq_online_sel,QQQ,202606,20260601,20260622,-5409.135606134836
290,0.5413793103448276,1.9161831063661507,23.73295574696743,qqq_selected,TOTAL,ALL,20260102,20260622,118664.77873483715
290,0.5413793103448276,1.9161831063661507,23.73295574696743,qqq_selected,QQQ,ALL,20260102,20260622,118664.77873483715
53,0.5660377358490566,2.241730734248458,5.201029243199098,qqq_selected,QQQ,202601,20260102,20260130,26005.14621599549
46,0.717391304347826,5.689284886273298,8.17800403246784,qqq_selected,QQQ,202602,20260202,20260226,40890.0201623392
66,0.5757575757575758,2.3140554507004083,6.954666789495526,qqq_selected,QQQ,202603,20260302,20260331,34773.33394747763
45,0.3111111111111111,0.7300064582154567,-1.7721071195372593,qqq_selected,QQQ,202604,20260406,20260430,-8860.535597686296
45,0.5555555555555556,2.0223589313164205,4.2639977767708075,qqq_selected,QQQ,202605,20260501,20260528,21319.98888385404
35,0.4857142857142857,1.2300113615454158,0.9073650245714189,qqq_selected,QQQ,202606,20260601,20260622,4536.825122857094
648,0.5570987654320988,2.0173298144208394,62.156942345066334,combined,TOTAL,ALL,20260102,20260622,310784.71172533167
290,0.5413793103448276,1.9161831063661507,23.73295574696743,combined,QQQ,ALL,20260102,20260622,118664.77873483715
53,0.5660377358490566,2.241730734248458,5.201029243199098,combined,QQQ,202601,20260102,20260130,26005.14621599549
46,0.717391304347826,5.689284886273298,8.17800403246784,combined,QQQ,202602,20260202,20260226,40890.0201623392
66,0.5757575757575758,2.3140554507004083,6.954666789495526,combined,QQQ,202603,20260302,20260331,34773.33394747763
45,0.3111111111111111,0.7300064582154567,-1.7721071195372593,combined,QQQ,202604,20260406,20260430,-8860.535597686296
45,0.5555555555555556,2.0223589313164205,4.2639977767708075,combined,QQQ,202605,20260501,20260528,21319.98888385404
35,0.4857142857142857,1.2300113615454158,0.9073650245714189,combined,QQQ,202606,20260601,20260622,4536.825122857094
185,0.5513513513513514,1.9701881014950144,15.720303974769731,combined,SPXW,ALL,20260106,20260622,78601.51987384865
36,0.6111111111111112,2.1775732099233434,3.932239476566949,combined,SPXW,202601,20260106,20260130,19661.197382834744
24,0.75,7.1189128331340665,3.361086905361798,combined,SPXW,202602,20260206,20260224,16805.434526808993
32,0.40625,1.6995090990715715,2.029545889824856,combined,SPXW,202603,20260303,20260326,10147.729449124281
34,0.6176470588235294,2.2566575405940696,3.9382570765697507,combined,SPXW,202604,20260401,20260430,19691.285382848753
27,0.5555555555555556,2.2154288673707105,2.595289833130209,combined,SPXW,202605,20260507,20260526,12976.449165651045
32,0.40625,0.967155255568527,-0.13611520668382937,combined,SPXW,202606,20260601,20260622,-680.5760334191468
173,0.5895953757225434,2.195521865392085,22.703682623329172,combined,SPY,ALL,20260102,20260622,113518.41311664585
34,0.8823529411764706,16.416374563002996,12.002747493593887,combined,SPY,202601,20260102,20260130,60013.73746796943
27,0.9629629629629629,32.3046203010003,9.391386090300088,combined,SPY,202602,20260202,20260226,46956.93045150044
36,0.3055555555555556,0.8094820711368976,-1.1908521451296767,combined,SPY,202603,20260302,20260331,-5954.260725648383
24,0.5833333333333334,2.235113404767006,3.533306553669087,combined,SPY,202604,20260406,20260430,17666.532768345434
28,0.39285714285714285,0.8263569824110353,-0.8342451373484747,combined,SPY,202605,20260501,20260528,-4171.225686742374
24,0.4166666666666667,0.9502895253607615,-0.19866023175573888,combined,SPY,202606,20260601,20260622,-993.3011587786945
