date,ticker,pnl
20260102,QQQ,7500.0
20260102,SPY,5000.0
20260105,QQQ,7500.0
20260105,SPY,5000.0
20260106,QQQ,504.5607803131659
20260106,SPXW,10000.0
20260106,SPY,3953.48834791591
20260107,QQQ,-199.84817090496153
20260107,SPXW,1031.3276549557022
20260107,SPY,1750.000276735855
20260108,QQQ,-731.0324981342154
20260108,SPY,4354.304458001146
20260112,QQQ,4688.841232458328
20260112,SPY,5000.0
20260113,QQQ,2000.0
20260113,SPXW,-1753.8045160936592
20260113,SPY,5000.0
20260114,QQQ,-2319.935657635954
20260114,SPXW,-2498.8900765551343
20260114,SPY,-1642.8570066179545
20260115,QQQ,3643.3385494793306
20260115,SPXW,2000.0
20260115,SPY,5000.0
20260120,QQQ,1000.0
20260120,SPY,1000.0
20260121,QQQ,3500.0
20260121,SPY,5000.0
20260122,QQQ,-4500.0
20260122,SPXW,2000.0
20260122,SPY,5000.0
20260123,QQQ,-204.65426824158084
20260123,SPXW,1263.9025204285272
20260123,SPY,942.9995815471037
20260126,QQQ,249.14157916201606
20260126,SPY,1186.809533670997
20260128,QQQ,3724.4982244149705
20260128,SPY,5000.0
20260129,QQQ,1000.0
20260129,SPXW,6000.0
20260129,SPY,5000.0
20260130,QQQ,-1349.7635549156062
20260130,SPXW,1618.6618000993105
20260130,SPY,3468.992276716374
20260202,QQQ,-222.61716110102248
20260202,SPY,513.9704322565442
20260204,QQQ,7500.0
20260204,SPY,2500.0
20260205,QQQ,2500.0
20260205,SPY,5000.0
20260206,QQQ,3271.027821330017
20260206,SPXW,5312.541990134051
20260206,SPY,2500.0
20260209,QQQ,895.1280986093573
20260209,SPXW,2780.226279986802
20260209,SPY,1124.794720171718
20260210,QQQ,2790.714005922714
20260210,SPY,3149.152788613914
20260212,QQQ,8130.252121043874
20260212,SPY,2500.0
20260213,QQQ,4732.51781116064
20260213,SPXW,1258.1120596683559
20260213,SPY,5000.0
20260217,QQQ,-810.7666837682413
20260217,SPXW,4145.869901324373
20260217,SPY,3950.382179539026
20260218,QQQ,-592.6726763913149
20260218,SPY,2433.0756760445747
20260219,QQQ,1259.593230416357
20260219,SPY,5000.0
20260223,QQQ,6000.0
20260223,SPXW,876.9480941164237
20260223,SPY,5000.0
20260224,QQQ,3282.122841779034
20260224,SPXW,2431.7362015789854
20260224,SPY,1000.0
20260225,QQQ,-431.4126611012415
20260225,SPY,2285.554654874666
20260226,QQQ,2586.13341443902
20260226,SPY,5000.0
20260302,QQQ,3500.0
20260302,SPY,1000.0
20260303,QQQ,6000.0
20260303,SPXW,6000.0
20260303,SPY,1000.0
20260304,QQQ,-381.92699320725546
20260304,SPXW,1357.3983901958502
20260304,SPY,-276.38194416572395
20260305,QQQ,-500.0
20260305,SPY,1000.0
20260306,QQQ,404.0620227544656
20260306,SPY,76.30254575065999
20260310,QQQ,6000.0
20260310,SPXW,4183.107398680935
20260310,SPY,-3000.0
20260311,QQQ,750.0002292486422
20260311,SPXW,-2909.8477840493597
20260311,SPY,-3000.0
20260312,QQQ,-497.0539359381828
20260312,SPY,-3000.0
20260313,QQQ,786.9462176462278
20260313,SPY,-1840.6016773866718
20260317,QQQ,406.13035394746726
20260317,SPXW,-3698.3754505797283
20260317,SPY,1000.0
20260318,QQQ,3500.0
20260318,SPXW,-3345.5020013288163
20260318,SPY,1000.0
20260319,QQQ,3500.0
20260319,SPY,1000.0
20260320,QQQ,-1268.1806324485622
20260320,SPY,-1133.7876167561046
20260323,QQQ,-67.96859452984137
20260323,SPY,-3000.0
20260325,QQQ,5000.0
20260325,SPXW,-1439.0511037946007
20260325,SPY,2500.0
20260326,QQQ,1000.0
20260326,SPXW,10000.0
20260326,SPY,1000.0
20260327,QQQ,522.6063008192432
20260327,SPY,-2279.792033090544
20260330,QQQ,2984.234753927109
20260330,SPY,-3000.0
20260331,QQQ,3134.484225258314
20260331,SPY,5000.0
20260401,SPXW,6383.650058919206
20260406,QQQ,-1422.0558040314668
20260406,SPY,-381.4548386126077
20260407,QQQ,603.5824459271927
20260407,SPXW,6886.946177240712
20260407,SPY,5000.0
20260408,SPXW,4637.338872301841
20260410,QQQ,-4500.0
20260410,SPY,5000.0
20260413,QQQ,2000.0
20260413,SPY,-3000.0
20260414,QQQ,2990.9872090852255
20260414,SPY,5000.0
20260415,SPXW,4493.141157536425
20260416,QQQ,-2074.507087869967
20260416,SPXW,6000.0
20260416,SPY,-3000.0
20260420,QQQ,-4500.0
20260420,SPY,1000.0
20260421,QQQ,-2000.0
20260422,QQQ,7068.8837140290925
20260422,SPXW,-4242.581872295686
20260422,SPY,1000.0
20260423,QQQ,-213.4252501001274
20260423,SPXW,-6000.0
20260423,SPY,1000.0
20260424,QQQ,943.1315800610113
20260424,SPY,4047.987606958043
20260429,QQQ,-3257.132404787257
20260429,SPXW,532.7909891462516
20260429,SPY,5000.0
20260430,QQQ,-4500.0
20260430,SPXW,1000.0
20260430,SPY,-3000.0
20260501,QQQ,-189.55685954614106
20260501,SPY,-2088.23516521487
20260504,QQQ,-1094.6163628802851
20260504,SPY,-3000.0
20260505,QQQ,254.13539588530983
20260505,SPY,-464.86015030174184
20260507,QQQ,6000.0
20260507,SPXW,2000.0
20260507,SPY,2500.0
20260508,QQQ,10000.0
20260508,SPXW,-1132.8669295872874
20260508,SPY,1000.0
20260511,QQQ,240.91203151959007
20260511,SPY,1158.465019442879
20260512,QQQ,-493.10922305831986
20260512,SPY,3223.404609331358
20260514,QQQ,2000.0
20260514,SPXW,2000.0
20260514,SPY,-3000.0
20260515,QQQ,2730.7692307692314
20260515,SPXW,-868.2144263810376
20260515,SPY,-3000.0
20260518,QQQ,3500.0
20260518,SPY,1000.0
20260519,QQQ,490.839166953773
20260519,SPY,5000.0
20260521,QQQ,-3000.0
20260521,SPXW,7500.0
20260521,SPY,-3000.0
20260522,SPXW,-532.2619571576945
20260526,QQQ,239.68353753770566
20260526,SPXW,4009.7924787770644
20260526,SPY,2500.0
20260527,QQQ,1874.471103348402
20260527,SPY,-3000.0
20260528,QQQ,-1233.5391366752294
20260528,SPY,-3000.0
20260601,QQQ,1799.883286549917
20260601,SPXW,1226.5138783505772
20260601,SPY,4213.709471966302
20260602,SPXW,-1165.3179195136397
20260603,QQQ,1000.0
20260603,SPY,5000.0
20260604,QQQ,-2255.6635696299327
20260604,SPY,-3000.0
20260605,QQQ,3500.0
20260605,SPY,1000.0
20260608,QQQ,2555.1010554961617
20260608,SPXW,-567.4469396283652
20260608,SPY,-3000.0
20260609,QQQ,4788.202297904379
20260609,SPXW,-2000.0
20260609,SPY,-3000.0
20260611,QQQ,-4500.0
20260611,SPY,-3000.0
20260612,QQQ,-3000.0
20260612,SPY,-3000.0
20260615,QQQ,-111.35978659235548
20260615,SPXW,-1741.9790662487192
20260615,SPY,2018.272487089951
20260616,QQQ,2680.597862775773
20260616,SPXW,-3448.2492424338475
20260616,SPY,1898.0045142505742
20260617,SPXW,10000.0
20260618,QQQ,-4500.0
20260618,SPY,1000.0
20260622,QQQ,2580.0639763531517
20260622,SPXW,-2984.0967439451533
20260622,SPY,-1123.287632085522
