ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_result
SPY,20240102,202401,10:30,630,zero_dte,PUT,0.2447829240294762,-0.097138278979975,0.2447829240294762,0.5,-0.3,-0.3,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240102,202401,11:00,660,zero_dte,PUT,0.2630889784212157,-0.2058814465364228,0.2630889784212157,0.5,-0.3,-0.3,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240102,202401,11:30,690,zero_dte,PUT,0.1311146349218165,-0.2910661903703916,0.1311146349218165,0.5,-0.3,-0.3,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240102,202401,12:00,720,zero_dte,PUT,0.3952980988035975,-0.291272241414609,0.3952980988035975,-0.3,0.5,0.5,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240103,202401,10:30,630,zero_dte,PUT,0.0532932263082906,-0.2813816203500565,0.0532932263082906,-0.3,-0.3,-0.3,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240103,202401,11:00,660,front_weekly,PUT,0.0546865052044772,-0.045140211851423,0.0546865052044772,0.0634517757282386,-0.0775510422540968,-0.0775510422540968,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240103,202401,11:30,690,zero_dte,PUT,0.3852345712218903,-0.2977447880982445,0.3852345712218903,-0.3,-0.3,-0.3,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240103,202401,12:00,720,front_weekly,PUT,0.0375921187486773,-0.1579707453654907,0.0375921187486773,0.1669003982459749,-0.3,-0.3,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240104,202401,10:30,630,zero_dte,PUT,0.2514832052731006,-0.2799686135651945,0.2514832052731006,0.5,-0.3,-0.3,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240104,202401,11:00,660,zero_dte,PUT,0.2386847135433695,-0.2799388849808004,0.2386847135433695,0.5,-0.3,-0.3,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240104,202401,11:30,690,zero_dte,PUT,0.5687679357570448,-0.2814244242852384,0.5687679357570448,-0.3,0.5,0.5,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240104,202401,12:00,720,zero_dte,PUT,0.2305410509966611,-0.2797629203217587,0.2305410509966611,-0.3,0.5,0.5,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
SPY,20240105,202401,10:35,635,zero_dte,PUT,0.0497055931711475,-0.2973361453579161,0.0497055931711475,-0.3,-0.3,-0.3,thr0.013_maxday4,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d65_return_minmonth18_v1
