ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_result
SPY,20240102,202401,10:30,630,front_weekly,PUT,0.1137384395138674,-0.08201787283939,0.1137384395138674,0.1597014814369608,-0.1699115083084864,-0.1699115083084864,thr0.055_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1
SPY,20240102,202401,11:00,660,zero_dte,PUT,0.2007406564488817,-0.2490079368864261,0.2007406564488817,0.5,-0.3,-0.3,thr0.055_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1
SPY,20240103,202401,10:30,630,zero_dte,PUT,0.1047132374996234,-0.1548002236530497,0.1047132374996234,0.2737641668676152,-0.3,-0.3,thr0.055_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1
SPY,20240103,202401,11:05,665,front_weekly,PUT,0.1034627414909669,-0.0817754541492027,0.1034627414909669,-0.0665434176311197,0.0774194372060048,0.0774194372060048,thr0.055_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1
SPY,20240104,202401,10:30,630,zero_dte,PUT,0.2624577560730542,-0.2878017238789083,0.2624577560730542,0.5,-0.3,-0.3,thr0.055_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1
SPY,20240104,202401,11:00,660,zero_dte,PUT,0.1312870648815998,-0.2951005701132612,0.1312870648815998,-0.3,-0.3,-0.3,thr0.055_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1
SPY,20240105,202401,10:35,635,zero_dte,PUT,0.2291640650871922,-0.280219003683297,0.2291640650871922,-0.3,0.5,0.5,thr0.055_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1
SPY,20240105,202401,11:05,665,zero_dte,PUT,0.213351678157714,-0.2660252233864088,0.213351678157714,-0.3,0.5,0.5,thr0.055_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1
SPY,20240108,202401,10:40,640,zero_dte,PUT,0.2997684088422225,-0.2669824689156342,0.2997684088422225,0.5,-0.3,-0.3,thr0.055_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1
SPY,20240108,202401,11:10,670,zero_dte,PUT,0.291419610342732,-0.2652998389792184,0.291419610342732,0.5,-0.3,-0.3,thr0.055_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d80_return_fullgrid_call05_minmonth18_v1
