ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_result
SPY,20240102,202401,10:30,630,zero_dte,CALL,0.2611612001246298,0.2611612001246298,0.136507276253047,0.5,-0.3,0.5,thr0.000_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPY,20240102,202401,11:00,660,zero_dte,PUT,0.14741861125836,0.0659268276370252,0.14741861125836,0.5,-0.3,-0.3,thr0.000_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPY,20240103,202401,10:30,630,front_weekly,PUT,0.0144369857229496,-0.1750390470773754,0.0144369857229496,0.1546391461174028,-0.3,-0.3,thr0.000_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPY,20240103,202401,11:00,660,zero_dte,PUT,0.4672930234211737,-0.0656841423646321,0.4672930234211737,-0.3,0.5,0.5,thr0.000_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPY,20240104,202401,10:30,630,front_weekly,PUT,0.0777775380536446,-0.3003841678529552,0.0777775380536446,-0.109677395041601,-0.3,-0.3,thr0.000_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPY,20240104,202401,11:00,660,front_weekly,PUT,0.0923843794031841,-0.2620052333322669,0.0923843794031841,-0.3,0.1901840876660729,0.1901840876660729,thr0.000_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPY,20240105,202401,10:35,635,zero_dte,PUT,0.2913578785200388,-0.299978463343065,0.2913578785200388,-0.3,-0.3,-0.3,thr0.000_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPY,20240105,202401,11:05,665,zero_dte,PUT,0.7409558267713148,-0.2449709246148777,0.7409558267713148,-0.3,0.5,0.5,thr0.000_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPY,20240108,202401,10:30,630,zero_dte,PUT,0.4117389050666016,-0.2877649878452589,0.4117389050666016,0.5,-0.3,-0.3,thr0.000_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
SPY,20240108,202401,11:00,660,zero_dte,PUT,0.0973781843486186,-0.2842844085606615,0.0973781843486186,0.5,-0.3,-0.3,thr0.000_maxday2,202401,research_papers\JEPA\results\event_option_gate_full20_physics_pooled_2024_d50_return_minmonth18_v1
