date,month,minute,action,score,realized_return
20241001,202410,635,PUT,0.9461910799288037,-0.6216216383115025
20241002,202410,655,CALL,0.902637043676474,0.4035088104554496
20241003,202410,645,PUT,0.9089859901480085,-0.6500000037252902
20241004,202410,635,PUT,0.9580719110204018,-0.6078431240781732
20241007,202410,645,PUT,0.9124571102677751,-0.1643835638808273
20241008,202410,675,PUT,0.9209783546051035,-0.618181838378433
20241009,202410,660,PUT,0.9244396824075403,-0.6056337892193328
20241010,202410,665,CALL,0.9263899079328979,0.31249992083758227
20241011,202410,635,CALL,0.93235535974992,-0.6101694671253598
20241014,202410,635,CALL,0.920344320476249,-0.6153846012770066
20241015,202410,650,CALL,0.9228396758358993,-0.6101694671253598
20241016,202410,680,CALL,0.9204232957024846,0.3124999883584676
20241017,202410,645,PUT,0.9395595905589917,-0.625
20241018,202410,680,CALL,0.9180122185715122,0.6216216651604412
20241021,202410,705,CALL,0.910782893608743,0.10447759866236495
20241022,202410,655,PUT,0.9211592553328202,-0.6078431240781732
20241023,202410,700,CALL,0.9042284369179592,-0.6666666666666667
20241024,202410,675,CALL,0.9680394246269105,-0.6612903357606523
20241025,202410,695,PUT,0.9230905059035559,1.2602738808860812
20241028,202410,675,PUT,0.905019406975136,0.4444443340654771
20241029,202410,650,CALL,0.9276677329724804,0.2073170953318877
20241030,202410,635,CALL,0.9303154830053341,-0.6060606361639609
20241031,202410,725,PUT,0.904562590371067,-0.3265305985911895
