ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,source_variant,source_priority,config_selector_mode,selected_variants,selected_max_day,selected_cooldown,selected_daily_order
SPXW,20260102,202601,11:00,660,zero_dte,PUT,0.3075736472412488,-0.4286083877205024,0.3075736472412488,-0.6,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260105,202601,12:35,755,zero_dte,PUT,0.3944208933897449,-0.3601542505700144,0.3944208933897449,-0.6,0.3055555555555556,0.3055555555555556,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260106,202601,11:45,705,zero_dte,PUT,0.3930889899602123,-0.4872931194137141,0.3930889899602123,1.4817073340929388,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260107,202601,10:10,610,zero_dte,CALL,0.2875834196051646,0.2875834196051646,-0.6018044966574453,0.4499999682108562,0.3289473684210526,0.4499999682108562,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260109,202601,10:30,630,zero_dte,PUT,0.2953608777724475,-0.5061050785139498,0.2953608777724475,-0.6,0.9429824836586542,0.9429824836586542,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260112,202601,10:00,600,zero_dte,CALL,0.4639285084187114,0.4639285084187114,-0.6908857327411233,-0.2222222148636239,-0.6,-0.2222222148636239,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260113,202601,10:50,650,zero_dte,CALL,0.3276496580863583,0.3276496580863583,-0.3109268513482756,0.3636363069873223,-0.6,0.3636363069873223,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260114,202601,10:50,650,zero_dte,PUT,0.3931854625356525,-0.2525829604900431,0.3931854625356525,0.75,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260115,202601,10:50,650,zero_dte,PUT,0.3401039378644733,-0.5349636358087476,0.3401039378644733,0.9166667770456414,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260116,202601,11:55,715,zero_dte,CALL,0.4987672679094314,0.4987672679094314,-0.5261153840707458,-0.6,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260120,202601,10:40,640,zero_dte,PUT,0.3172247020138067,0.0842433192248505,0.3172247020138067,-0.6,0.3706895361048752,0.3706895361048752,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260121,202601,10:00,600,zero_dte,PUT,0.3893187647684191,-0.0077591084285139,0.3893187647684191,0.3999999364217121,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260122,202601,11:25,685,zero_dte,PUT,0.3743867180443962,-0.614735776379299,0.3743867180443962,0.2865854481158709,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260123,202601,11:00,660,zero_dte,CALL,0.3518355989805205,0.3518355989805205,-0.600842007380995,-0.6,0.4166666025756513,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260126,202601,11:10,670,zero_dte,CALL,0.3401993904928434,0.3401993904928434,-0.3474068773615658,0.306603835120498,-0.6,0.306603835120498,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260127,202601,10:05,605,zero_dte,CALL,0.3265228319670127,0.3265228319670127,-0.6048841229231011,0.571428568387518,-0.6,0.571428568387518,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260128,202601,10:40,640,zero_dte,PUT,0.3057350311697399,-0.3832688482454847,0.3057350311697399,-0.6,0.2571428843906946,0.2571428843906946,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260129,202601,11:15,675,zero_dte,PUT,0.4531940820447829,0.0562511447805788,0.4531940820447829,0.3879309806188722,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260130,202601,10:05,605,zero_dte,PUT,0.3573002478800033,-0.2859624333389466,0.3573002478800033,0.527777851363761,-0.6,-0.6,thr0.282_maxday3,202601,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260202,202602,10:50,650,zero_dte,PUT,0.6063478913781115,-0.6087756164313012,0.6063478913781115,0.5833333554091282,0.3452381222696814,0.3452381222696814,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260203,202602,12:50,770,zero_dte,PUT,0.7366420735953255,-0.5684411611184306,0.7366420735953255,-0.6,0.9885321534369288,0.9885321534369288,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260204,202602,10:25,625,zero_dte,PUT,0.6700790209607015,-0.5911175389166194,0.6700790209607015,-0.6,1.28606565719457,1.28606565719457,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260205,202602,11:00,660,zero_dte,PUT,0.6761259699463641,-0.5630916865764602,0.6761259699463641,0.540697550631787,-0.6,-0.6,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260206,202602,10:25,625,zero_dte,PUT,0.7049861168542463,-0.6001783276259219,0.7049861168542463,0.2528902396886854,-0.6,-0.6,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260209,202602,10:45,645,zero_dte,PUT,0.6556287947594481,-0.5976239645691541,0.6556287947594481,0.3214285714285714,-0.6,-0.6,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260210,202602,10:10,610,zero_dte,PUT,0.7152404749914889,-0.5980415545475396,0.7152404749914889,-0.6,0.8333332505491078,0.8333332505491078,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260212,202602,10:40,640,zero_dte,PUT,0.6195156496233347,-0.580133350787657,0.6195156496233347,-0.6,2.4488110125570683,2.4488110125570683,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260213,202602,10:30,630,zero_dte,PUT,0.6061450903759478,-0.5568619812094897,0.6061450903759478,-0.6,0.8157894745097596,0.8157894745097596,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260217,202602,10:25,625,zero_dte,PUT,0.6142193012334131,-0.5751429459093642,0.6142193012334131,0.4527397233430072,-0.6,-0.6,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260218,202602,10:10,610,zero_dte,PUT,0.6095026426555412,-0.5910529881689907,0.6095026426555412,0.4068046023907128,-0.6,-0.6,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260219,202602,10:25,625,zero_dte,PUT,0.6657826947036007,-0.5763037916095032,0.6657826947036007,-0.6,0.4329268916741089,0.4329268916741089,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
SPXW,20260220,202602,14:15,855,zero_dte,PUT,0.608695391642057,-0.6039026351185509,0.608695391642057,-0.6,-0.6,-0.6,thr0.604_maxday3,202602,d25,0,NO_HISTORY,d25,1,0,time_asc
