ticker,trade_date,expiration,role,kind,path,size_bytes,sha256
QQQ,20230105,20230106,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230106_20230105_greeks.parquet,2212048,33b734fb647df33ca2d4d99373597a1030327079cc5f90b6bb7a8726c6caa03e
QQQ,20230105,20230106,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230106_20230105_iv.parquet,899193,2b3008017ff40dbce4d57a01cb5ccfdaaf74aa43647f8df94fd1cc637b3da740
QQQ,20230105,20230105,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230105_20230105_greeks.parquet,1167393,c1ef072c7a05a8c26f2542f1c3d3840aec0e122f3c624025989f7ceb0081638c
QQQ,20230105,20230105,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230105_20230105_iv.parquet,595544,e7bb9cf0b2b880afd384cfd9f887e8f9994c193bc3fd95944cf64bb62e0f9f20
QQQ,20230105,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230105.parquet,12058,c415faa04fa906a5fb4311b7a4749a702db5b8a64eee912900d5bb87b9bba9c4
QQQ,20230106,20230113,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230113_20230106_greeks.parquet,2836859,c17a42159dbc9e9584022b9fe31a0b638070f05e5ac81b6a1a6390640689590a
QQQ,20230106,20230113,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230113_20230106_iv.parquet,1064545,90de198e5846b9c6ef07de231e0634b80d615792ed52f08f3d879e951b7b3589
QQQ,20230106,20230106,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230106_20230106_greeks.parquet,1655721,1d901d37a3450e6f252a686f16e98f0c4e71f90170a45ca16f5641a9292f631e
QQQ,20230106,20230106,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230106_20230106_iv.parquet,920049,3135d3e9aa4c236c1db6d475cab78f75036ae276450a761c64dae81d9b7b7aba
QQQ,20230106,,spot,underlying,D:\ThetaData\data_underlying_derived\QQQ\2023\01\QQQ_20230106.parquet,13958,ae382491029d9eea18012e6cd96aaafde6894fe14e4360d979b82409d6b2d2a7
QQQ,20230109,20230113,back,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230113_20230109_greeks.parquet,2811454,5780f84fd458aa30a2e384455393e590f68e98f1a5aef0819184cccd32e465aa
QQQ,20230109,20230113,back,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230113_20230109_iv.parquet,1004642,4283aefe028f18c6cbf64de5bb2ced23b357d82b5947cbe49d42e9f171ff62dd
QQQ,20230109,20230109,front,greeks,D:\ThetaData\data_options\QQQ\greeks\2023\01\QQQ_20230109_20230109_greeks.parquet,1169047,05b963ee23666586aad412b6b7650d7881c3c4c878ef4857b94a8c7d8be95d79
QQQ,20230109,20230109,front,iv,D:\ThetaData\data_options\QQQ\iv\2023\01\QQQ_20230109_20230109_iv.parquet,605763,385280738b9b6e6e992657966c4e78c850837a1c08fa5069320ef9def84be067
