ticker,year,feature,rows,finite,distinct_values,modal_frequency,minimum,maximum,pass
QQQ,2022,tpo_poc_dist_bps,4640,True,4430,0.000646551724137931,-258.10407849172816,213.5487217915104,True
QQQ,2022,tpo_vah_dist_bps,4640,True,4501,0.000646551724137931,-348.60210555671756,125.48635328702889,True
QQQ,2022,tpo_val_dist_bps,4640,True,4505,0.0010775862068965517,-141.67088306199562,251.2897368648601,True
QQQ,2022,tpo_value_width_ib,4640,True,1086,0.028017241379310345,0.25,2.1000000000000254,True
QQQ,2022,tpo_value_location,4640,True,4552,0.0010775862068965517,-2.3495625713198844,2.5417357656163335,True
QQQ,2022,tpo_poc_migration_5m_ib,4640,True,313,0.9170258620689655,-1.35,1.2500000000000038,True
QQQ,2022,tpo_poc_migration_15m_ib,4640,True,447,0.7918103448275862,-1.35,1.2500000000000038,True
QQQ,2022,tpo_poc_migration_30m_ib,4640,True,520,0.6368534482758621,-1.35,1.2500000000000038,True
QQQ,2022,tpo_vah_migration_5m_ib,4640,True,439,0.7711206896551724,-0.8000000000000022,0.7000000000000055,True
QQQ,2022,tpo_vah_migration_15m_ib,4640,True,717,0.5066810344827586,-0.8499999999999962,0.950000000000001,True
QQQ,2022,tpo_vah_migration_30m_ib,4640,True,972,0.31875,-0.75,1.1999999999999964,True
QQQ,2022,tpo_val_migration_5m_ib,4640,True,519,0.7368534482758621,-0.8000000000000217,0.699999999999986,True
QQQ,2022,tpo_val_migration_15m_ib,4640,True,834,0.4420258620689655,-1.049999999999999,0.699999999999986,True
QQQ,2022,tpo_val_migration_30m_ib,4640,True,1098,0.25668103448275864,-1.399999999999992,0.700000000000002,True
QQQ,2022,tpo_value_overlap_5m,4640,True,1433,0.5967672413793104,0.26923076923077205,1.0,True
QQQ,2022,tpo_value_overlap_15m,4640,True,2024,0.2355603448275862,0.17391304347825848,1.0,True
QQQ,2022,tpo_value_overlap_30m,4640,True,2387,0.0747844827586207,0.10000000000000399,1.0,True
QQQ,2022,tpo_entropy,4640,True,4640,0.00021551724137931034,0.7637516648672297,0.9828809414589879,True
QQQ,2022,tpo_poc_concentration,4640,True,3724,0.0028017241379310344,0.0390032502708559,0.23255813953488372,True
QQQ,2022,tpo_single_print_fraction,4640,True,134,0.21400862068965518,0.0,0.3611111111111111,True
QQQ,2022,tpo_upper_tail_fraction,4640,True,3990,0.04913793103448276,0.0,0.3,True
QQQ,2022,tpo_lower_tail_fraction,4640,True,3908,0.06939655172413793,0.0,0.3,True
QQQ,2022,tpo_profile_skew_ib,4640,True,4640,0.00021551724137931034,-0.8866962305986731,0.7745059288537547,True
QQQ,2022,tpo_developing_range_ib,4640,True,1094,0.06745689655172414,1.0,4.466216216216304,True
QQQ,2022,tpo_last3_inside_value_fraction,4640,True,4,0.509698275862069,0.0,1.0,True
QQQ,2022,tpo_last3_above_value_fraction,4640,True,4,0.7625,0.0,1.0,True
QQQ,2022,tpo_last3_below_value_fraction,4640,True,4,0.747198275862069,0.0,1.0,True
QQQ,2022,tpo_session_inside_value_fraction,4640,True,935,0.032758620689655175,0.6046511627906976,0.8666666666666667,True
QQQ,2022,tpo_poc_cross_rate,4640,True,996,0.008405172413793103,0.020080321285140562,0.3220338983050847,True
QQQ,2022,tpo_vah_cross_rate,4640,True,700,0.1125,0.0,0.1875,True
QQQ,2022,tpo_val_cross_rate,4640,True,737,0.11293103448275862,0.0,0.1694915254237288,True
QQQ,2022,tpo_ib_position,4640,True,4233,0.003017241379310345,-1.3375796178344153,2.1730769230769296,True
QQQ,2022,tpo_dist_ib_high_bps,4640,True,4269,0.001293103448275862,-400.29084229459187,129.0823164280181,True
QQQ,2022,tpo_dist_ib_low_bps,4640,True,4260,0.003017241379310345,-195.65427953378753,305.350788002034,True
QQQ,2022,tpo_directional_efficiency_15m,4640,True,4347,0.006681034482758621,0.0,0.9452054794520527,True
QQQ,2022,tpo_directional_efficiency_30m,4640,True,4554,0.004094827586206897,0.0,0.7223650385604039,True
QQQ,2023,tpo_poc_dist_bps,8047,True,7566,0.0004970796570150367,-172.65502954560904,169.88622241860188,True
QQQ,2023,tpo_vah_dist_bps,8047,True,7757,0.0006213495712687958,-215.37730082184285,94.27353534018468,True
QQQ,2023,tpo_val_dist_bps,8047,True,7760,0.0003728097427612775,-129.9327582693752,222.24701550820035,True
QQQ,2023,tpo_value_width_ib,8047,True,1722,0.037902323847396543,0.2500000000000078,3.200000000000031,True
QQQ,2023,tpo_value_location,8047,True,7898,0.0006213495712687958,-2.6361323155219933,3.2388059701492637,True
QQQ,2023,tpo_poc_migration_5m_ib,8047,True,560,0.9116440909655772,-1.5,1.699999999999954,True
QQQ,2023,tpo_poc_migration_15m_ib,8047,True,719,0.7893624953398782,-1.5,1.699999999999954,True
QQQ,2023,tpo_poc_migration_30m_ib,8047,True,854,0.64396669566298,-1.5,1.699999999999954,True
QQQ,2023,tpo_vah_migration_5m_ib,8047,True,732,0.7315769852118802,-0.75,0.75,True
QQQ,2023,tpo_vah_migration_15m_ib,8047,True,1205,0.4476202311420405,-0.7500000000000121,0.8999999999999951,True
QQQ,2023,tpo_vah_migration_30m_ib,8047,True,1618,0.25786007207655026,-1.0,1.0,True
QQQ,2023,tpo_val_migration_5m_ib,8047,True,764,0.7417671181806884,-0.8500000000000065,0.7000000000000097,True
QQQ,2023,tpo_val_migration_15m_ib,8047,True,1216,0.4672548775941345,-1.0999999999999386,0.75,True
QQQ,2023,tpo_val_migration_30m_ib,8047,True,1609,0.2860693426121536,-1.3999999999999846,0.8,True
QQQ,2023,tpo_value_overlap_5m,8047,True,2400,0.5669193488256493,0.2812499999999801,1.0,True
QQQ,2023,tpo_value_overlap_15m,8047,True,3452,0.20318130980489624,0.22222222222222723,1.0,True
QQQ,2023,tpo_value_overlap_30m,8047,True,4079,0.06623586429725363,0.1111111111111041,1.0,True
QQQ,2023,tpo_entropy,8047,True,8047,0.00012426991425375916,0.7874452860378028,0.9801470417624681,True
