ticker,trade_date,path,sha256,bytes,source_rows,consumed_rows,first_consumed_timestamp,last_consumed_timestamp,checkpoint_path,checkpoint_sha256,checkpoint_manifest_path,checkpoint_manifest_sha256,checkpoint_reused
QQQ,20220103,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220103.parquet,a67b417389539014e87631c49b7000d4b243dea836b681db0258b4c85852500a,12927,391,300,2022-01-03T09:30:00,2022-01-03T14:29:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220103.parquet,d912a11f803394d00e04db39502d996c3bd0f021446448df8b55b1e3e68c4d65,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220103.json,58065f372fa0e84eb149e2bbeb8d4aa87d077973c29169599b07b4eeb250d8ed,False
QQQ,20220105,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220105.parquet,56ce77c462707651b23c57a5d8ad631cf9191b911a4b900884555f2c4a26a081,14150,391,300,2022-01-05T09:30:00,2022-01-05T14:29:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220105.parquet,14b83095b4c7f4fbce3784a3f39eaa029a877d745f870366017046deee493ab1,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220105.json,d299fef4e63039336babafe40a1a2bad3f25081cd0cae0507b24ebd6635ef02c,False
QQQ,20220107,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220107.parquet,e3d588fec49aa128eef279aace7d5fe3357eb17a90c2d68055fa8082e55dc450,13248,391,255,2022-01-07T09:30:00,2022-01-07T13:44:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220107.parquet,2a71278bb85ac5444ff0c45255c7dd11f453a7da5b588be683f7c48328efdbba,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220107.json,08b3cdfc8d9d1b0695f587a45a2f88e8987df4a0390152ed7c73408f767a7267,False
QQQ,20220110,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220110.parquet,517f12fcac8cd232df1875e81355afcf95366df061b10fc36543a93edf239dcf,14426,391,300,2022-01-10T09:30:00,2022-01-10T14:29:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220110.parquet,e739be52cd1ea902d4b302b127c47e56329c083c9edaf2d56c2aeaecae122ece,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220110.json,145d258613ab6e2dcfa31cde77d4c32d14347d5bc92a4b3b374abdbdac880afc,False
QQQ,20220112,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220112.parquet,4a9b3cb3bcd790770caeb715fdfd90c058d33dc66d4620d87e11cbc4f8082cf3,12776,391,295,2022-01-12T09:30:00,2022-01-12T14:24:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220112.parquet,71542c522a4e9f8d39dcf83f1d7b37dec05015b07cf598a168aeeb27c9e082eb,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220112.json,7e9bf081b0a910590a5345eb94f7323770227499f4c7d58989b119b86e3fe8d4,False
QQQ,20220114,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220114.parquet,ec24fc92b7a919c18e3f3bae19f8564bad4471f2a4c63f048b153d93f86683d5,13262,391,245,2022-01-14T09:30:00,2022-01-14T13:34:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220114.parquet,62970224cc7fcbf40d740d47ad6618a5ec87378e2a4d2c063f62c4901cc57411,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220114.json,f5c33223d702f875c22dbd9cc9cab374db9ec0dcb586a73ae77993116a3ac9b0,False
QQQ,20220118,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220118.parquet,ae69c25488f4406faa0be7441eef38a6b669cc3fd471820298d3ae11d5ba1f34,13450,391,300,2022-01-18T09:30:00,2022-01-18T14:29:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220118.parquet,3b510d9ff929aad91f491f411dd83f1902296fca8609b0f3c6c5dc2c38ffafe3,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220118.json,fa4cdecca0548e59f387a4b3f0bfa45f2cc0f1a89d133e062b1284874185ca2a,False
QQQ,20220119,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220119.parquet,bc87c620ccdbc264f818867d772c408e9cedb5d4e60a13c080bb769aefc5e070,14054,391,300,2022-01-19T09:30:00,2022-01-19T14:29:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220119.parquet,069b9f9f0c5b513704c732c8c15f5c16da401ba088176a31eaef4a8a035dd0e5,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220119.json,376def3de0814b782ce0ca42ae0699eef5afc8b70468d1aa9e36c5566ff206d7,False
QQQ,20220121,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220121.parquet,a37d66b3617a909e84432dbc35a5bc632f390df6102d3c8012fc8f8754cb4db8,14317,391,300,2022-01-21T09:30:00,2022-01-21T14:29:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220121.parquet,4a25d652fcbd99dbdf1790c2d81a9db0e7f8b7e6c938c1ba492b608a070cd75e,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220121.json,b58713d94862cbc69e415f236b4444cee858c0787902f5b0b7e79d00bef4c68f,False
QQQ,20220124,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220124.parquet,7e99f7524ea2357be349adde075ab0f36081b643b5bdb1ede8b0edef999992ec,15062,391,240,2022-01-24T09:30:00,2022-01-24T13:29:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220124.parquet,48538f0f2f03ae35df45932b3776d2de3a9b928eb78fca7da99244a2499c60f8,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220124.json,c299e02edb7e9fff0baeaf92e848998d89e674c8680e4276a9b7da6fa4326fff,False
QQQ,20220126,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220126.parquet,beb1e4edb0fc63b8743ec16f2baef47fd2e8c846571d164f703c8120271765e9,14248,391,300,2022-01-26T09:30:00,2022-01-26T14:29:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220126.parquet,acb39c6818c536068426f44f9ff667c283f03aff00dd45c27bdc850601d0ffac,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220126.json,bfbab3079bc350678731fbd1f3a7efd9ac4865c28bce87789e384308eb5b3107,False
QQQ,20220128,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220128.parquet,cca1a1d9a196db3b4c3637c23b0b6010f363fc724bbc8f863595f4532878a2e0,14246,391,300,2022-01-28T09:30:00,2022-01-28T14:29:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220128.parquet,466a826b671e6e6a633cf531965f4bf80695f6539e394a22bea2e763d5b70211,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220128.json,940d4fc32a9977c2c7d8210f943fed57c0afe74c3b46febe5bb88676d0eec609,False
QQQ,20220131,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220131.parquet,7f6c950402208e7b292bba15b7b619aebb6fff4d3b7d3973e113cb189cf31647,13667,391,300,2022-01-31T09:30:00,2022-01-31T14:29:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220131.parquet,762520098e5da67faba3b535d37c3e314e81b5af826b6c10cc05a918ad36657d,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220131.json,373c8edb8ca542d2734b12ee64206c73fe8aac7a054fa7184f3b0f68d576b5c9,False
QQQ,20220202,D:\ThetaData\data_underlying_derived\QQQ\2022\02\QQQ_20220202.parquet,a632c86c18f9d8518614b63f9397ddf6b44f5135873522eaf5b54f33a2011569,13485,391,300,2022-02-02T09:30:00,2022-02-02T14:29:00,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220202.parquet,cbecef2b2f364973d1d1474a97f9dd6c417d890a05e2a59a591296d424f25332,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\tmp\existing_data_edge_sprint_v1\tpo_value_migration_v1\session_checkpoints\QQQ\2022\QQQ_20220202.json,66017c8aec3339d8d32c9b5bb7ff333cef5ec7169674265ba6af3dfab568ee7d,False
