scope,cost_bps,trades,win_rate,profit_factor,net_bps
QQQ,1.0,249,0.5140562248995983,1.2317495429199758,964.4022613725635
QQQ,2.0,249,0.4979919678714859,1.1669794350230096,715.4022613725635
QQQ,3.0,249,0.4738955823293173,1.105721851361323,466.40226137256343
SPXW,1.0,247,0.5587044534412956,1.3959674935709325,1124.9661401092872
SPXW,2.0,247,0.5506072874493927,1.2974822053477832,877.9661401092869
SPXW,3.0,247,0.5263157894736842,1.2058911834652355,630.9661401092872
SPY,1.0,247,0.5668016194331984,1.408300216590374,1153.3746126505346
SPY,2.0,247,0.5506072874493927,1.3088740037880588,906.3746126505346
SPY,3.0,247,0.5384615384615384,1.216428890168687,659.3746126505346
POOLED,1.0,743,0.5464333781965006,1.3299737549228545,3242.7430141323857
POOLED,2.0,743,0.5329744279946165,1.2457922834070174,2499.743014132385
POOLED,3.0,743,0.5127860026917901,1.166946827425043,1756.7430141323848
