ticker,trades,win_rate,profit_factor,net_bps,min_month_trades,positive_months,incremental_gate_pass,objective_gate_pass
QQQ,249,0.5140562248995983,1.2317495429199758,964.4022613725635,19,8,True,False
SPXW,247,0.5587044534412956,1.3959674935709325,1124.9661401092872,18,8,True,False
SPY,247,0.5668016194331984,1.408300216590374,1153.3746126505346,18,8,True,False
