month,prior_month,prior_trades_QQQ,prior_trades_SPXW,prior_trades_SPY,prior_pooled_trades,prior_direct_hits,prior_direct_hit_rate,orientation,orientation_name
202401,202312,19,20,20,59,31,0.5254237288135594,1,DIRECT
202402,202401,21,21,21,63,34,0.5396825396825397,1,DIRECT
202403,202402,20,20,20,60,29,0.48333333333333334,-1,INVERSE
202404,202403,20,20,20,60,26,0.43333333333333335,-1,INVERSE
202405,202404,22,22,22,66,23,0.3484848484848485,-1,INVERSE
202406,202405,22,22,22,66,26,0.3939393939393939,-1,INVERSE
202407,202406,19,19,19,57,27,0.47368421052631576,-1,INVERSE
202408,202407,21,21,21,63,31,0.49206349206349204,-1,INVERSE
202409,202408,22,22,22,66,26,0.3939393939393939,-1,INVERSE
202410,202409,20,20,20,60,27,0.45,-1,INVERSE
202411,202410,23,23,23,69,33,0.4782608695652174,-1,INVERSE
202412,202411,19,19,19,57,22,0.38596491228070173,-1,INVERSE
