ticker,month,mode,config,stop_after_loss_streak,daily_loss_limit,total_loss_limit,min_trades_before_halt,select_months,select_score,select_trades,select_win_rate,select_profit_factor,select_pnl_return,select_avg_return,select_max_drawdown,select_call_rate,select_days_with_trades,select_daily_win_rate,select_median_daily_return,select_daily_max_drawdown,select_top5_day_return,select_top5_share_of_pnl,select_min_month_trades,select_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate
SPXW,202501,SELECTED,streakoff_daylossoff_lossesoff,999,-999.0,999,0,"202312,202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412",-9.999999999999997e+17,314,0.4840764331210191,1.577435491564974,27.614066521964677,0.08794288701262636,-4.800000000000011,0.18152866242038215,240,0.49583333333333335,-0.0281069244235169,-4.299999999999997,7.0,0.2534939935207329,18,0.75,21,0.38095238095238093,1.025641025641026,0.10000000000000026,0.0047619047619047745,-1.2,0.0,20,0.4,-0.3,-1.2,2.5,24.999999999999936,21,1.0
SPXW,202502,SELECTED,streakoff_daylossoff_lossesoff,999,-999.0,999,0,"202401,202402,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501",-9.999999999999997e+17,315,0.4888888888888889,1.598508673325252,28.618920886402066,0.09085371709968909,-4.800000000000011,0.1746031746031746,240,0.5041666666666667,0.1081967136226203,-4.299999999999997,7.0,0.2445934292136768,18,0.8333333333333334,19,0.5789473684210527,2.291666666666667,3.1000000000000005,0.16315789473684214,-1.2000000000000002,0.5263157894736842,19,0.5789473684210527,0.5,-1.2000000000000002,2.5,0.8064516129032256,19,1.0
SPXW,202503,SELECTED,streakoff_dayloss0p3_lossesoff,999,-0.3,999,0,"202402,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502",9.329262098883044,279,0.5197132616487455,1.811211269304066,32.21892088640207,0.11548000317706834,-2.8000000000000003,0.2007168458781362,238,0.5084033613445378,0.2,-2.8000000000000003,7.0,0.21726363911071697,18,0.9166666666666666,21,0.5714285714285714,2.2222222222222223,3.3000000000000003,0.15714285714285717,-0.6,0.19047619047619047,21,0.5714285714285714,0.5,-0.6,2.5,0.7575757575757576,21,1.0
SPXW,202504,SELECTED,streakoff_dayloss0p3_lossesoff,999,-0.3,999,0,"202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503",10.206219948872727,280,0.5392857142857143,1.9607993843450018,36.718920886402074,0.1311390031657217,-2.100000000000005,0.21071428571428572,239,0.5313807531380753,0.5,-2.100000000000005,7.0,0.19063741065964368,18,1.0,21,0.5714285714285714,2.2222222222222223,3.3,0.15714285714285714,-1.0,0.6190476190476191,21,0.5714285714285714,0.5,-1.0,2.5,0.7575757575757576,21,1.0
SPXW,202505,SELECTED,streakoff_dayloss0p3_lossesoff,999,-0.3,999,0,"202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504",10.630546086194922,278,0.5539568345323741,2.0817567795381353,39.71892088640207,0.14287381613813693,-2.100000000000005,0.2589928057553957,238,0.5462184873949579,0.5,-2.100000000000005,7.0,0.17623842349645702,18,1.0,21,0.5714285714285714,2.2222222222222223,3.3000000000000007,0.15714285714285717,-0.8999999999999995,0.47619047619047616,21,0.5714285714285714,0.5,-0.8999999999999995,2.5,0.7575757575757575,21,1.0
SPXW,202506,SELECTED,streakoff_dayloss0p3_lossesoff,999,-0.3,999,0,"202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505",10.850134790054057,277,0.5595667870036101,2.1435741334455183,41.30252745915683,0.1491065973254759,-2.100000000000005,0.2924187725631769,237,0.5527426160337553,0.5,-2.100000000000005,7.0,0.16948115359095514,18,1.0,20,0.65,3.095238095238095,4.4,0.22000000000000003,-0.9,0.3,20,0.65,0.5,-0.9,2.5,0.5681818181818181,20,1.0
SPXW,202507,SELECTED,streakoff_dayloss0p3_lossesoff,999,-0.3,999,0,"202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506",11.353995477821822,279,0.5770609318996416,2.2717395578331514,45.019580347293505,0.16136050303689428,-2.100000000000005,0.2831541218637993,240,0.5708333333333333,0.5,-2.100000000000005,7.0,0.15548789984269204,18,1.0,35,0.6,2.5000000000000004,6.300000000000001,0.18000000000000002,-1.4999999999999998,0.2,21,0.6666666666666666,0.2,-1.2,5.0,0.7936507936507936,35,1.0
SPXW,202508,SELECTED,streakoff_dayloss0p3_lossesoff,999,-0.3,999,0,"202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507",11.309852748859202,292,0.5684931506849316,2.1936396917273426,45.11958034729351,0.1545191107784024,-2.100000000000005,0.2910958904109589,240,0.5666666666666667,0.5,-2.100000000000005,7.0,0.15514328693041343,18,1.0,21,0.6666666666666666,3.333333333333333,4.9,0.23333333333333334,-0.6000000000000001,0.38095238095238093,21,0.6666666666666666,0.5,-0.6000000000000001,2.5,0.5102040816326531,21,1.0
SPXW,202509,SELECTED,streakoff_dayloss0p3_lossesoff,999,-0.3,999,0,"202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507,202508",11.084103515922829,261,0.578544061302682,2.285441828705865,42.419580347293504,0.16252712776740807,-2.0999999999999988,0.30268199233716475,239,0.5857740585774058,0.5,-2.0999999999999988,5.0,0.11787009581576435,18,1.0,22,0.5,1.666666666666667,2.2,0.1,-2.0000000000000004,0.3181818181818182,20,0.5,0.1,-2.0000000000000004,3.0,1.3636363636363635,22,1.0
SPXW,202510,SELECTED,streakoff_dayloss0p3_lossesoff,999,-0.3,999,0,"202410,202411,202412,202501,202502,202503,202504,202505,202506,202507,202508,202509",10.578135125355047,262,0.5610687022900763,2.1281037781824215,38.919580347293504,0.1485480165927233,-2.1,0.29389312977099236,239,0.5648535564853556,0.5,-2.1,5.0,0.1284700388694634,18,1.0,24,0.75,5.0,7.2,0.3,-0.5999999999999996,0.4583333333333333,23,0.7391304347826086,0.5,-0.5999999999999996,3.0,0.41666666666666663,24,1.0
