ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,monthly_backfill_role,backfill_min_month_trades,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode,runtime_replay_role,event_delta_bucket,event_delta_target,_orig_order,call_d15_opt_exit_minutes,put_d15_opt_exit_minutes,call_d25_opt_exit_minutes,put_d25_opt_exit_minutes,call_d35_opt_exit_minutes,put_d35_opt_exit_minutes,call_d50_opt_exit_minutes,put_d50_opt_exit_minutes,call_d65_opt_exit_minutes,put_d65_opt_exit_minutes,call_d80_opt_exit_minutes,put_d80_opt_exit_minutes,exit_minutes,known_minute,circuit_config,circuit_side_specific,circuit_mode
SPXW,20250102,202501,10:00,600,zero_dte,PUT,0.5827917869124356,0.1765882385718877,0.5827917869124356,-0.3,-0.3,-0.3,thr0.437_maxday1,202501,600,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,572,0,primary,18,2,0,18,False,primary,primary,25,0.25,1857,17,5,19,5,19,6,19,13,20,21,20,23,5.0,605.0,streakoff_daylossoff_lossesoff,False,SELECTED
SPXW,20250102,202501,10:30,630,zero_dte,PUT,0.3181816460795575,-0.3000000119209289,0.3181816460795575,-0.3,-0.3,-0.3,thr-999.000_maxday3,202501,630,forcedmax3_d50,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_return_forcedmax3_d50_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,1507,1,fallback,18,2,1,18,False,fallback_volume_pace,fallback,50,0.5,1860,11,7,12,7,12,7,32,21,33,22,34,103,21.0,651.0,streakoff_daylossoff_lossesoff,False,SELECTED
SPXW,20250103,202501,10:00,600,zero_dte,PUT,0.5018151148800398,0.2789369223355266,0.5018151148800398,0.5,-0.3,-0.3,thr0.437_maxday1,202501,600,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,573,0,primary,18,3,2,18,False,primary,primary,25,0.25,1863,4,4,4,4,5,4,5,4,21,5,21,43,4.0,604.0,streakoff_daylossoff_lossesoff,False,SELECTED
SPXW,20250106,202501,10:00,600,zero_dte,PUT,0.4932404241378992,0.2889397859522202,0.4932404241378992,0.5,-0.3,-0.3,thr0.437_maxday1,202501,600,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,574,0,primary,18,4,3,18,False,primary,primary,25,0.25,1866,10,9,14,8,14,9,53,10,80,14,180,28,8.0,608.0,streakoff_daylossoff_lossesoff,False,SELECTED
SPXW,20250107,202501,10:00,600,zero_dte,PUT,0.7965249399789757,0.1348887809513048,0.7965249399789757,-0.3,0.5,0.5,thr0.437_maxday1,202501,600,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,575,0,primary,18,4,4,18,False,primary,primary,25,0.25,1871,1,1,1,1,1,1,1,2,1,7,2,8,1.0,601.0,streakoff_daylossoff_lossesoff,False,SELECTED
SPXW,20250108,202501,10:00,600,zero_dte,PUT,0.6337596592709068,0.2510278211496254,0.6337596592709068,-0.3,0.5,0.5,thr0.437_maxday1,202501,600,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,576,0,primary,18,5,5,18,False,primary,primary,25,0.25,1875,13,15,13,15,13,15,14,22,15,81,149,95,15.0,615.0,streakoff_daylossoff_lossesoff,False,SELECTED
SPXW,20250110,202501,10:00,600,zero_dte,PUT,0.7550652880050747,0.1303734424835214,0.7550652880050747,-0.3,0.5,0.5,thr0.437_maxday1,202501,600,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,577,0,primary,18,7,6,18,False,primary,primary,25,0.25,1879,2,3,2,3,2,8,3,33,6,38,4,176,3.0,603.0,streakoff_daylossoff_lossesoff,False,SELECTED
SPXW,20250113,202501,10:00,600,zero_dte,PUT,0.461236909652047,0.3378550062182447,0.461236909652047,0.5,-0.3,-0.3,thr0.437_maxday1,202501,600,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,578,0,primary,18,8,7,18,False,primary,primary,25,0.25,1883,6,6,7,6,15,7,24,40,25,44,118,179,6.0,606.0,streakoff_daylossoff_lossesoff,False,SELECTED
SPXW,20250114,202501,10:15,615,zero_dte,PUT,0.5667612051293378,0.2747300228180904,0.5667612051293378,-0.3,0.5,0.5,thr0.437_maxday1,202501,615,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,579,0,primary,18,8,8,18,False,primary,primary,25,0.25,1887,6,13,7,13,7,13,13,14,14,24,22,36,13.0,628.0,streakoff_daylossoff_lossesoff,False,SELECTED
SPXW,20250115,202501,10:00,600,zero_dte,PUT,0.547386337015008,0.1530314519336971,0.547386337015008,-0.3,-0.3,-0.3,thr0.437_maxday1,202501,600,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,580,0,primary,18,9,9,18,False,primary,primary,25,0.25,1890,6,18,7,17,7,17,36,18,49,18,77,173,17.0,617.0,streakoff_daylossoff_lossesoff,False,SELECTED
SPXW,20250116,202501,10:30,630,zero_dte,PUT,0.5324055401569568,0.2077554555545922,0.5324055401569568,0.5,-0.3,-0.3,thr0.437_maxday1,202501,630,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,581,0,primary,18,10,10,18,False,primary,primary,25,0.25,1896,29,26,29,26,29,27,32,27,37,28,38,29,26.0,656.0,streakoff_daylossoff_lossesoff,False,SELECTED
SPXW,20250117,202501,10:00,600,zero_dte,PUT,0.4419173087024127,0.2673446234887869,0.4419173087024127,-0.3,-0.3,-0.3,thr0.437_maxday1,202501,600,win_valthr_wr45_d25,C:\Users\Álvaro Schwiedop\Desktop\KriptaStudios\Gex-Dashboard-Live\research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_valthr_wr45_d25_physctx_2023_2026_spxw_v1\event_option_gate_trades.csv,582,0,primary,18,11,11,18,False,primary,primary,25,0.25,1899,22,12,22,6,22,6,68,17,82,35,86,39,6.0,606.0,streakoff_daylossoff_lossesoff,False,SELECTED
