ticker,month,trades,win_rate,profit_factor,net_return_sum
QQQ,202501,45,0.4222222222222222,0.5078808270572501,-3.6194366265276314
QQQ,202502,40,0.3,0.4385440577392801,-5.039187458106684
QQQ,202503,49,0.30612244897959184,0.5335248819795937,-4.310987920862519
QQQ,202504,54,0.42592592592592593,1.3428981421706394,2.7475698595366764
QQQ,202505,49,0.32653061224489793,0.462487252172098,-4.641536453440062
QQQ,202506,49,0.32653061224489793,0.5865407568038478,-3.821215045953532
QQQ,202507,57,0.3684210526315789,0.3800714348387561,-6.989649235118714
QQQ,202508,50,0.3,0.43635445592363986,-4.418107842849298
QQQ,202509,53,0.32075471698113206,0.5021753324443254,-4.509946842603565
QQQ,202510,62,0.3548387096774194,0.8509283683409531,-1.530170237734596
QQQ,202511,49,0.40816326530612246,1.0881057869254147,0.4551159942355164
QQQ,202512,56,0.3392857142857143,0.6705704664015403,-2.907586898810638
SPX,202501,45,0.35555555555555557,0.372997095849362,-5.064905581574377
SPX,202502,40,0.325,0.751847106557411,-2.015926947172039
SPX,202503,49,0.2653061224489796,0.48223573067795067,-4.946322194068899
SPX,202504,54,0.42592592592592593,1.4408269249564107,4.021442160665275
SPX,202505,49,0.2857142857142857,0.35201001736083554,-7.820857675000691
SPX,202506,49,0.30612244897959184,0.7287297127179865,-2.3829327857167737
SPX,202507,57,0.2982456140350877,0.48209865555889037,-6.939842886420985
SPX,202508,50,0.28,0.32022278347887445,-7.46484793356782
SPX,202509,53,0.33962264150943394,0.4464629656431764,-6.1961480140067575
SPX,202510,62,0.3225806451612903,1.0819180270128925,0.9710123225249575
SPX,202511,49,0.3673469387755102,0.784577451341414,-1.9271138070225426
SPX,202512,56,0.4107142857142857,0.8551256169524022,-1.3011323160655093
SPY,202501,45,0.37777777777777777,0.5166012487251388,-3.678571247233847
SPY,202502,40,0.4,0.47237700787065257,-3.5518964497744223
SPY,202503,49,0.3469387755102041,0.5169389093807406,-3.4117811079433915
SPY,202504,54,0.46296296296296297,1.2643345807648245,2.0012906713544067
SPY,202505,49,0.3469387755102041,0.40419444135918653,-5.9770596408597205
SPY,202506,49,0.2857142857142857,0.4590939377579817,-4.187364962410232
SPY,202507,57,0.3508771929824561,0.3539081920879091,-6.58572547670262
SPY,202508,50,0.32,0.3480123007066933,-5.328789286086963
SPY,202509,53,0.37735849056603776,0.5920985142367995,-3.2100728933064264
SPY,202510,62,0.3548387096774194,0.7949158051206237,-2.180694641826846
SPY,202511,49,0.32653061224489793,0.724464227310375,-2.2364823267081113
SPY,202512,56,0.39285714285714285,0.8794801397321068,-0.9132783253003862
